,mean_focal,mean_focal_rank,min_focal,min_focal_rank,max_focal,max_focal_rank,median_focal,median_focal_rank,htd
Avoidant Leader Behaviors,0.49907322227954865,1.5,0.44771507382392883,1,0.5404366850852966,2,0.5040705651044846,1.5,0.28299427404999733
Bottom-line mentality,0.471268929541111,1.5,0.3208272159099579,1,0.5768010020256042,2,0.4937237501144409,1.5,0.23478973284363747
Calling,0.3901634265979131,1.6666666666666667,0.27271467447280884,1,0.5457249879837036,2,0.3827931582927704,2.0,0.04161290389796098
Career Satisfaction,0.35377706835667294,0.9166666666666666,0.2765860855579376,0,0.4626365602016449,2,0.3376772105693817,1.0,0.005972869073351224
Citizenship Fatigue,0.4163743704557419,0.5,0.32370561361312866,0,0.555168867111206,1,0.4065559208393097,0.5,-0.043266224364439644
Collaborative Leader Behaviors,0.5633008927106857,1.5,0.49763715267181396,1,0.6132676601409912,2,0.5711493790149689,1.5,0.070753064006567
Communicating Hig Expectations by Supervisor,0.6018324136734009,2.0,0.4040995240211487,2,0.6933257579803467,2,0.6404417753219604,2.0,0.15437864065170287
Competence Certainity,0.2380187138915062,1.0,0.183738112449646,1,0.26938802003860474,1,0.24947436153888702,1.0,0.052437241189181805
Constructive Voice,0.584656834602356,2.0,0.5353726744651794,2,0.6361494064331055,2,0.5872554183006287,2.0,0.11532735526561737
Contingent Reactions to Supervisor,0.7332621365785599,1.75,0.682110607624054,1,0.7785249948501587,2,0.7362064719200134,2.0,0.30445652455091476
Coworker Career Advancement,0.568704088528951,2.0,0.39258092641830444,2,0.6700987815856934,2,0.6434325575828552,2.0,0.22320887943108877
Coworker Emotional Support,0.6176610390345255,1.0,0.4360516667366028,1,0.7791387438774109,1,0.637792706489563,1.0,0.25210068623224896
Coworker Friendship,0.43421366810798645,0.3333333333333333,0.2422628104686737,0,0.7497347593307495,1,0.31064343452453613,0.0,0.016853270431359608
Coworker Giving to Others,0.6164803703625997,1.0,0.48271089792251587,1,0.7171190977096558,1,0.6496111154556274,1.0,0.25904176632563275
Coworker Knowledge Utilization,0.7005692521731058,1.0,0.6722809076309204,1,0.7228431105613708,1,0.7065837383270264,1.0,0.1695280522108078
Coworker Personal Growth ,0.6462149222691854,1.0,0.5663119554519653,1,0.7106490135192871,1,0.6616837978363037,1.0,0.2162440319856008
Coworker Project Qualities,0.37017731070518495,1.0,0.3428361117839813,1,0.4172284007072449,1,0.3490918278694153,1.0,0.1466385692358017
Coworker Star Qualities,0.38062240481376647,1.6,0.3297399580478668,1,0.49308353662490845,2,0.3400968909263611,2.0,0.13729064539074898
Coworker Task Assistance,0.57256347934405,2.0,0.4522986114025116,2,0.685673713684082,2,0.5797181129455566,2.0,0.07333670059839885
Customer Unethical Behavior,0.6865007281303406,1.375,0.6091398000717163,1,0.7752580046653748,2,0.6941848695278168,1.0,0.33949295338243246
Decision Control/Autonomy Supervisor Behavior,0.46970798820257187,1.25,0.3854554295539856,0,0.6476791501045227,2,0.4228486865758896,1.5,0.057944271713495255
Defensive Voice,0.6425379395484925,1.0,0.6057652235031128,1,0.6755573153495789,1,0.6518184542655945,1.0,0.2520963788032532
Desire for Power,0.42810007333755495,1.3,0.19325098395347595,1,0.6039640307426453,2,0.4358949214220047,1.0,0.1587784044444561
Destructive Voice,0.5642146825790405,2.0,0.5017571449279785,2,0.6236917972564697,2,0.5459123849868774,2.0,0.031945806741714475
Distance/Closeness Supervisor Behaviors,0.48340435326099396,2.0,0.4120842218399048,2,0.5568678379058838,2,0.48233267664909363,2.0,0.19679399766027927
Distraction Stigmas,0.6331247314810753,1.25,0.4626748859882355,1,0.771988570690155,2,0.6489177346229553,1.0,0.246857650578022
Distributive Fairness Monitoring,0.7900803327560425,1.8,0.7296732664108276,1,0.8411171436309814,2,0.7918899059295654,2.0,0.46315361857414244
Distributive Justice Clarity,0.4020928740501404,1.0,0.3586437702178955,1,0.43246954679489136,1,0.4151653051376343,1.0,0.178082046409448
Dominating Leader Behavior,0.4190143644809723,1.3333333333333333,0.3237958550453186,1,0.4826490581035614,2,0.45059818029403687,1.0,0.07712411880493164
Duty to Codes Orientation,0.5806680098176003,2.0,0.47000452876091003,2,0.6387940049171448,2,0.6069367527961731,2.0,0.17437378130853176
Duty to Members Orientation,0.5991984605789185,1.0,0.5653032064437866,1,0.620353102684021,1,0.6055687665939331,1.0,0.2917260602116585
Duty to Mission Orientation,0.6407490074634552,1.5,0.5277659893035889,1,0.6962167024612427,2,0.6695066690444946,1.5,0.21571605280041695
Emphasizing Group Identity by Supervisor,0.47861717343330384,1.4,0.4302109479904175,0,0.516970157623291,2,0.4790653884410858,2.0,0.08693920075893402
Envisioning,0.26598499218622845,0.0,0.25668591260910034,0,0.2733706533908844,0,0.26789841055870056,0.0,-0.29108627637227374
Equitable Organizational Practices,0.46826810836791993,2.0,0.41844630241394043,2,0.5321311950683594,2,0.4725922644138336,2.0,0.16424513906240462
Ethical Values Credits,0.6733165830373764,2.0,0.5156594514846802,2,0.8955283164978027,2,0.6410392820835114,2.0,0.24401383846998215
Evangelism Stigmas,0.8514295220375061,1.0,0.8291831612586975,1,0.8936616778373718,1,0.8414366245269775,1.0,0.5371844246983528
Exclusion beliefs,0.483247846364975,2.0,0.44830936193466187,2,0.5181863307952881,2,0.483247846364975,2.0,0.2833636775612831
Expectation Reaction to Supervisor,0.2898261696100235,2.0,0.13618816435337067,2,0.4119914770126343,2,0.3055625185370445,2.0,-0.08476347383111715
Extrinsic Career Goal,0.6479501277208328,1.0,0.5810064077377319,1,0.7109569311141968,1,0.6499185860157013,1.0,0.20008138567209244
Family Incivility,0.3964193637172381,2.0,0.2366793006658554,2,0.5367404222488403,2,0.40837955474853516,2.0,0.08098997082561255
Family to Personal Conflict,0.6606589913368225,1.8,0.4925292134284973,1,0.755409836769104,2,0.6859302520751953,2.0,0.3276004374027252
Gender Determinism,0.7008401602506638,1.5,0.4738103747367859,1,0.8061418533325195,2,0.7617042064666748,1.5,0.3442526403814554
Global Organizational Commitment,0.3335362859070301,0.75,0.2429748922586441,0,0.3831268846988678,2,0.35402168333530426,0.5,-0.09857338294386864
Idea Validation,0.43629422783851624,1.4,0.3851776719093323,1,0.4586029052734375,2,0.4447636604309082,1.0,0.02103398144245148
Identity Strain,0.625949227809906,2.0,0.5165581107139587,2,0.7159526348114014,2,0.6318508386611938,2.0,0.3208552598953247
