,mean_focal,mean_focal_rank,min_focal,min_focal_rank,max_focal,max_focal_rank,median_focal,median_focal_rank,htd
Avoidant Leader Behaviors,0.021164002071600407,0.5,0.002068432280793786,0,0.06137467920780182,2,0.010606448398903012,0.0,-0.031804548285435885
Bottom-line mentality,0.002976616204250604,0.0,0.002016655635088682,0,0.005077144596725702,0,0.0024063322925940156,0.0,-0.18470957194222137
Calling,0.010019414864170054,0.3333333333333333,0.0035594324581325054,0,0.021651264280080795,2,0.008662356063723564,0.0,-0.08296400180552155
Career Satisfaction,0.01886719341079394,2.0,0.011449802666902542,2,0.03408261016011238,2,0.01536682527512312,2.0,-0.039042889320019945
Citizenship Fatigue,0.009227220677227402,0.3333333333333333,0.0009699571528472006,0,0.02139095403254032,2,0.007751950994133949,0.0,-0.028042786512135837
Collaborative Leader Behaviors,0.003744691435713321,0.5,0.0034836644772440195,0,0.004203739110380411,2,0.0036456810776144266,0.0,-0.008276401145849377
Communicating Hig Expectations by Supervisor,0.014110564813017845,0.8,0.006352891214191914,0,0.03690549358725548,1,0.009607862681150436,1.0,-0.009313983470201492
Competence Certainity,0.6587001793086529,2.0,0.16684429347515106,2,0.871055543422699,2,0.7984504401683807,2.0,0.5881530197802931
Constructive Voice,0.006743644550442696,1.2,0.005626504775136709,0,0.008651003241539001,2,0.005900191143155098,2.0,-0.00910214171744883
Contingent Reactions to Supervisor,0.0058067431673407555,0.5,0.00281499489210546,0,0.008479953743517399,1,0.005966012016870081,0.5,-0.04443253416684456
Coworker Career Advancement,0.09469378956904013,2.0,0.012025057338178158,2,0.19365525245666504,2,0.07840105891227722,2.0,0.04941816934539626
Coworker Emotional Support,0.01652837699900071,1.0,0.008378983475267887,1,0.025501273572444916,1,0.015704873949289322,1.0,0.002554111493130525
Coworker Friendship,0.008313130587339401,0.6666666666666666,0.00417040241882205,0,0.014430249109864235,2,0.006338740233331919,0.0,-0.0069056625361554325
Coworker Giving to Others,0.46435487270355225,1.6666666666666667,0.27026116847991943,1,0.6682114005088806,2,0.4545920491218567,2.0,0.45669935112042975
