,mean_focal,mean_focal_rank,min_focal,min_focal_rank,max_focal,max_focal_rank,median_focal,median_focal_rank,htd
Avoidant Leader Behaviors,0.7261230200529099,1.75,0.5484567284584045,1,0.9464480876922607,2,0.7047936320304871,2.0,0.6345332327764481
Bottom-line mentality,0.8414628654718399,2.0,0.7199285626411438,2,0.9302493333816528,2,0.8578367829322815,2.0,0.8257638825161848
Calling,0.43057512243588764,1.0833333333333333,0.14459353685379028,1,0.6162207722663879,2,0.49615998566150665,1.0,0.18872828610862294
Career Satisfaction,0.15289835507671037,1.6666666666666667,0.030091993510723114,1,0.446334570646286,2,0.12277375161647797,2.0,0.09443605242995545
Citizenship Fatigue,0.6360417629281679,1.0,0.2138957530260086,1,0.9518004059791565,1,0.6189549565315247,1.0,0.5797686181031168
Collaborative Leader Behaviors,0.3186376988887787,1.75,0.2729930281639099,1,0.37067604064941406,2,0.3154408633708954,2.0,0.13173999544233084
Communicating Hig Expectations by Supervisor,0.29699709713459016,2.0,0.2279433161020279,2,0.3735584020614624,2,0.2723340094089508,2.0,0.09970833379775286
Competence Certainity,0.014212506008334458,0.0,0.006205887999385595,0,0.018671361729502678,0,0.01598638715222478,0.0,-0.09732629952486604
Constructive Voice,0.2901869505643845,1.0,0.24065370857715607,1,0.3464213013648987,1,0.266842782497406,1.0,-0.026426011882722377
Contingent Reactions to Supervisor,0.6116090416908264,1.25,0.4314589202404022,1,0.844139039516449,2,0.5854191035032272,1.0,0.5652295856270939
Coworker Career Advancement,0.045937919057905674,1.3333333333333333,0.015361442230641842,0,0.10371030122041702,2,0.018742013722658157,2.0,0.029552095336839557
Coworker Emotional Support,0.05903029814362526,2.0,0.02916288748383522,2,0.10705722123384476,2,0.0408707857131958,2.0,0.03327958704903722
Coworker Friendship,0.22945596277713776,1.0,0.1496739387512207,1,0.3608665466308594,1,0.1778274029493332,1.0,0.1742073322335879
Coworker Giving to Others,0.0120871695689857,1.0,0.006914734374731779,1,0.01747221313416958,1,0.011874561198055744,1.0,-0.0029258805637558303
Coworker Knowledge Utilization,0.7846877376238505,1.0,0.6038915514945984,1,0.9205085039138794,1,0.8296631574630737,1.0,0.7407263121567667
Coworker Personal Growth ,0.0477958582341671,1.3333333333333333,0.03316398710012436,1,0.06492283940315247,2,0.04530074819922447,1.0,0.03342059254646301
