,mean_focal,mean_focal_rank,min_focal,min_focal_rank,max_focal,max_focal_rank,median_focal,median_focal_rank,htd
Avoidant Leader Behaviors,0.25271299481391907,0.0,0.051483526825904846,0,0.4052874743938446,0,0.2770404890179634,0.0,-0.602728646248579
Bottom-line mentality,0.15556052140891552,0.0,0.06773404777050018,0,0.2749943137168884,0,0.13975686207413673,0.0,-0.6410542968660593
Calling,0.5594054659207662,0.8333333333333334,0.38021978735923767,0,0.8370835185050964,2,0.49530456960201263,0.5,-0.105764283798635
Career Satisfaction,0.8282344291607538,0.5833333333333334,0.5402559041976929,0,0.9582663178443909,2,0.8573064208030701,0.5,-0.055393186708291374
Citizenship Fatigue,0.3547310121357441,0.0,0.04722965508699417,0,0.7724744081497192,0,0.37329307198524475,0.0,-0.5517258557180563
Collaborative Leader Behaviors,0.6776175796985626,0.25,0.6257506608963013,0,0.723288893699646,1,0.6807153820991516,0.0,-0.12346360087394714
Communicating Hig Expectations by Supervisor,0.6888923287391663,0.4,0.589536190032959,0,0.7657036781311035,1,0.7196304798126221,0.0,-0.09039437472820282
Competence Certainity,0.3270873185247183,0.25,0.11177626997232437,0,0.8144842386245728,1,0.191044382750988,0.0,-0.4908267352730036
Constructive Voice,0.7030694127082825,1.6,0.647952139377594,0,0.7535465359687805,2,0.7254164814949036,2.0,0.03552815616130829
Contingent Reactions to Supervisor,0.38258419558405876,0.0,0.15304593741893768,0,0.5603142380714417,0,0.40848830342292786,0.0,-0.5207970775663853
Coworker Career Advancement,0.8593682845433553,0.3333333333333333,0.7876026630401611,0,0.9062374830245972,1,0.8842647075653076,0.0,-0.07897024353345235
Coworker Emotional Support,0.9244412978490194,0.0,0.8845637440681458,0,0.9551321864128113,0,0.9336279630661011,0.0,-0.03583370645840963
Coworker Friendship,0.76223091284434,0.0,0.6349630355834961,0,0.8358958959579468,0,0.8158338069915771,0.0,-0.16730166474978128
Coworker Giving to Others,0.5235579311847687,0.0,0.3199140131473541,0,0.7228240966796875,0,0.5279356837272644,0.0,-0.45377350846926373
Coworker Knowledge Utilization,0.20933949947357178,0.0,0.07253074645996094,0,0.38850054144859314,0,0.16698721051216125,0.0,-0.7261361082394918
Coworker Personal Growth ,0.9469585418701172,0.3333333333333333,0.9316385984420776,0,0.9596866965293884,1,0.9495503306388855,0.0,-0.02052803834279378
Coworker Project Qualities,0.6116415917873382,0.0,0.2002035677433014,0,0.8462681770324707,0,0.6662197709083557,0.0,-0.31475955843925474
Coworker Star Qualities,0.7169064998626709,0.4,0.5419685244560242,0,0.929664671421051,2,0.7412176132202148,0.0,-0.19443761706352233
Coworker Task Assistance,0.8209733366966248,0.0,0.7936209440231323,0,0.8453162908554077,0,0.8239827752113342,0.0,-0.09353107213973999
Customer Unethical Behavior,0.6754835993051529,0.25,0.3751717805862427,0,0.9352794885635376,1,0.6554460823535919,0.0,-0.19874326139688492
Decision Control/Autonomy Supervisor Behavior,0.03440944571048021,0.0,0.015575308352708817,0,0.06682783365249634,0,0.02761732041835785,0.0,-0.8306477917358279
Defensive Voice,0.42409063279628756,0.2,0.22238697111606598,0,0.8243163824081421,1,0.3297593295574188,0.0,-0.40007911026477816
Desire for Power,0.6189026087522507,1.2,0.20110845565795898,0,0.8798686861991882,2,0.7643867135047913,2.0,-0.2012464389204979
Destructive Voice,0.5866408526897431,0.0,0.4100414216518402,0,0.7860193848609924,0,0.6035552024841309,0.0,-0.3023925364017487
Distance/Closeness Supervisor Behaviors,0.5005557192489505,0.5,0.032287608832120895,0,0.8773191571235657,1,0.5463080555200577,0.5,-0.20966369565576315
Distraction Stigmas,0.463796004652977,0.0,0.3402896225452423,0,0.6461939215660095,0,0.43435023725032806,0.0,-0.4692480191588402
Distributive Fairness Monitoring,0.4320999920368195,0.2,0.20127958059310913,0,0.6055490374565125,1,0.4079255759716034,0.0,-0.33378087133169176
Distributive Justice Clarity,0.5489223301410675,2.0,0.481790691614151,2,0.6193848848342896,2,0.545591413974762,2.0,0.24278994649648666
Dominating Leader Behavior,0.4058326135079066,0.0,0.1423865407705307,0,0.7082986831665039,0,0.3668126165866852,0.0,-0.47866693635781604
Duty to Codes Orientation,0.7155677378177643,0.75,0.604533314704895,0,0.8754523396492004,2,0.6911426484584808,0.5,-0.1352274864912033
Duty to Members Orientation,0.49381811171770096,0.0,0.19500908255577087,0,0.695842444896698,0,0.5422104597091675,0.0,-0.4710238203406334
Duty to Mission Orientation,0.34696828201413155,0.0,0.19110040366649628,0,0.6738274693489075,0,0.2614726275205612,0.0,-0.5813752822577953
Emphasizing Group Identity by Supervisor,0.5828802943229675,0.2,0.19975557923316956,0,0.9071802496910095,1,0.6720491051673889,0.0,-0.31779149174690247
Envisioning,0.9423535664876302,1.0,0.9241055846214294,0,0.9515807628631592,2,0.951374351978302,1.0,-0.008281886577606201
Equitable Organizational Practices,0.9592108011245728,0.2,0.9421850442886353,0,0.9813080430030823,1,0.9557510614395142,0.0,-0.02080446481704712
Ethical Values Credits,0.47590606007725,0.0,0.02072155848145485,0,0.6945779323577881,0,0.5941623747348785,0.0,-0.4661629116162658
Evangelism Stigmas,0.061180840944871306,0.0,0.009135973639786243,0,0.1811506301164627,0,0.027218380011618137,0.0,-0.7619831452611834
Exclusion beliefs,0.5409270226955414,0.0,0.4726014733314514,0,0.6092525720596313,0,0.5409270226955414,0.0,-0.29255177080631256
Expectation Reaction to Supervisor,0.6875335723161697,0.0,0.38494354486465454,0,0.9307512640953064,0,0.717219740152359,0.0,-0.27096300572156906
Extrinsic Career Goal,0.7194791734218597,0.5,0.6033710241317749,0,0.7997649908065796,2,0.7373903393745422,0.0,-0.11825130879878998
Family Incivility,0.7471430798371633,1.0,0.6319499015808105,0,0.8354756832122803,2,0.738358736038208,1.0,-0.0729781836271286
Family to Personal Conflict,0.46926562786102294,0.2,0.2777623236179352,0,0.8750207424163818,1,0.4345601201057434,0.0,-0.32961848080158235
Gender Determinism,0.49060600996017456,0.5,0.20265629887580872,0,0.8668422102928162,2,0.4464627653360367,0.0,-0.2157735377550125
Global Organizational Commitment,0.6122298836708069,0.25,0.5071311593055725,0,0.6976245045661926,1,0.6220819354057312,0.0,-0.08202356100082397
Idea Validation,0.9583935379981995,2.0,0.9422570466995239,2,0.986855685710907,2,0.9553917646408081,2.0,0.12270236015319824
Identity Strain,0.15512854009866714,0.0,0.06607712060213089,0,0.22726386785507202,0,0.16662383079528809,0.0,-0.5820590779185295
Inclusion in Decision Making,0.6315491497516632,0.25,0.4673144221305847,0,0.8561585545539856,1,0.6013618111610413,0.0,-0.25178226828575134
Integration of Differences,0.7372954239447912,0.16666666666666666,0.2948841154575348,0,0.9720529317855835,1,0.7538409531116486,0.0,-0.1979184647401174
Interactional Justice Clarity,0.6878414869308471,0.0,0.5389122366905212,0,0.7983530759811401,0,0.6864862442016602,0.0,-0.2996919572353363
Interest/Enjoyment Sales Self-Efficacy,0.6338802099227905,0.4,0.3465479016304016,0,0.8697659373283386,2,0.5741039514541626,0.0,-0.29358784556388856
International Employee Identity,0.5706719197332859,0.0,0.08567769825458527,0,0.8582373857498169,0,0.6693862974643707,0.0,-0.3391103185713291
Interpersonal Fairness Monitoring,0.549118181069692,0.0,0.3354697823524475,0,0.6889843344688416,0,0.5601526498794556,0.0,-0.4119213968515396
Intraorganizational employee navigation,0.8906166791915894,0.6,0.7716763615608215,0,0.987970769405365,2,0.8789495229721069,0.0,-0.028016573190689086
Intrinsic Career Goal,0.7700641632080079,0.6,0.6906819939613342,0,0.8727397918701172,1,0.7842375636100769,1.0,-0.026667603850364686
Knowledge Stock,0.9679617643356323,1.2,0.9582251906394958,0,0.9777250289916992,2,0.969015896320343,2.0,0.01807253956794739
Loss Orientation,0.7980054368575414,0.6666666666666666,0.37724772095680237,0,0.9525339007377625,1,0.8941203951835632,1.0,-0.020748366912206013
Moral Credits,0.8633654832839965,0.0,0.8550413250923157,0,0.8753513693809509,0,0.8574234843254089,0.0,-0.0737616777420044
Moral Identification,0.7266380429267884,0.6,0.639970064163208,0,0.8915196657180786,1,0.7238431572914124,1.0,-0.04741066992282868
Naiveté,0.7177842259407043,1.5,0.6927377581596375,0,0.7530251741409302,2,0.7126869857311249,2.0,-0.06753131747245789
Organizational Support for Development,0.3257743790745735,0.0,0.21726660430431366,0,0.46805644035339355,0,0.2895490378141403,0.0,-0.652278296649456
Oscillation Orientation,0.7898372213045756,1.3333333333333333,0.7297263145446777,1,0.8249931335449219,2,0.8147922158241272,1.0,0.004149109125137329
Other Focus Credits,0.1281225187703967,0.0,0.02577190101146698,0,0.24004995822906494,0,0.12333410792052746,0.0,-0.8234538035467267
Perceived Career Opportunity,0.3397202392419179,0.0,0.2971619963645935,0,0.364775151014328,0,0.3572235703468323,0.0,-0.5985620617866516
Performance Monitoring,0.8238254189491272,0.25,0.7590993046760559,0,0.9256910085678101,1,0.8052556812763214,0.0,-0.052239254117012024
Personal Life Motives,0.38875962048768997,0.0,0.2585122585296631,0,0.507719099521637,0,0.3944035619497299,0.0,-0.46532154828310013
Personal Recognition by Supervisor,0.47879625856876373,0.25,0.21427848935127258,0,0.6384392380714417,1,0.5312336534261703,0.0,-0.3667018376290798
Personal to Family Conflict,0.5230592548847198,0.2,0.2598734200000763,0,0.7445164322853088,1,0.5341876149177551,0.0,-0.2564257621765137
Personal to Work Conflict,0.36884563863277436,0.0,0.20786228775978088,0,0.6123875975608826,0,0.3067598044872284,0.0,-0.4879209190607071
Planning,0.8527204593022665,0.3333333333333333,0.8436643481254578,0,0.8666942715644836,1,0.8478027582168579,0.0,-0.05007481575012207
Procedural Fairness Monitoring,0.6187240242958069,0.0,0.5150009393692017,0,0.845259428024292,0,0.5760027170181274,0.0,-0.34821988344192506
Procedural Justice Clarity,0.4417596459388733,0.0,0.2890711724758148,0,0.6983011960983276,0,0.40750652551651,0.0,-0.47208182513713837
Productivity Motives,0.4911409715811412,0.0,0.4761006534099579,0,0.5159549117088318,0,0.4813673496246338,0.0,-0.45288118720054626
Prohibitive Voice,0.6857192754745484,1.6,0.5263081192970276,0,0.8389254212379456,2,0.6608927845954895,2.0,0.16364832520484923
Promotive Voice,0.693350088596344,1.6,0.5229938626289368,0,0.8294218182563782,2,0.705365777015686,2.0,0.06311204880475998
Propensity to Morally Disengage,0.9130733758211136,2.0,0.8628828525543213,2,0.975776731967926,2,0.9163611829280853,2.0,0.046672381460666656
Reflecting,0.3898539145787557,0.0,0.2668609321117401,0,0.466255247592926,0,0.43644556403160095,0.0,-0.5172500113646189
Relational Energy,0.29877851344645023,0.0,0.02417423389852047,0,0.9081597328186035,0,0.2078460156917572,0.0,-0.6463100519031286
Reputation Maintenance Concerns,0.9002542644739151,0.5,0.8776178956031799,0,0.9219005107879639,1,0.9007493257522583,0.5,-0.0058359429240226746
Restoration Orientation,0.8348698715368906,0.6666666666666666,0.7172784805297852,0,0.9279430508613586,2,0.8402279615402222,0.0,0.015693741540114086
Self-Righteousness Stigmas,0.050114864483475685,0.0,0.017550025135278702,0,0.1102626696228981,0,0.03632338158786297,0.0,-0.7306095194071531
Self-Verification Striving,0.365524597465992,0.25,0.12135456502437592,0,0.8152082562446594,1,0.25999440252780914,0.0,-0.4944980666041374
Self/Other Centeredness Supervisor Behaviors,0.4680738300085068,0.0,0.17991207540035248,0,0.557202160358429,0,0.5368553400039673,0.0,-0.3945998340845108
