,mean_focal,mean_focal_rank,min_focal,min_focal_rank,max_focal,max_focal_rank,median_focal,median_focal_rank,htd
Avoidant Leader Behaviors,0.03591326763853431,1.25,0.013659700751304626,1,0.0673714429140091,2,0.031310963444411755,1.0,0.03590043807571419
Bottom-line mentality,0.4395342443494883,1.25,0.00016673510253895074,1,0.9594669342041016,2,0.3992516540456563,1.0,0.4395229577163491
Calling,0.00037232548023287865,1.8333333333333333,1.9099552446277812e-05,1,0.0019188319565728307,2,0.00012212626097607426,2.0,0.00026393009181902016
Career Satisfaction,1.468713283732844e-05,0.8333333333333334,1.0900520464929286e-05,0,2.4400116672040895e-05,2,1.3047615539107937e-05,0.0,-8.538072601519768e-05
Citizenship Fatigue,0.20558578798045346,1.6666666666666667,1.6814712580526248e-05,0,0.9128445982933044,2,0.008941866151872091,2.0,0.2055182956723911
Collaborative Leader Behaviors,0.06034469036239898,1.0,0.0003563164791557938,1,0.23774726688861847,1,0.0016375890409108251,1.0,0.06027228803827711
Communicating Hig Expectations by Supervisor,0.40796401775442065,1.6,0.0014048784505575895,1,0.9844859838485718,2,0.047677263617515564,2.0,0.4075742126059595
Competence Certainity,2.586776622592879e-05,1.0,1.486749079049332e-05,1,3.614427623688243e-05,1,2.6229648938169703e-05,1.0,1.1982183877989883e-05
Constructive Voice,0.00023202898664749229,2.0,5.130552381160669e-05,2,0.0005405644187703729,2,7.474280573660508e-05,2.0,0.00018222461167169968
Contingent Reactions to Supervisor,0.978092834353447,2.0,0.9560074806213379,2,0.9969915151596069,2,0.9796861708164215,2.0,0.9275587556476239
Coworker Career Advancement,0.040116886724717915,1.0,0.000996386050246656,1,0.09161693602800369,1,0.027737338095903397,1.0,0.040102934845132644
Coworker Emotional Support,0.3344796111123287,1.0,2.402456448180601e-05,1,0.9991051554679871,1,0.004309653304517269,1.0,0.33446597168843556
Coworker Friendship,0.02022578399676907,0.3333333333333333,1.5822315617697313e-05,0,0.060642555356025696,1,1.8974318663822487e-05,0.0,0.018668276881726342
Coworker Giving to Others,0.5114440818870207,1.0,0.00017532713536638767,1,0.8345692157745361,1,0.6995877027511597,1.0,0.5114275236028334
Coworker Knowledge Utilization,0.2246596117814382,1.3333333333333333,0.16773217916488647,1,0.3236653506755829,2,0.18258130550384521,1.0,0.22425173542796983
Coworker Personal Growth ,0.32628002235651365,1.0,4.690235437010415e-05,1,0.9640984535217285,1,0.014694711193442345,1.0,0.3262132431292836
Coworker Project Qualities,0.05186511563078966,1.6,1.1696381989168003e-05,1,0.25926244258880615,2,1.5672396330046467e-05,2.0,0.051852977640373867
