,mean_focal,mean_focal_rank,min_focal,min_focal_rank,max_focal,max_focal_rank,median_focal,median_focal_rank,htd
Avoidant Leader Behaviors,0.8693475872278214,0.5,0.8554120063781738,0,0.8831146955490112,1,0.8694318234920502,0.5,-0.015108704566955566
Bottom-line mentality,0.8469466865062714,0.5,0.8206406831741333,0,0.8681827783584595,2,0.8494816422462463,0.0,-0.02092023938894272
Calling,0.7712507496277491,0.5,0.6476577520370483,0,0.8444435596466064,1,0.7799473702907562,0.5,-0.05514664202928543
Career Satisfaction,0.7499192853768667,1.0,0.7106235027313232,1,0.8078622817993164,1,0.7447380423545837,1.0,0.028040843705336254
Citizenship Fatigue,0.8658610681692759,1.3333333333333333,0.7744531631469727,1,0.9251872301101685,2,0.8718587160110474,1.0,0.02995520333449046
Collaborative Leader Behaviors,0.6241672039031982,0.0,0.5813243985176086,0,0.693657398223877,0,0.6108435094356537,0.0,-0.28678902983665466
Communicating Hig Expectations by Supervisor,0.8334379911422729,0.2,0.7773212790489197,0,0.8720270395278931,1,0.8582614660263062,0.0,-0.009509676694869995
Competence Certainity,0.44951876997947693,1.0,0.359927773475647,1,0.5431532263755798,1,0.44749704003334045,1.0,0.05678698047995567
Constructive Voice,0.9301800012588501,1.8,0.9249478578567505,1,0.9361104965209961,2,0.9301748275756836,2.0,0.027888745069503784
Contingent Reactions to Supervisor,0.9484969973564148,1.0,0.9387531280517578,1,0.957260251045227,1,0.9489873051643372,1.0,0.021893218159675598
Coworker Career Advancement,0.8735552827517191,0.0,0.8531923890113831,0,0.8920678496360779,0,0.8754056096076965,0.0,-0.0174690584341685
Coworker Emotional Support,0.8442914485931396,1.0,0.8232169151306152,1,0.8722964525222778,1,0.8373609781265259,1.0,0.01169318954149882
Coworker Friendship,0.6423998475074768,0.0,0.5961116552352905,0,0.6866190433502197,0,0.6444688439369202,0.0,-0.20698707302411398
Coworker Giving to Others,0.9102132320404053,1.0,0.8846248388290405,1,0.9355497360229492,1,0.9104651212692261,1.0,0.037114222844441734
Coworker Knowledge Utilization,0.9079892635345459,1.0,0.8960180282592773,1,0.9198786020278931,1,0.9080711603164673,1.0,0.021879335244496662
Coworker Personal Growth ,0.8838313817977905,1.0,0.8429766893386841,1,0.9074303507804871,1,0.9010871052742004,1.0,0.012556364138921102
Coworker Project Qualities,0.8453412175178527,0.8,0.7455576658248901,0,0.9331240653991699,1,0.8628524541854858,1.0,0.024430257081985474
Coworker Star Qualities,0.8590933442115783,1.2,0.7657806873321533,0,0.9269701838493347,2,0.8782563209533691,1.0,0.05204171538352966
Coworker Task Assistance,0.8700347145398458,0.6666666666666666,0.8354718685150146,0,0.9167802929878235,1,0.8578519821166992,1.0,0.02472853660583496
Customer Unethical Behavior,0.9359434545040131,1.0,0.9223706722259521,1,0.9497438669204712,1,0.9323584735393524,1.0,0.08752472698688507
Decision Control/Autonomy Supervisor Behavior,0.8775052130222321,0.25,0.8294596076011658,0,0.9124402403831482,1,0.8840605020523071,0.0,-0.019484177231788635
Defensive Voice,0.9422929525375366,1.0,0.9197487235069275,1,0.9529949426651001,1,0.9457885026931763,1.0,0.04760423302650452
Desire for Power,0.7134031146764755,1.0,0.43578407168388367,1,0.8743166923522949,1,0.7451851963996887,1.0,0.09703884422779083
Destructive Voice,0.9003741383552551,1.0,0.8621202707290649,1,0.9309731125831604,1,0.9113408923149109,1.0,0.03764396905899048
Distance/Closeness Supervisor Behaviors,0.884692057967186,2.0,0.862817645072937,2,0.9034445881843567,2,0.8862529993057251,2.0,-0.000726059079170227
Distraction Stigmas,0.8614417761564255,1.75,0.7913914918899536,1,0.9244210124015808,2,0.8649773001670837,2.0,0.02120143175125122
Distributive Fairness Monitoring,0.8301270008087158,1.0,0.7299742698669434,1,0.8990085124969482,1,0.8566247224807739,1.0,0.03358630537986755
Distributive Justice Clarity,0.76101287206014,1.0,0.7523367404937744,1,0.7662035226821899,1,0.7644983530044556,1.0,0.09058806300163269
Dominating Leader Behavior,0.8699975411097208,0.0,0.8612920045852661,0,0.8844002485275269,0,0.8643003702163696,0.0,-0.035704592863718666
Duty to Codes Orientation,0.8346163481473923,1.75,0.7980502843856812,1,0.9004026055335999,2,0.820006251335144,2.0,0.03034018725156784
Duty to Members Orientation,0.8583688884973526,1.25,0.8402044177055359,1,0.8837834596633911,2,0.8547438383102417,1.0,0.08825003355741501
Duty to Mission Orientation,0.9042284190654755,2.0,0.8656116724014282,2,0.945868968963623,2,0.9027165174484253,2.0,0.03289254754781723
Emphasizing Group Identity by Supervisor,0.8893918752670288,2.0,0.8813198804855347,2,0.9071272611618042,2,0.8832433223724365,2.0,0.010141241550445556
Envisioning,0.7611074248949686,0.0,0.7461233139038086,0,0.7905349731445312,0,0.7466639876365662,0.0,-0.08901006976763408
Equitable Organizational Practices,0.862030279636383,1.2,0.8330312371253967,0,0.8933263421058655,2,0.8612716794013977,1.0,0.0034116625785827635
Ethical Values Credits,0.7059293538331985,0.5,0.5927351713180542,0,0.9004465341567993,2,0.6652678549289703,0.0,-0.08859885483980179
Evangelism Stigmas,0.9063594341278076,1.0,0.8672369718551636,1,0.9494361877441406,1,0.9043822884559631,1.0,0.09050151705741882
Exclusion beliefs,0.794594019651413,1.0,0.7861931920051575,1,0.8029948472976685,1,0.794594019651413,1.0,0.04015384614467621
Expectation Reaction to Supervisor,0.7419342249631882,0.0,0.6565133333206177,0,0.8537523746490479,0,0.7287355959415436,0.0,-0.0480288565158844
Extrinsic Career Goal,0.8345773667097092,1.0,0.7455819845199585,1,0.8942505717277527,1,0.8492384552955627,1.0,0.08839228004217148
Family Incivility,0.8600063621997833,1.0,0.8223721981048584,1,0.8925681114196777,1,0.8653106093406677,1.0,0.03476232786973318
Family to Personal Conflict,0.8803525805473328,1.6,0.829755425453186,1,0.9298282861709595,2,0.862488865852356,2.0,0.010201984643936157
Gender Determinism,0.8477286249399185,1.25,0.7030071020126343,0,0.9016714096069336,2,0.8931179940700531,1.5,0.03318169713020325
Global Organizational Commitment,0.7214124649763107,0.0,0.7066364288330078,0,0.7508693933486938,0,0.7140720188617706,0.0,-0.12577003985643387
Idea Validation,0.8619968175888062,2.0,0.8291479349136353,2,0.895257830619812,2,0.85938560962677,2.0,0.04372391700744629
Identity Strain,0.8168498039245605,1.8,0.7522335052490234,1,0.909233808517456,2,0.8088419437408447,2.0,0.053460925817489624
Inclusion in Decision Making,0.8695477843284607,0.0,0.8619219064712524,0,0.8801562786102295,0,0.8680564761161804,0.0,-0.033945053815841675
Integration of Differences,0.8013609349727631,0.0,0.7461457252502441,0,0.889558732509613,0,0.7856144309043884,0.0,-0.0859086165825526
