,mean_focal,mean_focal_rank,min_focal,min_focal_rank,max_focal,max_focal_rank,median_focal,median_focal_rank,htd
Avoidant Leader Behaviors,0.7783254235982895,0.0,0.7146047353744507,0,0.8239775896072388,0,0.7873596847057343,0.0,-0.03370146453380585
Bottom-line mentality,0.8359593451023102,2.0,0.7879438996315002,2,0.8735604882240295,2,0.8411664962768555,2.0,0.04330981522798538
Calling,0.7790770083665848,0.8333333333333334,0.7577663660049438,0,0.8190879225730896,1,0.7770008444786072,1.0,-0.016968436539173126
Career Satisfaction,0.8024754573901495,1.0,0.7672977447509766,1,0.8383861780166626,1,0.8007376194000244,1.0,0.010263425608476004
Citizenship Fatigue,0.8383062779903412,1.6666666666666667,0.8061039447784424,0,0.8788941502571106,2,0.8340247571468353,2.0,0.019419570763905842
Collaborative Leader Behaviors,0.7325493544340134,0.0,0.7004786729812622,0,0.7859170436859131,0,0.7219008505344391,0.0,-0.12003224343061447
Communicating Hig Expectations by Supervisor,0.823321807384491,1.0,0.7613301277160645,0,0.8689558506011963,2,0.8174078464508057,1.0,0.009899824857711792
Competence Certainity,0.6056091040372849,0.0,0.523837149143219,0,0.6448162794113159,0,0.6268914937973022,0.0,-0.06260881572961807
Constructive Voice,0.8475358486175537,0.6,0.8302181959152222,0,0.8531515002250671,1,0.8526325821876526,1.0,-0.00014560818672180176
Contingent Reactions to Supervisor,0.9283873289823532,1.0,0.9235998392105103,1,0.9339255094528198,1,0.9280119836330414,1.0,0.03846118599176407
Coworker Career Advancement,0.8273163437843323,1.0,0.7936030626296997,1,0.8670188784599304,1,0.8213270902633667,1.0,-0.0010128418604532878
Coworker Emotional Support,0.7967117428779602,1.0,0.757546067237854,1,0.8606259822845459,1,0.7719631791114807,1.0,0.04408470789591471
Coworker Friendship,0.749621589978536,0.3333333333333333,0.6938813328742981,0,0.7855070233345032,1,0.7694764137268066,0.0,-0.091646542151769
Coworker Giving to Others,0.8660465280214945,1.0,0.8339430093765259,1,0.9082471132278442,1,0.8559494614601135,1.0,0.03598295648892721
Coworker Knowledge Utilization,0.8713863690694174,1.0,0.868019700050354,1,0.8746739029884338,1,0.8714655041694641,1.0,0.03533451755841573
Coworker Personal Growth ,0.8077454964319865,0.0,0.753864049911499,0,0.8417016267776489,0,0.8276708126068115,0.0,-0.04772100845972697
Coworker Project Qualities,0.7626596689224243,0.8,0.4839755892753601,0,0.9104005098342896,1,0.8148941993713379,1.0,0.0428276538848877
Coworker Star Qualities,0.8033468008041382,1.4,0.7096147537231445,1,0.8892013430595398,2,0.8296190500259399,1.0,0.06432525515556335
Coworker Task Assistance,0.8467404445012411,1.0,0.8278037905693054,1,0.8795754909515381,1,0.8328420519828796,1.0,0.015447854995727539
Customer Unethical Behavior,0.9178323820233345,1.0,0.904639482498169,1,0.9480100870132446,1,0.9134837090969086,1.0,0.1804281324148178
Decision Control/Autonomy Supervisor Behavior,0.8210025578737259,0.75,0.7485127449035645,0,0.8989205360412598,2,0.8182884752750397,0.5,0.015068046748638153
Defensive Voice,0.9173230171203614,1.0,0.8708468675613403,1,0.9347196817398071,1,0.927533745765686,1.0,0.14188389778137206
Desire for Power,0.7695563793182373,1.0,0.7040934562683105,1,0.8341925144195557,1,0.7718247175216675,1.0,0.29247985780239105
Destructive Voice,0.827669906616211,1.0,0.7913257479667664,1,0.8675805926322937,1,0.8279763460159302,1.0,0.04984952807426453
Distance/Closeness Supervisor Behaviors,0.8034066259860992,2.0,0.7477955222129822,2,0.8514657616615295,2,0.8071826100349426,2.0,0.030251093208789825
Distraction Stigmas,0.825752779841423,1.0,0.737259566783905,1,0.8776980638504028,1,0.8440267443656921,1.0,0.05627810209989548
Distributive Fairness Monitoring,0.8522541165351868,1.0,0.7901144027709961,1,0.905970573425293,1,0.8514001369476318,1.0,0.08537762761116027
Distributive Justice Clarity,0.7872652610143026,1.0,0.765189528465271,1,0.803024172782898,1,0.7935820817947388,1.0,0.13400495052337646
Dominating Leader Behavior,0.8007018367449442,0.0,0.7936939001083374,0,0.8064297437667847,0,0.8019818663597107,0.0,-0.06064786513646444
Duty to Codes Orientation,0.8451954275369644,2.0,0.8212085962295532,2,0.8837230205535889,2,0.8379250466823578,2.0,0.03722444921731949
Duty to Members Orientation,0.858841747045517,1.0,0.8304526805877686,1,0.8819501996040344,1,0.8614820539951324,1.0,0.0987212136387825
Duty to Mission Orientation,0.893872082233429,2.0,0.8352314233779907,2,0.9386592507362366,2,0.9007988274097443,2.0,0.04679631441831589
Emphasizing Group Identity by Supervisor,0.8002735137939453,1.2,0.7658312916755676,0,0.8496012687683105,2,0.7912371158599854,2.0,-0.012447553873062133
Envisioning,0.819469690322876,1.0,0.8084621429443359,1,0.8382940888404846,1,0.8116528391838074,1.0,-0.003651003042856852
Equitable Organizational Practices,0.7989457845687866,0.4,0.7868149280548096,0,0.8206230401992798,1,0.7949566841125488,0.0,-0.021381765604019165
Ethical Values Credits,0.7558662742376328,1.5,0.6620137095451355,0,0.8823833465576172,2,0.7395340204238892,2.0,0.008235961198806763
Evangelism Stigmas,0.9049879759550095,1.0,0.8619003891944885,1,0.9478914737701416,1,0.9050800204277039,1.0,0.18516618013381958
Exclusion beliefs,0.6165691912174225,1.0,0.6098999977111816,1,0.6232383847236633,1,0.6165691912174225,1.0,-0.011460721492767334
Expectation Reaction to Supervisor,0.7171536087989807,1.0,0.657336950302124,0,0.7657043933868408,2,0.722786545753479,1.0,-0.026725471019744873
Extrinsic Career Goal,0.8627844601869583,1.0,0.8468295335769653,1,0.8776463270187378,1,0.8633309900760651,1.0,0.12212710082530975
Family Incivility,0.7579805453618368,0.0,0.7295513153076172,0,0.7960584163665771,0,0.749254435300827,0.0,-0.09333344300587972
Family to Personal Conflict,0.8887929677963257,1.8,0.8645893335342407,1,0.901900589466095,2,0.8927888870239258,2.0,0.04931711554527283
Gender Determinism,0.8427171856164932,1.5,0.8041711449623108,0,0.9001645445823669,2,0.8332665264606476,2.0,0.036110565066337585
Global Organizational Commitment,0.7534531503915787,0.0,0.7426294088363647,0,0.7829563617706299,0,0.74411341547966,0.0,-0.097211092710495
Idea Validation,0.8559212803840637,2.0,0.8402732610702515,2,0.8846485614776611,2,0.8484077453613281,2.0,0.044525301456451415
Identity Strain,0.845490324497223,2.0,0.7518770098686218,2,0.9162411689758301,2,0.8582472801208496,2.0,0.05092240571975708
Inclusion in Decision Making,0.8361930251121521,0.5,0.8033038377761841,0,0.8554000854492188,2,0.8430340886116028,0.0,-0.023671463131904602
Integration of Differences,0.8168709874153137,0.0,0.7767338752746582,0,0.86336350440979,0,0.8179526329040527,0.0,-0.047783732414245605
Interactional Justice Clarity,0.799149215221405,0.4,0.7252305150032043,0,0.8496260643005371,1,0.8033873438835144,0.0,-0.027832043170928956
Interest/Enjoyment Sales Self-Efficacy,0.7917402863502503,2.0,0.7591670155525208,2,0.8403679728507996,2,0.7684571743011475,2.0,0.0540520191192627
International Employee Identity,0.8627757430076599,2.0,0.8351399898529053,2,0.8851287364959717,2,0.8654171228408813,2.0,0.03142298012971878
Interpersonal Fairness Monitoring,0.8582945267359415,1.0,0.818148136138916,1,0.9037695527076721,1,0.8517800867557526,1.0,0.10196098188559215
Intraorganizational employee navigation,0.7660465478897095,0.0,0.7317442893981934,0,0.7904559373855591,0,0.7716715335845947,0.0,-0.0429526686668396
Intrinsic Career Goal,0.9128042817115783,1.0,0.9047290086746216,1,0.9225809574127197,1,0.9126842617988586,1.0,0.11172366738319398
Knowledge Stock,0.7998905658721924,0.0,0.7818634510040283,0,0.821466863155365,0,0.7998899817466736,0.0,-0.03500482439994812
Loss Orientation,0.8617354234059652,1.0,0.8203072547912598,1,0.9032503962516785,1,0.8584116697311401,1.0,0.05922915041446686
Moral Credits,0.7825593590736389,0.8,0.7675470113754272,0,0.8036270141601562,2,0.7797949314117432,1.0,0.011754423379898071
Moral Identification,0.8704999446868896,1.2,0.8368340730667114,0,0.8951863050460815,2,0.875109076499939,2.0,-0.01034347414970398
Naiveté,0.867116391658783,2.0,0.8550984263420105,2,0.8788385391235352,2,0.8672643005847931,2.0,0.022556543350219727
