,mean_focal,mean_focal_rank,min_focal,min_focal_rank,max_focal,max_focal_rank,median_focal,median_focal_rank,htd
Avoidant Leader Behaviors,1.0285668254569038,0.0,0.925534734598905,0,1.089534884986555,0,1.049598841121078,0.0,-0.15968134983347426
Bottom-line mentality,1.0200009725711707,0.0,0.9256994244681845,0,1.1655841968645144,0,0.994360134475992,0.0,-0.16784097593463632
Calling,1.2408307830732885,1.1666666666666667,1.1692542292929369,0,1.27135816747344,2,1.2492403949294943,1.0,0.04647953835869519
Career Satisfaction,1.1573516675513378,1.5833333333333333,1.0974904573010917,0,1.2553131467223906,2,1.1452451909766554,2.0,0.021311525608125548
Citizenship Fatigue,1.103009119235219,0.6666666666666666,1.018004406040608,0,1.2368239742025957,2,1.0949117660342056,0.5,-0.036183117254590634
Collaborative Leader Behaviors,1.1561301178275827,0.75,1.0372676354723986,0,1.2034866868838796,1,1.1918830744770263,1.0,-0.002412211045088597
Communicating Hig Expectations by Supervisor,0.9941531194515228,0.2,0.8654971654595836,0,1.1537610904269402,1,0.9695581105379218,0.0,-0.1469242614591871
Competence Certainity,1.2429087759238329,0.5,1.2327042105843533,0,1.2584674044475677,2,1.2402317443317052,0.0,-0.02068606304147591
Constructive Voice,1.0529959604695693,1.0,0.9718786175405207,0,1.1303426349228205,2,1.0447605421314898,1.0,-0.05650052535724335
Contingent Reactions to Supervisor,0.768615215637346,0.0,0.7338125237294022,0,0.8056851194450065,0,0.7674816096874875,0.0,-0.19110519924563352
Coworker Career Advancement,1.0650286912455966,0.6666666666666666,1.0527150558423475,0,1.0718095179040332,2,1.0705614999904094,0.0,-0.08031602252270524
Coworker Emotional Support,1.0957058252367833,1.3333333333333333,0.8870123437582488,0,1.2044977655324722,2,1.1956073664196287,2.0,-0.07005281503579057
Coworker Friendship,1.1570665297396927,1.3333333333333333,1.0020626104344916,0,1.264582372128063,2,1.2045546066565238,2.0,0.08706107923175595
Coworker Giving to Others,0.8945995033448687,0.0,0.8263465967864201,0,0.9897753448556337,0,0.867676568392552,0.0,-0.20097202972199754
Coworker Knowledge Utilization,1.0664655395871991,0.6666666666666666,1.0544639062256103,0,1.0892901209319865,2,1.055642591604001,0.0,-0.07708947263018355
Coworker Personal Growth ,1.1903706984445466,2.0,1.1467042508011291,2,1.2455527631780154,2,1.1788550813544947,2.0,0.035853549140382114
Coworker Project Qualities,1.1192513934672783,0.4,0.8554127934138995,0,1.2633281723878484,2,1.193974181778559,0.0,-0.07111559118927584
Coworker Star Qualities,1.081668384943044,0.6,0.8360752256228847,0,1.2536483036273558,2,1.0540426499679565,0.0,-0.07873455109180191
Coworker Task Assistance,1.0304203093035584,0.6666666666666666,0.9638397796111687,0,1.093331381661097,2,1.0340897666384097,0.0,-0.03982488136368826
Customer Unethical Behavior,0.5522157315175535,0.0,0.401110000250016,0,0.6138213534789106,0,0.5758186792632269,0.0,-0.6454970283800293
Decision Control/Autonomy Supervisor Behavior,0.9578945318617791,0.0,0.7093218477154293,0,1.1034984953014035,0,1.0093788922151417,0.0,-0.2306832998775341
Defensive Voice,0.8088048844093747,0.0,0.6863765780160256,0,0.9423291670014198,0,0.8169401725470115,0.0,-0.33228451414381494
Desire for Power,1.1593132838246516,0.0,0.9276435642270198,0,1.2548717946119354,0,1.2057203681501067,0.0,-0.1400135602617132
Destructive Voice,0.9359084194595884,0.0,0.7782282709769074,0,0.9937023212996277,0,0.9682127152975566,0.0,-0.14906725599708048
Distance/Closeness Supervisor Behaviors,0.9818945189997871,0.25,0.9422405218757116,0,1.0864265096326695,1,0.9494555222453838,0.0,-0.14599493756024873
Distraction Stigmas,1.0205262283064818,0.5,0.8863601093968417,0,1.1801300545899087,2,1.0078073746195881,0.0,-0.1322205213859421
Distributive Fairness Monitoring,0.9538096665841383,0.0,0.7687564957808153,0,1.1313825038207677,0,0.9861518407707172,0.0,-0.23597080028981177
Distributive Justice Clarity,1.1508007912501954,0.0,1.1392894151806028,0,1.1640526207231858,0,1.1490603378467974,0.0,-0.11523752340872839
Dominating Leader Behavior,1.1193088104639024,1.3333333333333333,1.101565074085353,0,1.139433771939542,2,1.1169275853668124,2.0,-0.005385597369928978
Duty to Codes Orientation,1.0059222626455986,0.0,0.873593636175389,0,1.0934752099789726,0,1.0283101022140162,0.0,-0.15684735393745253
Duty to Members Orientation,1.0361180193132566,0.0,0.8492646665128278,0,1.1584301772821481,0,1.0683886167290253,0.0,-0.15351388019053014
Duty to Mission Orientation,0.9597344723144849,0.0,0.7743113128133728,0,1.0560867044960909,0,1.004269935974238,0.0,-0.14678900710921527
Emphasizing Group Identity by Supervisor,1.0069313989469029,0.8,0.9667812519734612,0,1.0543312235051225,2,1.0143534576034299,0.0,-0.09062770395851434
Envisioning,1.1933044372139674,1.3333333333333333,1.1236215913632979,0,1.2418768647362015,2,1.2144148555424026,2.0,-0.015469858143399554
Equitable Organizational Practices,1.2187212372694316,1.8,1.2020973268682302,1,1.2366856888871185,2,1.2194635333656765,2.0,0.11238734148033132
Ethical Values Credits,1.032032995971493,0.5,0.5980347904035244,0,1.2431405098718016,2,1.1434783418053227,0.0,-0.16696828145400255
Evangelism Stigmas,0.664838252320678,0.0,0.4078898837305107,0,0.8884474864071279,0,0.6815078195725365,0.0,-0.5168882442994012
Exclusion beliefs,1.1663625408390486,0.0,1.162197194876142,0,1.170527886801955,0,1.1663625408390486,0.0,-0.11562263490166036
Expectation Reaction to Supervisor,1.1928014229624222,1.0,1.147698705345288,1,1.2139786243270962,1,1.2047641810886525,1.0,0.0741505595740557
Extrinsic Career Goal,1.1036760906456864,1.0,1.045909159707487,0,1.1974424717408891,2,1.0856763655671846,1.0,-0.0912955676541265
Family Incivility,1.110988066839026,0.8333333333333334,1.0017168079358203,0,1.1413564067736013,1,1.1310984054576816,1.0,-0.050042820688412926
Family to Personal Conflict,0.9238436165134056,0.0,0.9113920823019994,0,0.9456497192568751,0,0.922017736742105,0.0,-0.19696931939227297
Gender Determinism,0.8892464309936258,0.0,0.8221598572077632,0,1.0604217196112506,0,0.8372020735777448,0.0,-0.21666799278566473
Global Organizational Commitment,1.259135693914842,1.0,1.2520238294505985,1,1.270290478065803,1,1.2571142340714831,1.0,0.17781206404895744
Idea Validation,1.104483572401032,0.4,1.0251380758587727,0,1.1688731565646306,1,1.1219280507197946,0.0,-0.06740251170985063
Identity Strain,1.0551765209535506,0.0,0.9179706230038236,0,1.1242152651407165,0,1.0901664097441974,0.0,-0.10987428913019368
Inclusion in Decision Making,0.9769432457521952,0.5,0.7390297519755021,0,1.2068788347608432,1,0.9809321981362176,0.5,-0.14446963532095636
Integration of Differences,1.0331131384769767,0.5,0.8829480050312395,0,1.1262754704421807,2,1.041434476111212,0.0,-0.065836854948553
Interactional Justice Clarity,1.1187641686037317,1.0,1.0857184807317257,0,1.1404503729084787,2,1.1323480575889133,1.0,0.026430011534622544
Interest/Enjoyment Sales Self-Efficacy,1.1678685921323493,0.0,1.0849440285018461,0,1.236470826179677,0,1.2017633755333275,0.0,-0.07282699980842774
International Employee Identity,1.1221266829275593,0.5,1.0054346684676119,0,1.1989234599943572,2,1.1420743016241346,0.0,-0.0317237995630697
Interpersonal Fairness Monitoring,0.8830863976608708,0.0,0.7469247654924015,0,1.111604507223896,0,0.8739229784472711,0.0,-0.2952559388539324
Intraorganizational employee navigation,1.215852762553919,1.8,1.141473873630661,1,1.2493829112370156,2,1.2300757936187674,2.0,0.02844328824208091
Intrinsic Career Goal,1.047170859697836,0.4,0.9762083064252031,0,1.0980287152904518,2,1.063960214206902,0.0,-0.10022104483022387
Knowledge Stock,1.1875833480697726,0.8,1.1420652117620818,0,1.2556730129778215,2,1.1609515045009755,0.0,-0.02388861332581067
Loss Orientation,1.0721087311057953,0.3333333333333333,1.002654570040128,0,1.1569107217440229,2,1.073013545443148,0.0,-0.10700482258349335
Moral Credits,1.1661295610552247,0.6,1.1163259535295478,0,1.1915912646675353,2,1.1698955973217582,0.0,-0.05784788519836983
Moral Identification,0.9891672972477796,0.0,0.9299581911635392,0,1.036311681730988,0,0.9986180086610774,0.0,-0.11285055684780713
Naiveté,0.8825246529181593,0.0,0.8273148054735429,0,0.9119269583077688,0,0.8954284239456628,0.0,-0.2490368151658967
Organizational Support for Development,0.8039476187908301,0.0,0.7355412795620775,0,0.832882928868375,0,0.8176643535479119,0.0,-0.2191887539644349
Oscillation Orientation,1.1412440349022843,1.3333333333333333,1.107122156031816,0,1.1644441752810555,2,1.1521657733939814,2.0,-0.04520026292799706
Other Focus Credits,1.077473621191915,1.25,0.70770107509738,0,1.2038800704037953,2,1.199156669633242,1.5,-0.0030680101429507722
