,mean_focal,mean_focal_rank,min_focal,min_focal_rank,max_focal,max_focal_rank,median_focal,median_focal_rank,htd
Avoidant Leader Behaviors,0.2941444179301504,1.75,0.17233712964184308,1,0.486001184814734,2,0.25911967863201224,2.0,0.20100166809065417
Bottom-line mentality,0.3679897638456073,2.0,0.1907837439782132,2,0.5113186060759428,2,0.3849283526641366,2.0,0.35404237483085454
Calling,-0.07316353386673552,0.16666666666666666,-0.1349067770859575,0,-0.037492932658106826,2,-0.06725884450699038,0.0,-0.2197442727410439
Career Satisfaction,0.263099179920723,1.3333333333333333,0.14581872097751825,0,0.5218835697611033,2,0.24504683485784465,1.5,0.06077228553782369
Citizenship Fatigue,0.08386049048411638,0.3333333333333333,0.003482939026928686,0,0.2889509247922908,2,0.05051322894882858,0.0,-0.1788893970486846
Collaborative Leader Behaviors,0.47279121521324985,1.5,0.40825661995877915,1,0.5678896028345819,2,0.4575093190298192,1.5,0.33902857180805257
Communicating Hig Expectations by Supervisor,0.4677123861696755,1.2,0.33347107244366647,1,0.6592065066153884,2,0.4280149110482696,1.0,0.1300352058082283
Competence Certainity,0.018300183704311752,1.0,-0.007329762002896048,0,0.06178389409046278,2,0.009373301364840138,1.0,-0.016942053271993003
Constructive Voice,0.3738804792482327,1.4,0.24251531207900193,1,0.5085730926815546,2,0.4100088449006185,1.0,0.20512532363010524
Contingent Reactions to Supervisor,0.6759981545860436,1.0,0.6034223359144909,1,0.7764012105774624,1,0.6620845359261105,1.0,0.19524418447853892
Coworker Career Advancement,0.24315022275409284,1.6666666666666667,0.23653393669927647,1,0.24762983555867418,2,0.24528689600432785,2.0,0.10608665022107759
Coworker Emotional Support,0.12190634279497625,0.6666666666666666,0.013774192810429214,0,0.17611814610567872,1,0.17582668946882077,1.0,0.062364399650441216
Coworker Friendship,0.09514378760895519,0.3333333333333333,0.05706770926462443,0,0.1355431092541971,1,0.09282054430804398,0.0,-0.1397035025833645
