,mean,median,std,min,max
Avoidant Leader Behaviors,0.4268361376618637,0.38063579978811046,0.15054845575896159,0.24529034929607516,0.7256599617901481
Bottom-line mentality,0.2660748501412737,0.1910584372467321,0.19425529773422878,0.059939690542129394,0.5322337784816829
Calling,0.4125071101808714,0.3306714112423523,0.24147637915979256,0.11983518255840778,0.8520349947029252
Career Satisfaction,0.4014309417925276,0.3585959989261086,0.1460502075181224,0.22118739319009884,0.8769555298807616
Citizenship Fatigue,0.1926591352740942,0.10242845996056339,0.20390082112564817,-0.011137347894266634,0.7604112185661414
Collaborative Leader Behaviors,0.7560481420776873,0.7582504603917102,0.012141713977935497,0.7336443675553477,0.7718148793903129
Communicating Hig Expectations by Supervisor,0.2991626552223591,0.24915094256783996,0.163943930837946,0.11454231058678051,0.5723778079837109
Competence Certainity,0.21794283983579774,0.2584346649082499,0.1335291497875954,-0.010157052571298425,0.36646357077990654
Constructive Voice,0.31963619137788646,0.2765340583340943,0.15893970759613377,0.1623146929957592,0.6518403802523075
Contingent Reactions to Supervisor,0.7812671433358399,0.7683314026179042,0.07706877642920337,0.6620941164471423,0.9231241813759258
Coworker Career Advancement,0.5413132100368879,0.5667965368211938,0.07993678311262777,0.4331892422922182,0.6239538509972519
Coworker Emotional Support,0.470250309962136,0.34479294589362,0.1996910103357112,0.31386695041930385,0.7520910335734844
Coworker Friendship,0.3439909947593882,0.3396288393344037,0.018899233536416597,0.3233356926705147,0.36900845227324636
Coworker Giving to Others,0.6846420563619189,0.6933897200596711,0.027411153994102176,0.647562478384788,0.7129739706412973
Coworker Knowledge Utilization,0.5799708549210665,0.5510539491926734,0.07210575861124977,0.509743299143474,0.6791153164270519
Coworker Personal Growth ,0.4536892769809578,0.4621349787573351,0.09154957163541035,0.33758037382945505,0.5613524783560834
Coworker Project Qualities,0.26530074680785176,0.20634094249103216,0.14562392964191975,0.13067859310226781,0.560581518041384
Coworker Star Qualities,0.3127218179668896,0.28902384152364524,0.10611407557299771,0.1945117774198562,0.5721127043234495
Coworker Task Assistance,0.3142720045826559,0.32545035146518453,0.03458948018659796,0.2674404787582046,0.34992518352457874
Customer Unethical Behavior,0.9329657193540442,0.9356038505660458,0.031455666503999315,0.8619824974749527,0.9911503096137252
Decision Control/Autonomy Supervisor Behavior,0.44844919328869826,0.5094975833159192,0.15182315513775987,0.21395628417580662,0.6191350605539592
Defensive Voice,0.6771319232348685,0.6852365069988191,0.10711758125341914,0.5013839901175585,0.8459205486576035
Desire for Power,0.23333479215699107,0.1332014873756016,0.244681767660324,-0.02070563200235223,0.9202737054466948
Destructive Voice,0.37326037941596707,0.34439484795521624,0.18558526952273854,0.12140499767603181,0.6848174211106951
Distance/Closeness Supervisor Behaviors,0.347644782656556,0.33185085750495813,0.11888298203558914,0.1960520371323523,0.511320299824689
Distraction Stigmas,0.31677491574370725,0.30073711708426876,0.19510036916354298,0.0070221521647903,0.6637906064624044
Distributive Fairness Monitoring,0.3363604601695064,0.34358101408596,0.11659094548957671,0.1718364716726584,0.5237842286523969
Distributive Justice Clarity,0.7696350436098477,0.7718671521103477,0.03261529875513356,0.7286203698589002,0.8084176088602948
Dominating Leader Behavior,0.807697088074077,0.8012177103660276,0.011234878421295025,0.7983730597990334,0.8235004940571701
Duty to Codes Orientation,0.478494127640903,0.47327140200011636,0.095274583045499,0.3597067149591277,0.6332831042693391
Duty to Members Orientation,0.5352260449149878,0.5005591660075782,0.15773648714086497,0.3460220330605407,0.8644029881715418
Duty to Mission Orientation,0.5025325909369401,0.47897537457045447,0.18718076526759414,0.29299475684461374,0.7661386118523238
Emphasizing Group Identity by Supervisor,0.3909488379791341,0.3845011326801834,0.10753316925683987,0.20485679827396355,0.5634742081096539
Envisioning,0.6455122594408482,0.6438123424772283,0.07278304187372045,0.5572337180568734,0.7354907177884431
Equitable Organizational Practices,0.24272824435698065,0.19190696306197935,0.17878908829275048,0.07678719389494022,0.7520011069175696
Ethical Values Credits,0.2713394117782234,0.206424923081866,0.11546886434208067,0.17024967342007968,0.44285384576777453
Evangelism Stigmas,0.5247590988500029,0.5146843793471365,0.06913993801215144,0.4504200142332917,0.6464781906480646
Exclusion beliefs,0.32018618938170096,0.32018618938170096,0.0,0.32018618938170096,0.32018618938170096
Expectation Reaction to Supervisor,0.25784143116441866,0.15506301747466888,0.1540093661318583,0.13753720118981583,0.4895606074258148
Extrinsic Career Goal,0.27182909955203155,0.19108851087569811,0.2028921473663522,0.04361050300487715,0.6487021034563651
Family Incivility,0.5530205950807208,0.5564114508138972,0.08947206869224142,0.385890883440796,0.6934885847983314
Family to Personal Conflict,0.34714338731681077,0.3458442926203649,0.14541180206473434,0.18023826441625085,0.6598934740742877
Gender Determinism,0.4370261582509209,0.4065270646185169,0.26269939291141325,0.17099032952849771,0.9588724613936687
Global Organizational Commitment,0.6062206266117246,0.5630800464262635,0.14793916573247548,0.4456112431180197,0.8753371036919827
