,mean,median,std,min,max
Avoidant Leader Behaviors,0.9074218700485203,0.9095926082700904,0.034632410958798106,0.8603432937354297,0.9611014242385367
Bottom-line mentality,0.9394720912258125,0.9380836134152537,0.017633877513528053,0.9196515466553011,0.9729881272778935
Calling,0.8746007508571667,0.8714407944865308,0.032151600682953724,0.8195821198564488,0.9642630809709155
Career Satisfaction,0.8919866998538913,0.8867902710435955,0.023074553086727564,0.853895426378422,0.9497457579105513
Citizenship Fatigue,0.9172374038504469,0.9216113581737302,0.02341173761506042,0.8815200473285969,0.9561574358080996
Collaborative Leader Behaviors,0.9364695764028297,0.9331995999413618,0.012371000854084819,0.9231058280803753,0.9616889885230555
Communicating Hig Expectations by Supervisor,0.909207719926542,0.9154514661439017,0.027078082879094967,0.8568760374104523,0.9519335040003932
Competence Certainity,0.9410567372775186,0.9379325473762683,0.012776560242702774,0.9250409662177485,0.9659021556557451
Constructive Voice,0.956081069691488,0.9553889991062625,0.01719499284512614,0.9310300168633006,0.983573018652922
Contingent Reactions to Supervisor,0.9748206642563882,0.9740073902867943,0.0034947673812136602,0.9707086422637423,0.9813345906473167
Coworker Career Advancement,0.9210657166805611,0.9117319596561947,0.020357201978002646,0.9021469164147791,0.9493182739707096
Coworker Emotional Support,0.924671366578357,0.9133937871620661,0.030170399898443848,0.8946732134191635,0.9659470991538411
Coworker Friendship,0.8985854165024468,0.8880185061108936,0.022097387484331907,0.8783993388396936,0.9293384045567531
Coworker Giving to Others,0.9556797398392205,0.9605059900567663,0.011785394768063907,0.939450907134132,0.9670823223267632
Coworker Knowledge Utilization,0.9192721237883877,0.914149658053296,0.008892206934094917,0.911887137533435,0.9317795757784322
Coworker Personal Growth ,0.9194376607282742,0.9226646138752819,0.015073584621636948,0.8995756359917318,0.936072732317809
Coworker Project Qualities,0.9195923330935228,0.9195840804777939,0.017351761274772965,0.8873710793643912,0.9504802128437541
Coworker Star Qualities,0.906273574568616,0.90574528186749,0.025874232370750823,0.869555191617206,0.9536358058210609
Coworker Task Assistance,0.9062142457168035,0.9000929401397129,0.030324414623932015,0.8725155133506686,0.946034283660029
Customer Unethical Behavior,0.9506674996140958,0.9499378609223321,0.015927298370894263,0.9220125634512216,0.9819388045172408
Decision Control/Autonomy Supervisor Behavior,0.9382004614393785,0.9437333444202283,0.015313100704811006,0.9101061787714138,0.9581541641340586
Defensive Voice,0.9525505783427846,0.9520133401458648,0.011299287888650542,0.9382455595596073,0.9708557923214425
Desire for Power,0.869900835383234,0.8630999111895785,0.04266376298407705,0.7952009104092977,0.9834012850838022
Destructive Voice,0.9336401175379431,0.9321092235317885,0.022175425429961333,0.8943153959889059,0.9872376389172703
Distance/Closeness Supervisor Behaviors,0.9311867790412149,0.9220361611006151,0.020993263974388943,0.9120073691110516,0.9714511111185118
Distraction Stigmas,0.904471888282021,0.9044771595305963,0.020558432001861682,0.8712644168170127,0.9315053837737624
Distributive Fairness Monitoring,0.9434459070843276,0.9441701070639195,0.016406743006874173,0.9199906027547673,0.9784539048965423
Distributive Justice Clarity,0.9585961159300601,0.9592989110163846,0.006264569788207195,0.950596397574657,0.9658930391991386
Dominating Leader Behavior,0.9205039875805013,0.917073192052709,0.013882748979114543,0.9054781694279679,0.9389606012608273
Duty to Codes Orientation,0.8969879256088856,0.9031985126799492,0.01449401769429277,0.8737143002504393,0.91038755971511
Duty to Members Orientation,0.9194757711075093,0.9164146103441749,0.021836882743940834,0.8898521368420638,0.9599609805537805
Duty to Mission Orientation,0.9102785577812719,0.9156818595679865,0.031431363200684306,0.8664303898539076,0.954841124386009
