,mean,median,std,min,max
Avoidant Leader Behaviors,0.8570794860521952,0.8484319150447845,0.026979198240621144,0.8270293474197388,0.9125350117683411
Bottom-line mentality,0.8555042246977488,0.8556384146213531,0.023273101137130773,0.8166497945785522,0.8963845372200012
Calling,0.7507538208455751,0.7425251007080078,0.06914433744434913,0.5933828949928284,0.9329279661178589
Career Satisfaction,0.8625709161613927,0.8648676872253418,0.04702726873701056,0.7533255219459534,0.970194935798645
Citizenship Fatigue,0.8140843828519185,0.8262577056884766,0.06632928222149931,0.702495276927948,0.9330511093139648
Collaborative Leader Behaviors,0.9311200380325317,0.9310334324836731,0.01285985603388664,0.9117596745491028,0.9468299150466919
Communicating Hig Expectations by Supervisor,0.8480133712291718,0.8468128144741058,0.03645686633771182,0.8040233850479126,0.9221630692481995
Competence Certainity,0.8712931871414185,0.86664679646492,0.03815285087665829,0.8097149133682251,0.927347719669342
Constructive Voice,0.9034623026847839,0.908088743686676,0.02541966282653468,0.849765956401825,0.9407020211219788
Contingent Reactions to Supervisor,0.9546991089979807,0.9538884460926056,0.019344903157301648,0.9233134388923645,0.9864737391471863
Coworker Career Advancement,0.8601253827412924,0.8737912774085999,0.037037635750716696,0.8095018863677979,0.8970829844474792
Coworker Emotional Support,0.9052168726921082,0.8906765580177307,0.03593698408499355,0.8703131675720215,0.9546608924865723
Coworker Friendship,0.7804400126139323,0.7828695774078369,0.004335741863339178,0.7743496894836426,0.7841007709503174
Coworker Giving to Others,0.9376618464787801,0.9391037225723267,0.00536729076724893,0.9304870367050171,0.9433947801589966
Coworker Knowledge Utilization,0.8381941517194113,0.8342838287353516,0.04075694507893585,0.7903474569320679,0.8899511694908142
Coworker Personal Growth ,0.7932202418645223,0.7766653895378113,0.07242201154985077,0.7139655351638794,0.8890298008918762
Coworker Project Qualities,0.7835601568222046,0.7935782670974731,0.053858453847785474,0.6537549495697021,0.8402089476585388
Coworker Star Qualities,0.7918306648731231,0.7965768277645111,0.026750472797795993,0.7480849623680115,0.8423811197280884
Coworker Task Assistance,0.85003795226415,0.8638423681259155,0.022584782096383916,0.8181920647621155,0.868079423904419
Customer Unethical Behavior,0.9530130560908999,0.9548595249652863,0.01224071160280728,0.9301722645759583,0.9762517809867859
Decision Control/Autonomy Supervisor Behavior,0.8887451787789663,0.9014630019664764,0.022979154374512988,0.8458998203277588,0.909006655216217
Defensive Voice,0.9208962321281433,0.9157598614692688,0.024602950293606946,0.8825696706771851,0.954474687576294
Desire for Power,0.8367584307988485,0.8344192504882812,0.047455921372323476,0.7431914210319519,0.9571228623390198
Destructive Voice,0.8753623068332672,0.8711879551410675,0.02991736539667805,0.8280574679374695,0.9240793585777283
Distance/Closeness Supervisor Behaviors,0.8300867080688477,0.8216299414634705,0.044848808420197186,0.7796147465705872,0.9210530519485474
Distraction Stigmas,0.7922032376130422,0.8026117980480194,0.035126327100801644,0.7402349710464478,0.8316611051559448
Distributive Fairness Monitoring,0.8934434056282043,0.8883712887763977,0.016352246796228233,0.8741660118103027,0.9241431951522827
Distributive Justice Clarity,0.9622314771016439,0.9626554250717163,0.005201364897799364,0.9556597471237183,0.9683792591094971
Dominating Leader Behavior,0.9480611085891724,0.9474812746047974,0.005659511651769673,0.9414377808570862,0.9552642703056335
Duty to Codes Orientation,0.9095421135425568,0.9042211174964905,0.019849414008630398,0.8824392557144165,0.9362883567810059
Duty to Members Orientation,0.9213925004005432,0.916544497013092,0.027979609683754153,0.8864045143127441,0.9775269627571106
Duty to Mission Orientation,0.8541520138581594,0.8480913639068604,0.02934310396494512,0.824410617351532,0.9110692739486694
Emphasizing Group Identity by Supervisor,0.8177940011024475,0.8197935223579407,0.04052689424983165,0.7363346219062805,0.8772124648094177
Envisioning,0.9547669887542725,0.9591901302337646,0.01264340630388426,0.937551736831665,0.9675590991973877
Equitable Organizational Practices,0.6688856422901154,0.6605949401855469,0.04603555211586447,0.607379138469696,0.7776546478271484
Ethical Values Credits,0.8112328946590424,0.7937100529670715,0.04500373121871752,0.7757139205932617,0.9084293842315674
Evangelism Stigmas,0.8624400397141775,0.8654473721981049,0.01271298505112745,0.8404366970062256,0.8817523717880249
Exclusion beliefs,0.8278250694274902,0.8278250694274902,0.0,0.8278250694274902,0.8278250694274902
Expectation Reaction to Supervisor,0.7900607089201609,0.7704385221004486,0.07741294080545182,0.7254497408866882,0.954867422580719
Extrinsic Career Goal,0.8352792759736379,0.8233999609947205,0.0701970560707378,0.7577100992202759,0.9436488747596741
Family Incivility,0.8590260823567708,0.8622862696647644,0.021282605899551492,0.8208305239677429,0.9019842743873596
Family to Personal Conflict,0.850681746006012,0.8535515069961548,0.03362958697194678,0.7909738421440125,0.9291916489601135
Gender Determinism,0.7261766890684763,0.7523807883262634,0.1463474172174568,0.5498101115226746,0.9815719723701477
Global Organizational Commitment,0.8961255848407745,0.875756561756134,0.044044272658075125,0.8474540114402771,0.9736002683639526
Idea Validation,0.8682484447956085,0.8714190125465393,0.03133372761787096,0.7987796068191528,0.9076326489448547
Identity Strain,0.809451287984848,0.8148464560508728,0.032889200868827434,0.7412725687026978,0.8630061745643616
Inclusion in Decision Making,0.7944538791974386,0.8018796443939209,0.0780828108261058,0.7003546357154846,0.880626916885376
Integration of Differences,0.7563183585802714,0.7530971765518188,0.06155323860997224,0.6285117864608765,0.8421331644058228
Interactional Justice Clarity,0.9224285125732422,0.9225373566150665,0.018647661298815087,0.8889899253845215,0.9428470134735107
Interest/Enjoyment Sales Self-Efficacy,0.7547267138957977,0.7819593548774719,0.11336148345763082,0.5925161242485046,0.9401240944862366
International Employee Identity,0.8048021694024404,0.8331620991230011,0.045075937070250156,0.7381535172462463,0.8421826362609863
Interpersonal Fairness Monitoring,0.8955245931943258,0.89671391248703,0.03312771375666128,0.8304352164268494,0.9539868235588074
Intraorganizational employee navigation,0.80616095662117,0.8133951723575592,0.019513320314005315,0.7613584995269775,0.8243345618247986
Intrinsic Career Goal,0.8357959568500519,0.8332501649856567,0.02748618292707195,0.7951822280883789,0.9001277685165405
Knowledge Stock,0.9040132761001587,0.9072096049785614,0.02849486984746519,0.8602325320243835,0.9648574590682983
Loss Orientation,0.8614308595657348,0.8671585321426392,0.025291984478506595,0.8114867806434631,0.9095529913902283
Moral Credits,0.7374761819839477,0.7422266006469727,0.05325711942963739,0.6499553918838501,0.8110262751579285
Moral Identification,0.854391610622406,0.8415063917636871,0.037577681119032695,0.7900285124778748,0.9103832244873047
Naiveté,0.9770651757717133,0.977415144443512,0.005218031354905707,0.9701647162437439,0.986351490020752
Organizational Support for Development,0.9015980799992879,0.8886972665786743,0.03918869201858872,0.8561960458755493,0.9843820929527283
Oscillation Orientation,0.868489682674408,0.8535094857215881,0.030992119258077072,0.8403081893920898,0.9116513729095459
Other Focus Credits,0.8693402111530304,0.8643430769443512,0.030561305956511627,0.832608699798584,0.9282253980636597
Perceived Career Opportunity,0.9081036647160848,0.8834960460662842,0.03531023496558841,0.8827767968177795,0.9580381512641907
Performance Monitoring,0.8602948486804962,0.8505361378192902,0.019857293453613235,0.8470019698143005,0.9029330611228943
Personal Life Motives,0.8892503380775452,0.8918146789073944,0.020401869546981748,0.862945556640625,0.9201840162277222
Personal Recognition by Supervisor,0.8444924354553223,0.8466001749038696,0.044051436998710496,0.7759603261947632,0.920007586479187
Personal to Family Conflict,0.8247849106788635,0.8309130370616913,0.04964367816302475,0.7152802348136902,0.879038393497467
Personal to Work Conflict,0.841332733631134,0.826065868139267,0.03306627130708692,0.7962915301322937,0.9081751108169556
Planning,0.8871876200040182,0.890518069267273,0.005954420650367152,0.8788243532180786,0.8922204375267029
Procedural Fairness Monitoring,0.9044983446598053,0.9032968580722809,0.019716426037749212,0.8786903023719788,0.9412128329277039
Procedural Justice Clarity,0.9223423878351847,0.906700849533081,0.03446949799286012,0.8886821866035461,0.9893771409988403
Productivity Motives,0.8875846465428671,0.8686042428016663,0.035490286371121005,0.856836199760437,0.9373134970664978
Prohibitive Voice,0.8006045818328857,0.7983787953853607,0.0718530966531786,0.6981427669525146,0.9288694262504578
Promotive Voice,0.8466324925422668,0.8216517567634583,0.04611385319385715,0.7963550686836243,0.9295260906219482
Propensity to Morally Disengage,0.7409428592239108,0.7370742559432983,0.05193465917822707,0.662919819355011,0.875881016254425
Reflecting,0.9093059301376343,0.9037607312202454,0.014343980878994063,0.8951799273490906,0.9289771318435669
Relational Energy,0.8460882067680359,0.8298183083534241,0.04281763384143098,0.7972561120986938,0.9259251356124878
Reputation Maintenance Concerns,0.8511721193790436,0.8473594188690186,0.02777945962488139,0.8167086243629456,0.9078479409217834
Restoration Orientation,0.8113808115323384,0.8080206513404846,0.03675802954596126,0.749134361743927,0.8889490962028503
Self-Righteousness Stigmas,0.8860842883586884,0.8804067373275757,0.03177031665831068,0.8556984663009644,0.9491189122200012
Self-Verification Striving,0.778634290610041,0.7914685308933258,0.05799165250041424,0.6167536377906799,0.8627166748046875
Self/Other Centeredness Supervisor Behaviors,0.8485424160957337,0.8556436002254486,0.029579822511060627,0.7965589165687561,0.9096337556838989
Sense of Community Credits,0.8795191645622253,0.8760544657707214,0.056901437692420856,0.8162809610366821,0.982240617275238
Shame,0.9062867065270742,0.9074635207653046,0.015896390128852474,0.8861966133117676,0.9275679588317871
Skill/ability sales self-efficacy,0.780294269323349,0.7836996912956238,0.028158727079372697,0.7238770723342896,0.8250390291213989
Social Exchange Relationship,0.9963923295338949,0.9962457120418549,0.0004563513474821872,0.995773196220398,0.9971985220909119
State Gratitude,0.7628122568130493,0.7952242493629456,0.05767538745299335,0.6482641696929932,0.819927453994751
Subjective Social Class,0.9125943422317505,0.9095761775970459,0.024496257378852852,0.8811272382736206,0.9835684299468994
Superficial Reaction to Supervisor,0.8919553836186727,0.8701269030570984,0.07044277010744635,0.7810471057891846,0.9950624704360962
Supervisor Enforcing Work Requirements/Flexibility,0.8199722270170847,0.8156517446041107,0.02892101848223547,0.7763478755950928,0.8737255334854126
Supervisor Follower Development,0.8637186884880066,0.8505706787109375,0.04335814220597633,0.813687801361084,0.9532239437103271
Supervisor Intellectual Stimulation,0.8730754653612772,0.8653687834739685,0.034084086201334574,0.835721492767334,0.9181361198425293
Supervisor Solicitation of Voice,0.81808273990949,0.8088954985141754,0.09797456264438396,0.6809221506118774,0.9556635618209839
Supervisor Support for Recovery,0.7044733802477519,0.7009083032608032,0.08685073792559257,0.5682089924812317,0.859253466129303
Supervisor Team Building,0.8306599020957947,0.8331357538700104,0.03277674965858427,0.7792317867279053,0.8954420685768127
Supervisor Vision Communication,0.8525040944417318,0.8456586301326752,0.027126187834441883,0.8220292329788208,0.9013930559158325
Supervisor's Organizational Embodiment,0.8424280418290032,0.8271032273769379,0.05739011446412049,0.7593124508857727,0.9772310853004456
Supervisor-Triggered Newcomer Negative Affect,0.7998605625970023,0.7965996563434601,0.0556076320216856,0.6733697652816772,0.9101635813713074
Supervisor-Triggered Newcomer Positive Affect,0.8296104137386594,0.8249926269054413,0.04573734205504912,0.7515733242034912,0.9143622517585754
Supportive Voice (Burris),0.8548134764035543,0.8547569513320923,0.041000882831595586,0.7906739711761475,0.9187055230140686
Supportive Voice (Maynes),0.8857435703277587,0.8799174129962921,0.025650548553171327,0.8389347195625305,0.92962247133255
Synchrony Preference,0.7905575931072235,0.7904971837997437,0.01595888126663061,0.7645364999771118,0.8177589178085327
Team Temporal Leadership,0.9060893456141154,0.911525547504425,0.02075030044290427,0.8696593642234802,0.9447660446166992
Tendency to Gossip,0.9611704349517822,0.957898885011673,0.021152227831577275,0.9381601810455322,0.9899834990501404
Time Management Credits,0.821653425693512,0.8243300318717957,0.025785050477241573,0.7711548805236816,0.8522492051124573
Uniformity/Individualization Supervisor Behaviors,0.868863046169281,0.868635356426239,0.022413180445153127,0.8233093619346619,0.9071420431137085
Victim Identity,0.8023860057195028,0.7966676950454712,0.009541944412790791,0.7946598529815674,0.8158304691314697
Void Filling Stigmas,0.8448996643225352,0.8682347238063812,0.04960830264505221,0.7753462195396423,0.8963274955749512
Volunteering,0.8866319835186005,0.8898856937885284,0.02624101492903898,0.8402132987976074,0.9281139969825745
Voracity,0.9226283371448517,0.9179142713546753,0.022867916687512015,0.8959197998046875,0.9673278331756592
Wanderlust,0.8702230155467987,0.8584916889667511,0.036596175043797016,0.8363121151924133,0.9657869338989258
Work to Personal Conflict,0.7990038394927979,0.8059485852718353,0.04024636765281019,0.7118990421295166,0.8498863577842712
