,mean,median,std,min,max
Avoidant Leader Behaviors,0.6698150932788849,0.6659157276153564,0.1645291492092442,0.45775771141052246,0.8880329132080078
Bottom-line mentality,0.6206443309783936,0.5984461605548859,0.10648162135082202,0.5019415020942688,0.832220196723938
Calling,0.6619868124976303,0.6509532630443573,0.09701033403327125,0.4893597364425659,0.9049926400184631
Career Satisfaction,0.6431832200650013,0.6361639499664307,0.08367065808991471,0.4661984145641327,0.8816980123519897
Citizenship Fatigue,0.6490748643875122,0.6542534232139587,0.09865048015450195,0.48361843824386597,0.9198669195175171
Collaborative Leader Behaviors,0.7636034985383352,0.7451992630958557,0.059836784219508526,0.705760657787323,0.8918248414993286
Communicating Hig Expectations by Supervisor,0.6239909321069718,0.6890922784805298,0.1389617544558893,0.38164520263671875,0.8152512311935425
Competence Certainity,0.7310436069965363,0.7200851142406464,0.07929091305890004,0.636271595954895,0.8881120085716248
Constructive Voice,0.8621050477027893,0.863904744386673,0.03188220666711408,0.794381856918335,0.9049524664878845
Contingent Reactions to Supervisor,0.8849752147992452,0.8943239450454712,0.03332452125341234,0.8251690864562988,0.9280602931976318
Coworker Career Advancement,0.6228677233060201,0.52265864610672,0.18504995123483797,0.46360695362091064,0.8823375701904297
Coworker Emotional Support,0.6692644158999125,0.6362683176994324,0.1086004537319683,0.5558604598045349,0.8156644701957703
Coworker Friendship,0.3393368571996689,0.3440137505531311,0.08361357203038189,0.23467324674129486,0.4393235743045807
Coworker Giving to Others,0.671519915262858,0.6637015342712402,0.015496104886584861,0.6576992273330688,0.6931589841842651
Coworker Knowledge Utilization,0.7547263900438944,0.7468123435974121,0.046735956697929314,0.7018555998802185,0.8155112266540527
Coworker Personal Growth ,0.6166554888089498,0.6094958186149597,0.011933519249866771,0.6070002317428589,0.6334704160690308
Coworker Project Qualities,0.6881236135959625,0.6781053245067596,0.05957503604330443,0.6093089580535889,0.8238757848739624
Coworker Star Qualities,0.6313096046447754,0.6122657656669617,0.0940915434126592,0.42910701036453247,0.7518401145935059
Coworker Task Assistance,0.5684488415718079,0.5444161295890808,0.12880572489744574,0.42409002780914307,0.7368403673171997
Customer Unethical Behavior,0.819515734910965,0.8050681352615356,0.06836376232148993,0.6902610063552856,0.9207302331924438
Decision Control/Autonomy Supervisor Behavior,0.7322447896003723,0.7304411232471466,0.029077705591255977,0.6972989439964294,0.7772866487503052
Defensive Voice,0.8768198668956757,0.8659203052520752,0.041345102437439725,0.8115850687026978,0.9312794208526611
Desire for Power,0.42127899353702863,0.4114312529563904,0.2030894451798398,0.05896657332777977,0.9370565414428711
Destructive Voice,0.7641602277755737,0.7299773991107941,0.07371144908418664,0.6896847486495972,0.9114688038825989
Distance/Closeness Supervisor Behaviors,0.6614788075288137,0.6613973081111908,0.04359461315321931,0.6007782220840454,0.7374197244644165
Distraction Stigmas,0.5367193470398585,0.5118177682161331,0.13721838456550878,0.3598012924194336,0.7386287450790405
Distributive Fairness Monitoring,0.8153609871864319,0.8229987621307373,0.06088484865326892,0.7271786332130432,0.9407311081886292
Distributive Justice Clarity,0.8561097979545593,0.845977246761322,0.03050937199891387,0.824854850769043,0.897497296333313
Dominating Leader Behavior,0.6416329344113668,0.657129168510437,0.0508811954300409,0.5730305314064026,0.6947391033172607
Duty to Codes Orientation,0.5830318033695221,0.6011188328266144,0.049078397412823965,0.5074392557144165,0.6422590017318726
Duty to Members Orientation,0.5678378244241079,0.5219516307115555,0.19010956108705243,0.37978866696357727,0.9230230450630188
Duty to Mission Orientation,0.5539585004250208,0.5836290121078491,0.12728365128253458,0.37082964181900024,0.7401161193847656
Emphasizing Group Identity by Supervisor,0.6657135367393494,0.6375097632408142,0.10975177918630237,0.5211426019668579,0.8266202211380005
Envisioning,0.6890950004259745,0.6849116683006287,0.023020815702168282,0.6632257699966431,0.7191475629806519
Equitable Organizational Practices,0.48194063901901246,0.4639609456062317,0.12319667459468053,0.2585601508617401,0.7341995239257812
Ethical Values Credits,0.6082580983638763,0.5939877927303314,0.13187498877110818,0.37690097093582153,0.7641777992248535
Evangelism Stigmas,0.7935585379600525,0.7896723747253418,0.045183583190480076,0.7256497144699097,0.8620038032531738
Exclusion beliefs,0.6595330834388733,0.6595330834388733,0.0,0.6595330834388733,0.6595330834388733
Expectation Reaction to Supervisor,0.6707449307044347,0.7137166857719421,0.11834871289386951,0.4799371659755707,0.7886083722114563
Extrinsic Career Goal,0.6573119660218557,0.644331306219101,0.0805713221408661,0.5482316017150879,0.7973423004150391
Family Incivility,0.5708907266457875,0.5587649345397949,0.08072892703113246,0.4186525046825409,0.7037022113800049
Family to Personal Conflict,0.6602768957614898,0.6315488815307617,0.11741297570398354,0.4965069890022278,0.8617998957633972
Gender Determinism,0.6733974317709605,0.6961548924446106,0.14307849472201561,0.45600587129592896,0.8665519952774048
Global Organizational Commitment,0.746855765581131,0.7422752976417542,0.11443789546387517,0.5509481430053711,0.8953473567962646
Idea Validation,0.6381783872842789,0.6289888024330139,0.11468860251494267,0.42542049288749695,0.8196953535079956
Identity Strain,0.5814154237508774,0.5908456444740295,0.06761149842709492,0.4881283938884735,0.6673572659492493
Inclusion in Decision Making,0.5305297126372656,0.5199956595897675,0.07734238940825466,0.40924277901649475,0.6717331409454346
Integration of Differences,0.42607764105002083,0.4202469289302826,0.11952852733858808,0.23964126408100128,0.5920666456222534
Interactional Justice Clarity,0.7672390758991241,0.798060953617096,0.08855481275122813,0.6276256442070007,0.8735681772232056
Interest/Enjoyment Sales Self-Efficacy,0.5542767226696015,0.5081916004419327,0.1866183317348487,0.3467337489128113,0.9249182343482971
International Employee Identity,0.46178118884563446,0.49404488503932953,0.10490536187712371,0.3147245943546295,0.6118220686912537
Interpersonal Fairness Monitoring,0.7389622489611308,0.7861039638519287,0.1293684158083933,0.4691820740699768,0.9120728969573975
Intraorganizational employee navigation,0.4950258433818817,0.5015915334224701,0.08593265228979084,0.3779491186141968,0.6315754652023315
Intrinsic Career Goal,0.6359533637762069,0.6736833453178406,0.11543484983695575,0.44544145464897156,0.7603797912597656
Knowledge Stock,0.5936103880405426,0.5626331269741058,0.11607787685458226,0.5135772824287415,0.9283680319786072
Loss Orientation,0.6926647583643596,0.6754710674285889,0.06048218125373471,0.6132946014404297,0.793832004070282
Moral Credits,0.6627761542797088,0.6520488560199738,0.08209770181772133,0.5199589133262634,0.7847073674201965
Moral Identification,0.6359411031007767,0.617302656173706,0.10170917251113783,0.494497150182724,0.786200761795044
Naiveté,0.6165892581144968,0.6052105128765106,0.13724996135566897,0.42629462480545044,0.806856095790863
Organizational Support for Development,0.7109712560971578,0.6644189357757568,0.1416686184922249,0.5394220352172852,0.9475865364074707
Oscillation Orientation,0.6472067435582479,0.5894131660461426,0.09060837228554505,0.5770593881607056,0.7751476764678955
Other Focus Credits,0.6334060778220495,0.6217374503612518,0.08700684712641424,0.48203423619270325,0.761538028717041
Perceived Career Opportunity,0.8243418534596761,0.8377600908279419,0.03227215648249669,0.779854416847229,0.8554110527038574
Performance Monitoring,0.5486202090978622,0.587329238653183,0.10392058739840214,0.3446643054485321,0.6458972692489624
Personal Life Motives,0.752161572376887,0.7575983107089996,0.06890473544896335,0.6156647801399231,0.8417761325836182
