,mean,median,std,min,max
Avoidant Leader Behaviors,0.919234981139501,0.924541175365448,0.02118028330626857,0.8788083791732788,0.9474555850028992
Bottom-line mentality,0.8781697154045105,0.8705869317054749,0.023524875000983148,0.8552797436714172,0.9278179407119751
Calling,0.8669085574872566,0.8635431230068207,0.03922846777212306,0.7954666018486023,0.972712516784668
Career Satisfaction,0.8691736215894873,0.8646244406700134,0.03138701864485041,0.8094958066940308,0.9497873783111572
Citizenship Fatigue,0.8896949609120687,0.891586422920227,0.02614108268585353,0.851839542388916,0.9553148746490479
Collaborative Leader Behaviors,0.9361922244230906,0.9343549907207489,0.019868836430387945,0.9099333882331848,0.973639965057373
Communicating Hig Expectations by Supervisor,0.9186771392822266,0.9236943125724792,0.0243708777222368,0.8775779604911804,0.9555507898330688
Competence Certainity,0.9228521784146627,0.9218240678310394,0.023237698409502412,0.8918545842170715,0.9645488262176514
Constructive Voice,0.9384580612182617,0.9401937127113342,0.026260920821487385,0.8882334232330322,0.9831079244613647
Contingent Reactions to Supervisor,0.9518112242221832,0.9527111649513245,0.012495096153883714,0.9340776205062866,0.9679880738258362
Coworker Career Advancement,0.9215838511784872,0.9192990064620972,0.016106303079674346,0.9030996561050415,0.9423528909683228
Coworker Emotional Support,0.9252069393793741,0.9126025438308716,0.023041105104800494,0.9054863452911377,0.9575319290161133
Coworker Friendship,0.8873032331466675,0.8905978798866272,0.020009901113070584,0.8613155484199524,0.9099962711334229
Coworker Giving to Others,0.9288981755574545,0.9379602074623108,0.024422995148879762,0.8955031037330627,0.9532312154769897
Coworker Knowledge Utilization,0.9010684291521708,0.8980098962783813,0.0043686481056114355,0.8979488611221313,0.9072465300559998
Coworker Personal Growth ,0.9079727927843729,0.9151822328567505,0.01723589097536736,0.8842029571533203,0.9245331883430481
Coworker Project Qualities,0.9051675856113434,0.9087985157966614,0.023678773424907557,0.8671563863754272,0.9418283104896545
Coworker Star Qualities,0.8784171879291535,0.8710282444953918,0.031260794508433956,0.8347603678703308,0.9474273324012756
Coworker Task Assistance,0.8650456269582113,0.8507990837097168,0.03930910234889947,0.8256330490112305,0.9187047481536865
Customer Unethical Behavior,0.9403740295342037,0.9351989328861237,0.02095072210206506,0.912624716758728,0.9821476340293884
Decision Control/Autonomy Supervisor Behavior,0.9156109193960825,0.92464479804039,0.02541112372890976,0.8639919757843018,0.9379664659500122
Defensive Voice,0.9534771502017975,0.9542665183544159,0.010171881439824067,0.9362282752990723,0.966607391834259
Desire for Power,0.8524321463372972,0.8432855010032654,0.04606535647756319,0.780205488204956,0.9656461477279663
Destructive Voice,0.932564115524292,0.9299527108669281,0.021603756738906413,0.8970044851303101,0.98573237657547
Distance/Closeness Supervisor Behaviors,0.9018145700295767,0.8951191604137421,0.026804543070153026,0.8799315094947815,0.9591002464294434
Distraction Stigmas,0.8833311796188354,0.8763027787208557,0.04054331306647259,0.8387917280197144,0.9460736513137817
Distributive Fairness Monitoring,0.9236544609069824,0.9208792150020599,0.016068002527062794,0.9061893224716187,0.9624194502830505
Distributive Justice Clarity,0.9666587710380554,0.9694480895996094,0.005444946074913982,0.959048330783844,0.9714798927307129
Dominating Leader Behavior,0.9042502641677856,0.9023659229278564,0.016020855898488565,0.885638952255249,0.9247459173202515
Duty to Codes Orientation,0.8658019105593363,0.8737300336360931,0.03353316147875933,0.8021465539932251,0.9077942967414856
Duty to Members Orientation,0.8989606698354086,0.8908067047595978,0.03911949395831225,0.8494980931282043,0.9720561504364014
Duty to Mission Orientation,0.8794213732083639,0.8911884725093842,0.035544124657635935,0.8277684450149536,0.9140030145645142
Emphasizing Group Identity by Supervisor,0.9199966251850128,0.9101330637931824,0.025699973255549336,0.8892312049865723,0.9637255668640137
Envisioning,0.9222792784372965,0.9147547483444214,0.012634426188891709,0.9120066165924072,0.940076470375061
Equitable Organizational Practices,0.8260684132575988,0.8332282900810242,0.03741295407111925,0.768281102180481,0.8954460620880127
Ethical Values Credits,0.9057615200678507,0.8984180092811584,0.045844953745989514,0.858002781867981,0.9689728021621704
Evangelism Stigmas,0.9273079534371694,0.9259231984615326,0.015595671782728093,0.9028505682945251,0.9549005031585693
Exclusion beliefs,0.8933897614479065,0.8933897614479065,0.0,0.8933897614479065,0.8933897614479065
Expectation Reaction to Supervisor,0.9149813950061798,0.9250459671020508,0.030223308212169404,0.8614398837089539,0.9440801739692688
Extrinsic Career Goal,0.8891131083170573,0.8815443813800812,0.036378316221483215,0.84187912940979,0.9626721739768982
Family Incivility,0.9054059227307637,0.9001731872558594,0.02485004742233867,0.8605219125747681,0.9709823727607727
Family to Personal Conflict,0.9065277397632598,0.9068304300308228,0.024289370690745982,0.8564926981925964,0.9431375861167908
Gender Determinism,0.8945335944493612,0.8905858397483826,0.05117585289696819,0.8256514668464661,0.9643690586090088
Global Organizational Commitment,0.9460908571879069,0.9397763609886169,0.020523149146520342,0.9167084693908691,0.9823942184448242
Idea Validation,0.8898451507091523,0.8867723345756531,0.029469596908366143,0.8314142227172852,0.9331533908843994
Identity Strain,0.894566011428833,0.8916201889514923,0.013141719599745635,0.8751901984214783,0.9217563271522522
Inclusion in Decision Making,0.8502070705095927,0.8536379039287567,0.030200271401344514,0.8060643672943115,0.8911997079849243
Integration of Differences,0.8360144813855489,0.8310724496841431,0.02693369960691999,0.7957487106323242,0.8943420648574829
Interactional Justice Clarity,0.9447542369365692,0.944367378950119,0.010851425103577034,0.9240716695785522,0.9606446027755737
Interest/Enjoyment Sales Self-Efficacy,0.8218982875347137,0.8049981892108917,0.07309588770646831,0.7403447031974792,0.968421459197998
International Employee Identity,0.8601830899715424,0.8615251779556274,0.019464018096802267,0.8248110413551331,0.8837526440620422
Interpersonal Fairness Monitoring,0.936357033252716,0.9346157312393188,0.019122973808533703,0.9045801162719727,0.9715619087219238
Intraorganizational employee navigation,0.8334012389183044,0.8291469812393188,0.023340948433116994,0.7952845692634583,0.8797986507415771
Intrinsic Career Goal,0.8623229444026947,0.854263424873352,0.03268737969030589,0.8189687728881836,0.9341902136802673
Knowledge Stock,0.9055103898048401,0.8951258063316345,0.030285753833250616,0.8738254904747009,0.978650689125061
Loss Orientation,0.8755179683367411,0.8776065707206726,0.032490988041998,0.8255643248558044,0.926525890827179
Moral Credits,0.9257380902767182,0.9264332950115204,0.015389696176882154,0.9068789482116699,0.9608421325683594
Moral Identification,0.8816241085529327,0.8822890520095825,0.029810171535019046,0.8396239280700684,0.9358750581741333
Naiveté,0.908170759677887,0.9012205004692078,0.01894376418588347,0.8864591121673584,0.9428836703300476
Organizational Support for Development,0.9390515446662903,0.9352033138275146,0.0187806742556711,0.9032673239707947,0.9695444703102112
Oscillation Orientation,0.8968381881713867,0.89704430103302,0.0047515984524393404,0.8909183740615845,0.9025518894195557
Other Focus Credits,0.9077388445536295,0.9036867022514343,0.04345327561047237,0.8454688787460327,0.9692244529724121
Perceived Career Opportunity,0.9540624817212423,0.9452216625213623,0.015554789691372419,0.9410384893417358,0.9759272933006287
Performance Monitoring,0.89250381787618,0.8853962123394012,0.032430501283144265,0.8581728935241699,0.9457089900970459
Personal Life Motives,0.9436464607715607,0.9440047740936279,0.005982356733330534,0.9332605600357056,0.9524747729301453
Personal Recognition by Supervisor,0.933572938044866,0.930904358625412,0.01082638886665876,0.9226840734481812,0.9564351439476013
Personal to Family Conflict,0.9072900235652923,0.915204644203186,0.025503169898872195,0.8627044558525085,0.9376429319381714
Personal to Work Conflict,0.8941477715969086,0.8872234523296356,0.020234798573324282,0.870639443397522,0.9291281700134277
Planning,0.9011662801106771,0.8985061645507812,0.029378537006177326,0.8665889501571655,0.9384037256240845
Procedural Fairness Monitoring,0.9383469581604004,0.9368261098861694,0.016102963704613425,0.9140197038650513,0.968957781791687
Procedural Justice Clarity,0.9305272817611694,0.9294834733009338,0.013772179323414464,0.9071027040481567,0.9534765481948853
Productivity Motives,0.943880577882131,0.9427505731582642,0.005037275394139537,0.9383543133735657,0.950536847114563
Prohibitive Voice,0.8595236837863922,0.8482126593589783,0.033880415431847284,0.8074096441268921,0.90455561876297
Promotive Voice,0.9149279773235321,0.9178180396556854,0.028389218696312602,0.8600975275039673,0.9595845937728882
Propensity to Morally Disengage,0.7661748209169933,0.766972154378891,0.04441474785115482,0.6475939154624939,0.8346353769302368
Reflecting,0.910966157913208,0.903789758682251,0.010698761580684068,0.9030187726020813,0.9260899424552917
Relational Energy,0.8953014433383941,0.8983792364597321,0.04503393970939415,0.8308387994766235,0.9609982967376709
Reputation Maintenance Concerns,0.9100284278392792,0.9074652791023254,0.011205839361675277,0.8969707489013672,0.930072546005249
Restoration Orientation,0.8138497511545817,0.8124343156814575,0.057945777174835136,0.7174577713012695,0.924013614654541
Self-Righteousness Stigmas,0.9263493220011393,0.9308542609214783,0.03109568992763577,0.8797479867935181,0.9757015705108643
Self-Verification Striving,0.8430302760430745,0.8412104845046997,0.02947777426875585,0.7819132804870605,0.9034100770950317
Self/Other Centeredness Supervisor Behaviors,0.8782512307167053,0.8808304667472839,0.023051853242287437,0.8391904234886169,0.9124996066093445
Sense of Community Credits,0.936141719420751,0.9307125210762024,0.02424899743779852,0.9027175903320312,0.9718062877655029
Shame,0.8928243716557821,0.8904046416282654,0.06758320511664143,0.8108167052268982,0.9838591814041138
Skill/ability sales self-efficacy,0.8740806341171264,0.8725516200065613,0.02873218896932468,0.8331876397132874,0.928691029548645
Social Exchange Relationship,0.9517002602418264,0.9532320201396942,0.004903861768329046,0.9444493055343628,0.9572559595108032
State Gratitude,0.8764838576316833,0.868121474981308,0.031971241221637386,0.8304126262664795,0.9316763877868652
Subjective Social Class,0.910731315612793,0.9049609899520874,0.02910266471596588,0.8753097653388977,0.9794600009918213
Superficial Reaction to Supervisor,0.8761444965998332,0.8787484169006348,0.04935950802991099,0.7900707721710205,0.9582794308662415
Supervisor Enforcing Work Requirements/Flexibility,0.8831397294998169,0.8842184543609619,0.015153274695639303,0.8537502288818359,0.9011730551719666
Supervisor Follower Development,0.9214176138242086,0.9279947578907013,0.01836173986861419,0.8855103850364685,0.9391643404960632
Supervisor Intellectual Stimulation,0.8669078350067139,0.8475848436355591,0.035400175701190445,0.8365727663040161,0.9165658950805664
Supervisor Solicitation of Voice,0.8901905218760172,0.8933321535587311,0.010178394756598446,0.8699747920036316,0.9023911952972412
Supervisor Support for Recovery,0.8251865943272908,0.8202040195465088,0.02826248811228215,0.7810584306716919,0.8863465785980225
Supervisor Team Building,0.9293184697628021,0.93095263838768,0.009390918025331353,0.9123343229293823,0.9443126916885376
Supervisor Vision Communication,0.9312249521414439,0.9246563613414764,0.0169652223161406,0.9154367446899414,0.9618233442306519
Supervisor's Organizational Embodiment,0.9033896260791354,0.9051400125026703,0.033977207072846856,0.8298435807228088,0.9786564707756042
Supervisor-Triggered Newcomer Negative Affect,0.9122178788696017,0.9120262265205383,0.02329461774339011,0.8635386228561401,0.9540461301803589
Supervisor-Triggered Newcomer Positive Affect,0.9264862941844123,0.9263103008270264,0.023534745672012504,0.8708978295326233,0.9694430828094482
Supportive Voice (Burris),0.8842575351397196,0.8900278508663177,0.04432203248977327,0.8070861101150513,0.9336554408073425
Supportive Voice (Maynes),0.9266725718975067,0.9348200261592865,0.015181774067962471,0.9000006914138794,0.9462661147117615
Synchrony Preference,0.8512983818848928,0.8456003367900848,0.05479237468011001,0.769574761390686,0.951898992061615
Team Temporal Leadership,0.918140709400177,0.9180328249931335,0.01529340190476885,0.8920924663543701,0.9534657001495361
Tendency to Gossip,0.9388952155907949,0.9367963969707489,0.016436967590171086,0.9142560958862305,0.9695332646369934
Time Management Credits,0.9451241691907247,0.9428058862686157,0.015235924074652803,0.9269765615463257,0.9678944945335388
Uniformity/Individualization Supervisor Behaviors,0.9008811354637146,0.9081709086894989,0.026355963978869083,0.8482010960578918,0.9394363164901733
Victim Identity,0.9701274434725443,0.9738756418228149,0.012593891039818702,0.9531744718551636,0.9833322167396545
Void Filling Stigmas,0.9109670023123423,0.9060691595077515,0.016489697668743097,0.890911877155304,0.9330320954322815
Volunteering,0.9434269309043884,0.9469927847385406,0.014495729526845687,0.914322018623352,0.9670652151107788
Voracity,0.9612264394760132,0.9578655362129211,0.012941673066740997,0.946733295917511,0.9831141233444214
Wanderlust,0.8989243865013122,0.8821251094341278,0.03715733273511698,0.854362428188324,0.9648720622062683
Work to Personal Conflict,0.8900189936161041,0.889948695898056,0.030010023632685623,0.8388462066650391,0.9292032718658447
