,mean,median,std,min,max
Avoidant Leader Behaviors,0.26340365254630643,0.04903390072286129,0.34133244842639754,0.012874290347099304,0.8903218507766724
Bottom-line mentality,0.010835745718698794,0.0009550162358209491,0.01943981137663129,0.0002249925018986687,0.05379496514797211
Calling,0.053018803653575364,0.003690737532451749,0.1627711343477611,0.000536604318767786,0.9398776292800903
Career Satisfaction,0.004636676177721132,0.0016345668118447065,0.01654401324211221,0.0003506812499836087,0.13629962503910065
Citizenship Fatigue,0.004531427822075784,0.003684867173433304,0.0037194259739868557,0.001166132278740406,0.01586177945137024
Collaborative Leader Behaviors,0.01343525352422148,0.005573841510340571,0.019628034215986676,0.001346808159723878,0.05714528635144234
Communicating Hig Expectations by Supervisor,0.014685818052385002,0.006613589124754071,0.01833281935445167,0.0006952883559279144,0.05901974067091942
Competence Certainity,0.0032009551456818977,0.0034449570812284946,0.0008578568710274688,0.0020202952437102795,0.004473060369491577
Constructive Voice,0.0010453308233991266,0.0009245268593076617,0.0005365095875307829,0.0005389588186517358,0.002524041570723057
Contingent Reactions to Supervisor,0.0011760260773977886,0.0009948571387212723,0.0005489056080393211,0.0006529747042804956,0.002231977414339781
Coworker Career Advancement,0.004075870810387035,0.00521788839250803,0.0017112512053055187,0.001657047658227384,0.005352676380425692
Coworker Emotional Support,0.005647327556895713,0.002057862002402544,0.00560046179027526,0.0013277687830850482,0.013556351885199547
Coworker Friendship,0.0008328971453011036,0.0008617766434326768,0.0001323800679126058,0.0006582662463188171,0.0009786485461518168
Coworker Giving to Others,0.0025874650261054435,0.0024516992270946503,0.00033687394843282556,0.0022598712239414454,0.0030508246272802353
Coworker Knowledge Utilization,0.0038564777156958976,0.0033160571474581957,0.0011850504591455675,0.0027528335340321064,0.005500542465597391
Coworker Personal Growth ,0.001139161429212739,0.0011434953194111586,0.000191945752716954,0.0009019398712553084,0.0013720490969717503
Coworker Project Qualities,0.0042702699196524915,0.0035560118267312646,0.0033370991860198758,0.0009452680824324489,0.01177249290049076
Coworker Star Qualities,0.0026477458246517926,0.0020437491475604475,0.0014102102185649687,0.000781314738560468,0.004940174054354429
Coworker Task Assistance,0.004200514444770913,0.003609447507187724,0.0022342704018422635,0.0018079396104440093,0.007184156216681004
Customer Unethical Behavior,0.011863124195120431,0.008663761429488659,0.012159985396827836,0.0014865160919725895,0.05765007436275482
Decision Control/Autonomy Supervisor Behavior,0.010930473528181514,0.0037422485183924437,0.016185674271177675,0.0006972311530262232,0.04664113000035286
Defensive Voice,0.013304966758005321,0.009556689765304327,0.010526570910157766,0.002962843282148242,0.03589637950062752
Desire for Power,0.008945129840220842,0.004558959044516087,0.012222170211050116,0.0009289142908528447,0.05796458572149277
Destructive Voice,0.00479936987394467,0.0032738932641223073,0.004111828155188301,0.0010700823040679097,0.016012096777558327
Distance/Closeness Supervisor Behaviors,0.04325282860857745,0.01919805444777012,0.0447473234818181,0.005155754275619984,0.11452741920948029
Distraction Stigmas,0.00244602287421003,0.0021885476890020072,0.0011135729411445798,0.00136259151622653,0.004254294093698263
Distributive Fairness Monitoring,0.009048222296405584,0.0029110012110322714,0.01288339436780086,0.0010704700835049152,0.0450214147567749
Distributive Justice Clarity,0.012339218519628048,0.01146610639989376,0.003661992845621502,0.008354966528713703,0.01719658263027668
Dominating Leader Behavior,0.009013591799885035,0.006157722789794207,0.005222397529657305,0.004542953334748745,0.016340099275112152
Duty to Codes Orientation,0.004209676699247211,0.004511984530836344,0.001739126269410275,0.0017374780727550387,0.007090327329933643
Duty to Members Orientation,0.001951493327699912,0.0009835793171077967,0.0022248504775572806,0.0004439914773683995,0.006763466168195009
Duty to Mission Orientation,0.001234565405563141,0.001314903434831649,0.0004424481822122416,0.0004877729807049036,0.001758798724040389
Emphasizing Group Identity by Supervisor,0.007319590734550729,0.0026463179383426905,0.013708930959769225,0.0004303836030885577,0.047991301864385605
Envisioning,0.010480412437270084,0.011219634674489498,0.005413275565339293,0.0035119005478918552,0.0167097020894289
Equitable Organizational Practices,0.0015472905186470598,0.0014609101344831288,0.0005419686700235936,0.0008751628338359296,0.0025808829814195633
Ethical Values Credits,0.0013358044864920278,0.0013486890238709748,0.00028912843392926994,0.0009543377673253417,0.0018568653613328934
Evangelism Stigmas,0.0815589507498468,0.007164735579863191,0.13729546022042657,0.0013935344759374857,0.3812660276889801
Exclusion beliefs,0.4691300690174103,0.4691300690174103,0.0,0.4691300690174103,0.4691300690174103
Expectation Reaction to Supervisor,0.013292188135286173,0.01242279470898211,0.009147246694190163,0.0006375331431627274,0.026854103431105614
Extrinsic Career Goal,0.002400407004946222,0.002466600970365107,0.0004477982948796163,0.0015847600298002362,0.002917461097240448
Family Incivility,0.030250577939053377,0.016212033107876778,0.03454199985808578,0.005509770009666681,0.1259603500366211
Family to Personal Conflict,0.003034971511806361,0.0010070651187561452,0.006103546535407313,0.00048011544276960194,0.021323489025235176
Gender Determinism,0.04954546218505129,0.028236295096576214,0.06379190270259179,0.0012609331170096993,0.18900355696678162
Global Organizational Commitment,0.01505187425451974,0.011643855832517147,0.009685202890748128,0.00676784897223115,0.035531170666217804
Idea Validation,0.0024258469231426714,0.0023879725486040115,0.0009297575331762285,0.0006448008352890611,0.0040312474593520164
Identity Strain,0.015179036557674408,0.010869779624044895,0.009560142247034914,0.004520562011748552,0.030281225219368935
Inclusion in Decision Making,0.002277893111264954,0.002275030128657818,0.0010583400129014478,0.0007172301411628723,0.004100872669368982
Integration of Differences,0.0020901661172198754,0.001182880369015038,0.002419832586582524,0.0006927833892405033,0.010482434183359146
Interactional Justice Clarity,0.005102172330953181,0.002464926801621914,0.005574202623057321,0.000571630778722465,0.020082339644432068
Interest/Enjoyment Sales Self-Efficacy,0.30314052454195917,0.04958975687623024,0.3886016171792686,0.003531814320012927,0.9521340131759644
International Employee Identity,0.009390395716764033,0.0055266316048800945,0.00872060066517849,0.003324212273582816,0.02863132394850254
Interpersonal Fairness Monitoring,0.0015593608550261706,0.0014159503625705838,0.0010170516095742066,0.00046002413728274405,0.0037751845084130764
Intraorganizational employee navigation,0.014168555510696023,0.00851407740265131,0.015374967371826288,0.0016716712852939963,0.04860741272568703
Intrinsic Career Goal,0.0028408179874531924,0.002951365546323359,0.0005477203678070277,0.0019465318182483315,0.0038825450465083122
Knowledge Stock,0.0028992972103878854,0.0018890381325036287,0.0021807555554050097,0.0008065896108746529,0.007066590711474419
Loss Orientation,0.017647521942853926,0.0077048069797456264,0.021246982095743595,0.0015770008321851492,0.0838237777352333
Moral Credits,0.0017404168378561736,0.001801071222871542,0.0005841511070664588,0.0008347712573595345,0.0025889191310852766
Moral Identification,0.20339197688736022,0.0911365831270814,0.2729116305231967,0.004304409492760897,0.9322862029075623
Naiveté,0.0633233105763793,0.055680856108665466,0.03727564633271787,0.016497286036610603,0.13199007511138916
Organizational Support for Development,0.012158195689941446,0.007782003376632929,0.011670525610790745,0.0017749173566699028,0.04782698303461075
Oscillation Orientation,0.1908459129432837,0.18418247997760773,0.11423490182077634,0.054388079792261124,0.3339671790599823
Other Focus Credits,0.004450734627122681,0.001426013302989304,0.004515938701403435,0.001063290168531239,0.011164817027747631
Perceived Career Opportunity,0.0030954579512278237,0.0028585416730493307,0.0004684477312929475,0.0026781288906931877,0.0037497032899409533
Performance Monitoring,0.0035351575643289834,0.002659090328961611,0.002823986505906736,0.0008191752131097019,0.009338973090052605
