,mean,median,std,min,max
Avoidant Leader Behaviors,0.37410964630544186,0.3948771208524704,0.2175504969604891,0.0606512613594532,0.7161746621131897
Bottom-line mentality,0.8457294404506683,0.8890774548053741,0.1356470729730861,0.6160639524459839,0.9743435382843018
Calling,0.3035344732925296,0.23116722702980042,0.24189394768412417,0.01166468858718872,0.9628545045852661
Career Satisfaction,0.12759294728289894,0.02677881997078657,0.1951366669299449,0.00129020179156214,0.7629151344299316
Citizenship Fatigue,0.439798331912607,0.41568735241889954,0.333190605535705,0.006290195044130087,0.93862384557724
Collaborative Leader Behaviors,0.39022907118002575,0.38595353066921234,0.2485868868153582,0.06023775786161423,0.7001458406448364
Communicating Hig Expectations by Supervisor,0.6691893711686134,0.7809670269489288,0.25472863151065656,0.2174856811761856,0.9593439698219299
Competence Certainity,0.47010279695192975,0.3771679997444153,0.29701729703563584,0.13719025254249573,0.9276219010353088
Constructive Voice,0.9126738488674164,0.9318543672561646,0.05733700476619501,0.7972165942192078,0.9830780625343323
Contingent Reactions to Supervisor,0.9604824086030325,0.9723129570484161,0.026790256278916163,0.9055178761482239,0.9835476279258728
Coworker Career Advancement,0.5926836033662161,0.45150259137153625,0.25898002559244093,0.3706020712852478,0.955946147441864
Coworker Emotional Support,0.6644297440846761,0.8100946545600891,0.30086633039884514,0.24537897109985352,0.9378156065940857
Coworker Friendship,0.4528867353995641,0.3740957975387573,0.21374826108241368,0.23954425752162933,0.7450201511383057
Coworker Giving to Others,0.7061947385470072,0.6828944087028503,0.09485544189132367,0.603437066078186,0.8322527408599854
Coworker Knowledge Utilization,0.31862029309074086,0.043462950736284256,0.39998692075637127,0.028179533779621124,0.8842183947563171
Coworker Personal Growth ,0.5207993388175964,0.452804833650589,0.20536701034256669,0.3102644383907318,0.7993287444114685
Coworker Project Qualities,0.4791186122223735,0.6502051055431366,0.36060769215134014,0.007959762588143349,0.968454122543335
Coworker Star Qualities,0.3493315731175244,0.26318085193634033,0.2938575485390018,0.006499351002275944,0.7335073947906494
Coworker Task Assistance,0.31011204421520233,0.22980447113513947,0.17661076419032987,0.1454486846923828,0.5550829768180847
Customer Unethical Behavior,0.39678743867469685,0.2621571868658066,0.33698976111529955,0.01851772889494896,0.95786452293396
Decision Control/Autonomy Supervisor Behavior,0.8989197512467703,0.96342533826828,0.1209452557205858,0.6490175724029541,0.985160231590271
Defensive Voice,0.8899696946144104,0.931519091129303,0.09824923281975971,0.6798893809318542,0.9775049090385437
Desire for Power,0.2989353299968772,0.24385476112365723,0.2244947168179292,0.01148991659283638,0.8850201964378357
Destructive Voice,0.5366240940988064,0.7799621224403381,0.4132310889922316,0.026125334203243256,0.958929717540741
Distance/Closeness Supervisor Behaviors,0.3644114211201668,0.35228975117206573,0.1574982604927146,0.1809316873550415,0.626209557056427
Distraction Stigmas,0.7524497111638387,0.805554211139679,0.1604349556401981,0.5368104577064514,0.960181474685669
Distributive Fairness Monitoring,0.6574836030602456,0.7844125330448151,0.31568960568087445,0.14030462503433228,0.9899222254753113
Distributive Justice Clarity,0.7701144218444824,0.7635630369186401,0.1304503392733114,0.6137225031852722,0.9330577254295349
Dominating Leader Behavior,0.35276413212219876,0.13381285965442657,0.3947848675077293,0.017461292445659637,0.90701824426651
Duty to Codes Orientation,0.3584248249729474,0.3954644948244095,0.13266551479206445,0.14387544989585876,0.5005073547363281
Duty to Members Orientation,0.6252328157424927,0.6978523433208466,0.16534735170297948,0.33043211698532104,0.7802280187606812
Duty to Mission Orientation,0.6872844298680624,0.6066851615905762,0.18407149816219695,0.5049342513084412,0.9555233120918274
Emphasizing Group Identity by Supervisor,0.46411004215478896,0.3278123587369919,0.33882110786749325,0.11210386455059052,0.983512818813324
Envisioning,0.41165791141490143,0.35655590891838074,0.3460297871136144,0.018105899915099144,0.8603119254112244
Equitable Organizational Practices,0.02625222080387175,0.009576355572789907,0.04035529792536306,0.006342902313917875,0.1448170244693756
Ethical Values Credits,0.49545066555341083,0.47383107244968414,0.20841571504216183,0.25234705209732056,0.8631435036659241
Evangelism Stigmas,0.794425701101621,0.858328253030777,0.18587710201069185,0.41146597266197205,0.9795278310775757
Exclusion beliefs,0.04715210944414139,0.04715210944414139,0.0,0.04715210944414139,0.04715210944414139
Expectation Reaction to Supervisor,0.4800100599726041,0.5046674236655235,0.35883294375402314,0.05818089842796326,0.9155600070953369
Extrinsic Career Goal,0.501077505449454,0.47984445095062256,0.25133530447867514,0.11932693421840668,0.9323199987411499
Family Incivility,0.28578262850642205,0.2263706773519516,0.24203534524496104,0.04865603148937225,0.9179181456565857
Family to Personal Conflict,0.6531026095151902,0.6408624649047852,0.2000774783800026,0.33609193563461304,0.9508041143417358
Gender Determinism,0.39251410588622093,0.16937325149774551,0.39119179926877856,0.06984812766313553,0.9838497638702393
Global Organizational Commitment,0.849401980638504,0.8533846139907837,0.056636932268910915,0.7750192284584045,0.9250491857528687
Idea Validation,0.5008699044585228,0.5153454393148422,0.32490868885372176,0.06408951431512833,0.8842475414276123
Identity Strain,0.4208410277962685,0.4930250495672226,0.21550049701143723,0.018566377460956573,0.6528754234313965
Inclusion in Decision Making,0.2162763917197784,0.0917290449142456,0.31879188323717655,0.008247948251664639,0.9151115417480469
Integration of Differences,0.2359521698827545,0.09045743197202682,0.26839778149193994,0.008008789271116257,0.8010662794113159
Interactional Justice Clarity,0.5572311669588089,0.5296003073453903,0.2453293439246738,0.15231743454933167,0.9732100367546082
Interest/Enjoyment Sales Self-Efficacy,0.2761877878801897,0.06318583525717258,0.3731463996043665,0.002121042227372527,0.9617122411727905
International Employee Identity,0.20760158697764078,0.25857873260974884,0.13178425022495605,0.01749834045767784,0.3609027564525604
Interpersonal Fairness Monitoring,0.8882122238477071,0.9565532803535461,0.14489172259959357,0.411304771900177,0.9872009754180908
Intraorganizational employee navigation,0.09602308440953493,0.0739896297454834,0.06975343913410005,0.015596810728311539,0.264624685049057
Intrinsic Career Goal,0.16048695938661695,0.05170316994190216,0.17129324599674095,0.013344311155378819,0.496908575296402
Knowledge Stock,0.08813174976967275,0.007714242208749056,0.219317482682577,0.002228965749964118,0.7432606816291809
Loss Orientation,0.42385299019515515,0.40522998571395874,0.2841669958549224,0.02180909924209118,0.8848223686218262
Moral Credits,0.814134681224823,0.8654237687587738,0.1462520020142129,0.5021934509277344,0.9774203896522522
Moral Identification,0.17981592961587012,0.02190235536545515,0.28259602285849056,0.0021161502227187157,0.7942258715629578
Naiveté,0.6104292174180349,0.5809153318405151,0.1291825275603833,0.4218243956565857,0.7866037487983704
Organizational Support for Development,0.2939310842504104,0.14716500043869019,0.3059133180765435,0.017973341047763824,0.9296497702598572
Oscillation Orientation,0.30552680790424347,0.13627023994922638,0.2658003795437309,0.09948530793190002,0.680824875831604
Other Focus Credits,0.44473641117413837,0.4926443248987198,0.24782426415233527,0.09840241074562073,0.7237539291381836
Perceived Career Opportunity,0.5966746111710867,0.4398224353790283,0.25573613554689684,0.3928782641887665,0.9573231339454651
Performance Monitoring,0.47939437131086987,0.5063654482364655,0.28886848279660815,0.09866093099117279,0.9349024891853333
Personal Life Motives,0.5783258279164633,0.5550039559602737,0.20776669624174884,0.30816587805747986,0.9091447591781616
Personal Recognition by Supervisor,0.8614850242932638,0.878688246011734,0.08631207207952077,0.7479978799819946,0.983558714389801
Personal to Family Conflict,0.47707183957099913,0.505880668759346,0.33476034314366226,0.06730760633945465,0.8497352004051208
Personal to Work Conflict,0.5030512969940901,0.6281720101833344,0.3248288068819634,0.04043654724955559,0.9157508015632629
Planning,0.5059635043144226,0.5452549457550049,0.18526660588232724,0.2619794011116028,0.7106561660766602
Procedural Fairness Monitoring,0.8826148688793183,0.9660247564315796,0.17006564541757727,0.47645652294158936,0.9862573742866516
Procedural Justice Clarity,0.19864443093538284,0.11152360588312149,0.21854728028295045,0.027332119643688202,0.8277403712272644
Productivity Motives,0.815662682056427,0.78278648853302,0.08628043680037643,0.7303371429443359,0.933864414691925
Prohibitive Voice,0.38654810255393385,0.34822726249694824,0.209807997265643,0.009708560071885586,0.7335500121116638
Promotive Voice,0.7032821267843247,0.7100784182548523,0.1402547759590858,0.43021127581596375,0.929742693901062
Propensity to Morally Disengage,0.024822481733281165,0.011392369400709867,0.04032624299118948,0.002443968318402767,0.20472775399684906
Reflecting,0.15022260695695877,0.13392916321754456,0.036873859989647886,0.11546926945447922,0.20126938819885254
Relational Energy,0.4660033334046602,0.3589251637458801,0.35761366056814586,0.028212133795022964,0.9883309006690979
Reputation Maintenance Concerns,0.7404668827851614,0.7383871674537659,0.08239082177121768,0.5907084941864014,0.8434675931930542
Restoration Orientation,0.13850263670707744,0.02027459628880024,0.2502786466822088,0.005475165788084269,0.9704059362411499
Self-Righteousness Stigmas,0.8379975060621897,0.8686749041080475,0.1291437190380976,0.5670573115348816,0.9840084314346313
Self-Verification Striving,0.3237037074619106,0.26847662776708603,0.27036350925902775,0.015245955437421799,0.8989375233650208
Self/Other Centeredness Supervisor Behaviors,0.26745614372193816,0.22483399510383606,0.24063157981459243,0.01731252670288086,0.881294310092926
Sense of Community Credits,0.5480998863155643,0.6837044954299927,0.33862095764096833,0.023785492405295372,0.8879528045654297
Shame,0.4714003801345825,0.41709642857313156,0.33214827819159365,0.1310681253671646,0.9083559513092041
Skill/ability sales self-efficacy,0.1719379572197795,0.13448986411094666,0.17951743958957414,0.026954593136906624,0.6828285455703735
Social Exchange Relationship,0.25722619518637657,0.23273755609989166,0.1736892423375118,0.015983380377292633,0.5230412483215332
State Gratitude,0.4505748115479946,0.3437311500310898,0.32426225369146777,0.11274661868810654,0.9480891227722168
Subjective Social Class,0.6494158307711283,0.7290762066841125,0.24036637553226492,0.1550339162349701,0.9474504590034485
Superficial Reaction to Supervisor,0.3879146723387142,0.027670903131365776,0.4549423068434728,0.006920208688825369,0.9653404951095581
Supervisor Enforcing Work Requirements/Flexibility,0.35878313643236953,0.3864038735628128,0.23271541583606817,0.059776026755571365,0.5969957113265991
Supervisor Follower Development,0.61969127257665,0.7367144525051117,0.33968976839461196,0.12945781648159027,0.9683987498283386
Supervisor Intellectual Stimulation,0.7290188868840536,0.742584764957428,0.14300112666203607,0.5474905371665955,0.8969813585281372
Supervisor Solicitation of Voice,0.38602407090365887,0.4009968489408493,0.2662865509341351,0.03405289724469185,0.8478273153305054
Supervisor Support for Recovery,0.1789429685877015,0.03745180368423462,0.29320867160068986,0.003752927528694272,0.9195124506950378
Supervisor Team Building,0.5190066441893577,0.5553071200847626,0.2287517547975025,0.15364207327365875,0.8413355946540833
Supervisor Vision Communication,0.5027786679565907,0.49799738824367523,0.25243882248877564,0.09702577441930771,0.9565171003341675
Supervisor's Organizational Embodiment,0.3593341527092788,0.22571518272161484,0.2980839707595312,0.03621746599674225,0.9782341122627258
Supervisor-Triggered Newcomer Negative Affect,0.5066744024765545,0.5838545262813568,0.33356243140003994,0.006908448413014412,0.9783137440681458
Supervisor-Triggered Newcomer Positive Affect,0.6410571215674281,0.721847265958786,0.2964525389755454,0.05328378826379776,0.9823036789894104
Supportive Voice (Burris),0.7104844599962234,0.8725172281265259,0.3221979789644251,0.07961651682853699,0.9687370657920837
Supportive Voice (Maynes),0.9534054875373841,0.9480848908424377,0.0287603673165666,0.9156795144081116,0.9942622184753418
Synchrony Preference,0.5150895242889723,0.5592021048069,0.23648735838504284,0.08849035203456879,0.868153989315033
Team Temporal Leadership,0.18204351833888463,0.150314599275589,0.10081605546273088,0.06988833844661713,0.44550803303718567
Tendency to Gossip,0.8128254214922587,0.8473102152347565,0.07260185280286563,0.6880136728286743,0.8890210390090942
Time Management Credits,0.7818057785431544,0.8678583204746246,0.23847694037081157,0.2818961441516876,0.9653810262680054
Uniformity/Individualization Supervisor Behaviors,0.8337348103523254,0.8076175153255463,0.12499248963995144,0.6517013907432556,0.982108473777771
Victim Identity,0.9370466868082682,0.9524472951889038,0.03347777155919716,0.8905745148658752,0.9681182503700256
Void Filling Stigmas,0.8034977912902832,0.9447008371353149,0.2302617847829007,0.3453892469406128,0.9692531824111938
Volunteering,0.7082096189260483,0.8962432742118835,0.30269467113419796,0.13290521502494812,0.980185866355896
Voracity,0.9311110138893127,0.9431740343570709,0.05339506939533811,0.8049989342689514,0.9813154339790344
Wanderlust,0.49946563597768545,0.5994701683521271,0.3303169155311074,0.025329165160655975,0.9676018953323364
