,mean,median,std,min,max
Avoidant Leader Behaviors,0.3624867058048646,0.3574130982160568,0.1977616294536222,0.04902688041329384,0.6622495055198669
Bottom-line mentality,0.14343478872130314,0.08383641391992569,0.13280633205475698,0.025007745251059532,0.3752289116382599
Calling,0.6434467264987302,0.7208581864833832,0.24956279316390614,0.03519042581319809,0.9541909098625183
Career Satisfaction,0.8677703794656377,0.9719828367233276,0.19788526022234898,0.23427672684192657,0.9981826543807983
Citizenship Fatigue,0.5556702564160029,0.5805788040161133,0.3327615032428313,0.05619259923696518,0.9910703897476196
Collaborative Leader Behaviors,0.5963356792926788,0.6098704636096954,0.2400853041709288,0.2946375012397766,0.9357956647872925
Communicating Hig Expectations by Supervisor,0.31612479910254476,0.18917041271924973,0.2471762961670731,0.039960697293281555,0.7640164494514465
Competence Certainity,0.5266962610185146,0.6200186610221863,0.29659524233811135,0.06895057111978531,0.8591516613960266
Constructive Voice,0.08628082238137721,0.06739115715026855,0.057323749605178956,0.015608016401529312,0.20189505815505981
Contingent Reactions to Supervisor,0.03834156428153316,0.026596332900226116,0.026366757130468665,0.015336125157773495,0.09225011616945267
Coworker Career Advancement,0.40324050560593605,0.543144702911377,0.2572907800133539,0.04239679500460625,0.624180018901825
Coworker Emotional Support,0.3299229269226392,0.17634905874729156,0.30254830687075857,0.060856543481349945,0.7525631785392761
Coworker Friendship,0.5462803641955057,0.6249255537986755,0.21364120392278507,0.2543215751647949,0.7595939636230469
Coworker Giving to Others,0.2912178039550781,0.3148457109928131,0.09513672638393303,0.16469645500183105,0.3941112458705902
Coworker Knowledge Utilization,0.677523247897625,0.9532210230827332,0.3991936705176606,0.11302880197763443,0.9663199186325073
Coworker Personal Growth ,0.478061522046725,0.5458230972290039,0.20523259540717004,0.19976939260959625,0.6885920763015747
Coworker Project Qualities,0.5166111273691059,0.34672220051288605,0.3577669876955129,0.029815031215548515,0.9802677631378174
Coworker Star Qualities,0.6480206936597824,0.7333574891090393,0.29361019104606273,0.2657112777233124,0.9919068813323975
Coworker Task Assistance,0.6856874525547028,0.7630113363265991,0.17524483755898615,0.4431091248989105,0.8509418964385986
Customer Unethical Behavior,0.5913494101592472,0.718752384185791,0.33179119291589015,0.03807324171066284,0.9689655303955078
Decision Control/Autonomy Supervisor Behavior,0.09014974969128768,0.032832421362400055,0.10530729645589734,0.013083141297101974,0.30434125661849976
Defensive Voice,0.09672534503042698,0.05884473957121372,0.08890272551862904,0.01917051151394844,0.2897302508354187
Desire for Power,0.6921195447444916,0.7495404481887817,0.2217176975818565,0.1124444454908371,0.9859281778335571
Destructive Voice,0.45857653915882113,0.210514135658741,0.412911600212265,0.03901355713605881,0.97149658203125
Distance/Closeness Supervisor Behaviors,0.5923357307910919,0.6421958208084106,0.1659894399827505,0.34480857849121094,0.8021309971809387
Distraction Stigmas,0.24510430668791136,0.19213507324457169,0.16125984810254776,0.036869339644908905,0.4617663025856018
Distributive Fairness Monitoring,0.33346819281578066,0.20713695883750916,0.3076743016648047,0.008391535840928555,0.8450432419776917
Distributive Justice Clarity,0.2175463524957498,0.22497090697288513,0.1268671745183934,0.058587249368429184,0.36908090114593506
Dominating Leader Behavior,0.638222299516201,0.8616442084312439,0.3922269025105316,0.08682406693696976,0.9661986231803894
Duty to Codes Orientation,0.6373655050992966,0.5999962687492371,0.13180789903412557,0.4977551996707916,0.8490341901779175
Duty to Members Orientation,0.37281568100055057,0.2984602600336075,0.16536337558069836,0.21932795643806458,0.6675311326980591
Duty to Mission Orientation,0.31148099961380166,0.39204929769039154,0.183713866679835,0.043375175446271896,0.4933069348335266
Emphasizing Group Identity by Supervisor,0.528570369631052,0.669478178024292,0.33398222459977694,0.016056813299655914,0.8851711750030518
Envisioning,0.5778616915146509,0.632224440574646,0.3406172414649526,0.1361761838197708,0.9651844501495361
Equitable Organizational Practices,0.9722004890441894,0.9888998568058014,0.04067066472093553,0.8526021242141724,0.9927818775177002
Ethical Values Credits,0.503213514884313,0.5249424576759338,0.20847320985487944,0.13541895151138306,0.7466986179351807
Evangelism Stigmas,0.12401535237828891,0.1339859440922737,0.06320639728289716,0.019078589975833893,0.20726798474788666
Exclusion beliefs,0.4837178587913513,0.4837178587913513,0.0,0.4837178587913513,0.4837178587913513
Expectation Reaction to Supervisor,0.5066977515816689,0.48290979862213135,0.3499206525921249,0.08380244672298431,0.9149649143218994
Extrinsic Career Goal,0.4965221087137858,0.5176239311695099,0.2516930800679555,0.06485885381698608,0.8790883421897888
Family Incivility,0.6839667856693268,0.7431280016899109,0.22859158794139764,0.07657214999198914,0.9127790331840515
Family to Personal Conflict,0.34386241659522054,0.35815712809562683,0.19789334868344896,0.048715740442276,0.6628541946411133
Gender Determinism,0.5579404320257405,0.7160509824752808,0.37884563277295014,0.014889373444020748,0.9152399301528931
Global Organizational Commitment,0.13554615651567778,0.12420829385519028,0.05492558379647301,0.06818286329507828,0.20901666581630707
Idea Validation,0.496704214066267,0.4819210469722748,0.32460437172820167,0.11367432773113251,0.934298038482666
Identity Strain,0.5639799386262894,0.49055662751197815,0.22169342484505244,0.31684327125549316,0.9750707745552063
Inclusion in Decision Making,0.7814457168181738,0.9055867195129395,0.3182520173776811,0.08417114615440369,0.9898520112037659
Integration of Differences,0.7619576642910639,0.9088498950004578,0.2685849306206528,0.19782410562038422,0.988710343837738
Interactional Justice Clarity,0.43766665179282427,0.46530781686306,0.24123869213522725,0.02621840126812458,0.8276002407073975
Interest/Enjoyment Sales Self-Efficacy,0.420671708509326,0.2190137431025505,0.35867624323649927,0.034755926579236984,0.9226294755935669
International Employee Identity,0.7830079893271128,0.7361653745174408,0.12539189286445715,0.6357730031013489,0.9538703560829163
Interpersonal Fairness Monitoring,0.11022840446482102,0.04290083795785904,0.14450359218015163,0.012121189385652542,0.5861625075340271
Intraorganizational employee navigation,0.8898083448410035,0.9010928273200989,0.0655651791683973,0.7332530617713928,0.9827315211296082
Intrinsic Career Goal,0.8366722047328949,0.9462296366691589,0.17140130132636586,0.499828577041626,0.9835599660873413
Knowledge Stock,0.9089689463376999,0.9900757372379303,0.220556490897379,0.25051435828208923,0.9964304566383362
Loss Orientation,0.558499468366305,0.5612359046936035,0.2738216628062508,0.11134594678878784,0.9625967144966125
Moral Credits,0.18412489909678698,0.13266437128186226,0.14605226559442772,0.021688098087906837,0.49563872814178467
Moral Identification,0.6167920850217342,0.733171820640564,0.29524050055532675,0.06559757143259048,0.9546230435371399
Naiveté,0.32624748597542447,0.34067097306251526,0.1076170592680864,0.19669419527053833,0.5086196064949036
Organizational Support for Development,0.6939107159773509,0.8478975296020508,0.29946018563082366,0.06857533752918243,0.9620494842529297
Oscillation Orientation,0.5036272406578064,0.5665475130081177,0.17507278610142657,0.2647870182991028,0.6795471906661987
Other Focus Credits,0.550812820593516,0.5011111199855804,0.24911458941019035,0.2657550275325775,0.9000697731971741
Perceived Career Opportunity,0.40022995819648105,0.5564278364181519,0.25546940634564436,0.03999879211187363,0.6042632460594177
Performance Monitoring,0.5170704753448566,0.4869202673435211,0.2893363292715781,0.06160988286137581,0.900519847869873
Personal Life Motives,0.4086550424496333,0.4316757321357727,0.1999769936264441,0.08876284956932068,0.6540958285331726
Personal Recognition by Supervisor,0.13548682754238447,0.1174551397562027,0.08536761833071745,0.01537170261144638,0.24836821854114532
Personal to Family Conflict,0.5052057772874832,0.488394096493721,0.3198837638394264,0.14921937882900238,0.9285050630569458
Personal to Work Conflict,0.4930893458425999,0.3665713965892792,0.32419887015473386,0.08283905684947968,0.9540679454803467
Planning,0.48508476217587787,0.4434727728366852,0.1857990005556828,0.28120601177215576,0.7305755019187927
Procedural Fairness Monitoring,0.10336050195619464,0.03232007101178169,0.14533170214028565,0.011068270541727543,0.43436750769615173
Procedural Justice Clarity,0.7868839253981909,0.8623141646385193,0.216088505564829,0.1657426506280899,0.9697504639625549
Productivity Motives,0.176181019594272,0.19872026145458221,0.08555691632646732,0.061960119754076004,0.2678626775741577
Prohibitive Voice,0.6102417260408401,0.6481543779373169,0.20941919999783648,0.2645798921585083,0.9867412447929382
Promotive Voice,0.29211226403713225,0.2846899777650833,0.13882930217274334,0.06913474202156067,0.5640870928764343
Propensity to Morally Disengage,0.856263245855059,0.899002879858017,0.11936386791330511,0.5971947908401489,0.9892978668212891
Reflecting,0.8426799178123474,0.8638431429862976,0.04165362811013657,0.7844892144203186,0.879707396030426
Relational Energy,0.5320696071721613,0.6398260295391083,0.3581277619570964,0.010649037547409534,0.9694389700889587
Reputation Maintenance Concerns,0.25660254061222076,0.25924358516931534,0.08310787419686719,0.1490408331155777,0.40632686018943787
Restoration Orientation,0.7938353889932235,0.9236623048782349,0.2696817851666459,0.028394630178809166,0.9895584583282471
Self-Righteousness Stigmas,0.15685760974884033,0.12811381369829178,0.13022615288941253,0.013513416051864624,0.430244505405426
Self-Verification Striving,0.6678583443697009,0.7289194464683533,0.2673880028301984,0.10060733556747437,0.9804077744483948
Self/Other Centeredness Supervisor Behaviors,0.6786899022758007,0.7254128456115723,0.24412705422036157,0.11579867452383041,0.9613834619522095
Sense of Community Credits,0.4467297817269961,0.3131309226155281,0.342010357033158,0.09221388399600983,0.9748649001121521
Shame,0.5042166672646999,0.5574567019939423,0.32528052980178795,0.0807865634560585,0.8419904112815857
Skill/ability sales self-efficacy,0.8201223969459533,0.862213522195816,0.1758293289278843,0.3159335255622864,0.9415366053581238
Social Exchange Relationship,0.6764801392952601,0.6992687880992889,0.19712883810763596,0.3553372919559479,0.9537184238433838
State Gratitude,0.5472075205296278,0.6530135571956635,0.32322521245594393,0.05128582566976547,0.8843569159507751
Subjective Social Class,0.3451735665400823,0.2687925696372986,0.23627734301235684,0.050618864595890045,0.8234403729438782
Superficial Reaction to Supervisor,0.2036198452115059,0.11896637827157974,0.16765668869728395,0.03166377171874046,0.5195403695106506
Supervisor Enforcing Work Requirements/Flexibility,0.4824787452816963,0.358528733253479,0.2769266306005827,0.13339342176914215,0.8606042861938477
Supervisor Follower Development,0.37553080916404724,0.25921526551246643,0.3374026592856917,0.02938573807477951,0.8657537698745728
Supervisor Intellectual Stimulation,0.2620353351036708,0.24557176232337952,0.1421535443007402,0.09675009548664093,0.4437841475009918
Supervisor Solicitation of Voice,0.5908105919758478,0.5902966558933258,0.24922177187640177,0.14960581064224243,0.9306491613388062
Supervisor Support for Recovery,0.7237702965736389,0.8412001132965088,0.27073022817828907,0.07935571670532227,0.9633192420005798
Supervisor Team Building,0.47812561839818957,0.44113218784332275,0.2284819008286733,0.15669196844100952,0.843679666519165
Supervisor Vision Communication,0.4770483660201232,0.4703298658132553,0.2521874027452073,0.04220958799123764,0.8957309126853943
Supervisor's Organizational Embodiment,0.6348085573408753,0.7702491581439972,0.2980491341698793,0.012187794782221317,0.9602702856063843
Supervisor-Triggered Newcomer Negative Affect,0.4648349713534117,0.3931228071451187,0.3291036642461115,0.021095171570777893,0.9904621243476868
Supervisor-Triggered Newcomer Positive Affect,0.3500237482200776,0.275335431098938,0.2931677490966059,0.01659216731786728,0.9372547268867493
Supportive Voice (Burris),0.2866843255857627,0.12554148957133293,0.32021230571507303,0.029337264597415924,0.9128249883651733
Supportive Voice (Maynes),0.04276558561250567,0.04437882639467716,0.028159169950198966,0.004890712909400463,0.08108427375555038
Synchrony Preference,0.48129556824763614,0.43779875338077545,0.23591920551710696,0.12802903354167938,0.9068595767021179
Team Temporal Leadership,0.7989592949549357,0.8222296237945557,0.09628187807122227,0.5482858419418335,0.919719398021698
Tendency to Gossip,0.17558565239111582,0.14086560159921646,0.07246526602198183,0.10632012039422989,0.30107951164245605
Time Management Credits,0.21661760471761227,0.12987755797803402,0.23885963228150883,0.032875336706638336,0.7170653343200684
Uniformity/Individualization Supervisor Behaviors,0.15183631833642722,0.1409764178097248,0.1244770642981718,0.01678084395825863,0.3429153263568878
Victim Identity,0.060419256488482155,0.04535437747836113,0.03228748308028255,0.030621957033872604,0.10528143495321274
Void Filling Stigmas,0.17629206056396166,0.051845306530594826,0.1986325179586244,0.027445316314697266,0.5566220879554749
Volunteering,0.28989563677459956,0.10161642357707024,0.30204463532620923,0.01793987676501274,0.8632722496986389
Voracity,0.06146890707314014,0.05114268697798252,0.05119198851469897,0.012418333441019058,0.1858474612236023
Wanderlust,0.4393399655818939,0.3729843944311142,0.2769535102594727,0.026076823472976685,0.8366334438323975
Work to Personal Conflict,0.3170305248349905,0.13432259112596512,0.28127810221670835,0.034792009741067886,0.9050388932228088
