,mean,median,std,min,max
Avoidant Leader Behaviors,0.9600816965103149,0.9964898228645325,0.05344921910853426,0.8788903951644897,0.9993557333946228
Bottom-line mentality,0.5417337259277701,0.5131040215492249,0.38019222677668346,0.02206435240805149,0.9973317384719849
Calling,0.7766190011788047,0.8994211852550507,0.3086440257124051,0.021602479740977287,0.9997243285179138
Career Satisfaction,0.15618610375024605,0.019034027121961117,0.2795719830385997,0.0007460950873792171,0.9959534406661987
Citizenship Fatigue,0.12128343450870792,0.008717418648302555,0.25456763596357507,4.7484714741585776e-05,0.9966253042221069
Collaborative Leader Behaviors,0.9987098475297292,0.9986978769302368,0.0006102208892093827,0.9977352619171143,0.9997227787971497
Communicating Hig Expectations by Supervisor,0.6411746184807271,0.7279988825321198,0.3611988047256903,0.0019622179679572582,0.9978627562522888
Competence Certainity,0.1288840571748248,0.002137142058927566,0.26367293509775697,0.00023329752730205655,0.7170940637588501
Constructive Voice,0.9082751363515854,0.9780539870262146,0.18557657403533342,0.3586589992046356,0.998263418674469
Contingent Reactions to Supervisor,0.9978505174318949,0.9987848401069641,0.001752483892041437,0.9945458173751831,0.9994081258773804
Coworker Career Advancement,0.9662338693936666,0.9677217602729797,0.02753437922172044,0.9317919611930847,0.9991878867149353
Coworker Emotional Support,0.5177814066410065,0.5375349521636963,0.34923849798726136,0.08051881194114685,0.9352904558181763
Coworker Friendship,0.11095531886288275,0.051483530551195145,0.12121403176125096,0.0014554703375324607,0.27992695569992065
Coworker Giving to Others,0.9856393535931905,0.9936779141426086,0.015638572251438453,0.9637767672538757,0.9994633793830872
Coworker Knowledge Utilization,0.9783334533373514,0.9965536594390869,0.026389797812807064,0.9410160779953003,0.9974306225776672
Coworker Personal Growth ,0.8980926672617594,0.9850383400917053,0.1305669569209144,0.7135456204414368,0.9956940412521362
Coworker Project Qualities,0.13324152743443846,0.0936729721724987,0.11280686868278247,0.00611997302621603,0.3740788400173187
Coworker Star Qualities,0.14351524151861667,0.011098020244389772,0.21498955961028857,0.0028189404401928186,0.5936603546142578
Coworker Task Assistance,0.4633385439713796,0.2996771037578583,0.3794958040529582,0.10252177715301514,0.9878167510032654
Customer Unethical Behavior,0.9992566938911166,0.9993987083435059,0.0005394170881359344,0.9979140162467957,0.999910831451416
Decision Control/Autonomy Supervisor Behavior,0.9112480779488882,0.982234001159668,0.15531118550284767,0.5654434561729431,0.998337984085083
Defensive Voice,0.9805510401725769,0.9957802593708038,0.034742499040760724,0.8805786371231079,0.9990466237068176
Desire for Power,0.13061648501748602,0.0003863154270220548,0.30950160002802185,1.57422309712274e-05,0.9982386827468872
Destructive Voice,0.8151320397853852,0.9213129580020905,0.2052691763215675,0.35395675897598267,0.9996032118797302
Distance/Closeness Supervisor Behaviors,0.9686955412228903,0.9721448421478271,0.025293360748135325,0.9262692332267761,0.9985899329185486
