,mean,median,std,min,max
Avoidant Leader Behaviors,0.8943203787008921,0.8872677087783813,0.029585687659245463,0.8558647036552429,0.9432116746902466
Bottom-line mentality,0.9187576075394949,0.925072431564331,0.021268523263243397,0.8748776316642761,0.937472939491272
Calling,0.8914877790393252,0.9045792818069458,0.05927279615321626,0.695393443107605,0.9690225720405579
Career Satisfaction,0.945693985079274,0.947483479976654,0.0186679381932793,0.9003063440322876,0.9876793622970581
Citizenship Fatigue,0.8704121907552084,0.8618385791778564,0.05009079032574083,0.7805431485176086,0.9404361844062805
Collaborative Leader Behaviors,0.9647293388843536,0.9663236439228058,0.007018343284604252,0.9544339776039124,0.9732102751731873
Communicating Hig Expectations by Supervisor,0.8726457357406616,0.9373883306980133,0.09831885421164517,0.7327890992164612,0.9677848815917969
Competence Certainity,0.9009984831015269,0.9021004438400269,0.0391082043939037,0.8295958042144775,0.9613751173019409
Constructive Voice,0.9400293111801148,0.9467896819114685,0.021829617934456404,0.9001867771148682,0.9685317277908325
Contingent Reactions to Supervisor,0.9612109760443369,0.970224529504776,0.01672475806325177,0.9348146915435791,0.9774617552757263
Coworker Career Advancement,0.9542620380719503,0.9600327014923096,0.009270977923887607,0.9411810636520386,0.9615723490715027
Coworker Emotional Support,0.9221067031224569,0.9168667197227478,0.015874636758784224,0.9058213233947754,0.9436320662498474
Coworker Friendship,0.8582760294278463,0.873547375202179,0.05205019887198634,0.788279116153717,0.9130015969276428
Coworker Giving to Others,0.9748855233192444,0.9737197756767273,0.0025421368614587307,0.9725231528282166,0.9784136414527893
Coworker Knowledge Utilization,0.9203201532363892,0.9268662929534912,0.0111432832397073,0.904632568359375,0.9294615983963013
Coworker Personal Growth ,0.930784006913503,0.9355164170265198,0.01699992797960244,0.9080045819282532,0.9488310217857361
Coworker Project Qualities,0.8055741131305695,0.8161391317844391,0.062253005295741376,0.7053091526031494,0.8910788893699646
Coworker Star Qualities,0.7645749926567078,0.795743852853775,0.09300722308856836,0.6097968816757202,0.8682637810707092
Coworker Task Assistance,0.8942905068397522,0.8753376007080078,0.032218028006550235,0.8678839206695557,0.9396499991416931
Customer Unethical Behavior,0.9857601821422577,0.985876202583313,0.0040453113173479415,0.9764661192893982,0.9929786920547485
Decision Control/Autonomy Supervisor Behavior,0.9365092714627584,0.9369352459907532,0.023131254146690643,0.8968813419342041,0.9696375131607056
Defensive Voice,0.9579521059989929,0.960361123085022,0.01718032137652252,0.9324034452438354,0.9818509817123413
Desire for Power,0.8475687212414211,0.8539872169494629,0.07420571722343407,0.6594617962837219,0.9973334074020386
Destructive Voice,0.9032384634017945,0.9175124168395996,0.037649665241948356,0.8396801948547363,0.9445768594741821
Distance/Closeness Supervisor Behaviors,0.9143577218055725,0.9168236255645752,0.022273452545582606,0.8775777220726013,0.9396952390670776
Distraction Stigmas,0.8669289747873942,0.8578390777111053,0.04297981596208729,0.8077843189239502,0.949447751045227
Distributive Fairness Monitoring,0.9276960670948029,0.9252475798130035,0.02264066477149894,0.8925048112869263,0.9768612384796143
Distributive Justice Clarity,0.9726733565330505,0.972209632396698,0.0022836613755871267,0.9701372981071472,0.9756731390953064
Dominating Leader Behavior,0.9705097277959188,0.9696091413497925,0.0017681289740278446,0.9689398407936096,0.9729802012443542
Duty to Codes Orientation,0.912149061759313,0.9147725403308868,0.02206028485094423,0.8790261149406433,0.9481342434883118
Duty to Members Orientation,0.9215174615383148,0.918053150177002,0.03698311479424504,0.8672667741775513,0.9911826848983765
Duty to Mission Orientation,0.9275215963522593,0.9220230877399445,0.015981438304315202,0.9078419208526611,0.9526354074478149
Emphasizing Group Identity by Supervisor,0.9217290699481964,0.919145256280899,0.020864763946569595,0.8743808269500732,0.954527735710144
Envisioning,0.9570327003796896,0.9574207663536072,0.00763076053831343,0.9474989771842957,0.9661783576011658
Equitable Organizational Practices,0.8351523578166962,0.8651429116725922,0.06066254071691949,0.724947988986969,0.9027266502380371
Ethical Values Credits,0.8293923636277517,0.8383185565471649,0.043498086867448216,0.7673178911209106,0.8935443162918091
Evangelism Stigmas,0.9533225993315378,0.9530177712440491,0.011025490933996714,0.9368199706077576,0.9722096920013428
Exclusion beliefs,0.9304589033126831,0.9304589033126831,0.0,0.9304589033126831,0.9304589033126831
Expectation Reaction to Supervisor,0.7833633422851562,0.7517010271549225,0.07977618065713743,0.7016466856002808,0.927761435508728
Extrinsic Career Goal,0.8540111482143402,0.8697324991226196,0.08766620100790222,0.7125452756881714,0.9775992631912231
Family Incivility,0.9470744053522746,0.9465863108634949,0.007793030699545409,0.9337906837463379,0.968659520149231
Family to Personal Conflict,0.8963530719280243,0.8917924761772156,0.030670145595947374,0.8697313666343689,0.9823721051216125
Gender Determinism,0.7829794784386953,0.7994308471679688,0.13582230653128385,0.611159086227417,0.986841082572937
Global Organizational Commitment,0.9499530096848806,0.9416406154632568,0.02013999658941398,0.936602771282196,0.9943076968193054
Idea Validation,0.9207512497901916,0.9192713499069214,0.022401893562628155,0.8902134895324707,0.95949387550354
Identity Strain,0.893915730714798,0.8997268378734589,0.03644171105280647,0.8333127498626709,0.9540431499481201
Inclusion in Decision Making,0.9078760147094727,0.9124922454357147,0.01914971754112201,0.8783459663391113,0.9325716495513916
Integration of Differences,0.8914183100064595,0.9145360589027405,0.04404545550660539,0.8216359615325928,0.944168210029602
Interactional Justice Clarity,0.9483920812606812,0.9490174949169159,0.010373631693534937,0.9238861799240112,0.9665601253509521
Interest/Enjoyment Sales Self-Efficacy,0.7638885974884033,0.7324672937393188,0.09426842176879764,0.6563380360603333,0.9752361178398132
International Employee Identity,0.8681320150693258,0.8832734227180481,0.03334284957788324,0.8073898553848267,0.897831916809082
Interpersonal Fairness Monitoring,0.9444292505582174,0.9526064991950989,0.025458663780092965,0.904076874256134,0.9887286424636841
Intraorganizational employee navigation,0.8408559620380401,0.8421493172645569,0.05094685622907349,0.7620638608932495,0.915170431137085
Intrinsic Career Goal,0.8905489563941955,0.8811520338058472,0.059738747184683416,0.796489953994751,0.9758606553077698
Knowledge Stock,0.9504022002220154,0.9499974846839905,0.014489144425671183,0.9358788728713989,0.9811888933181763
Loss Orientation,0.9123932758967082,0.9151149988174438,0.0226104987451832,0.8526121973991394,0.958239734172821
Moral Credits,0.8283037066459655,0.8620855510234833,0.08762779842080298,0.6189479827880859,0.9143671989440918
Moral Identification,0.9055698573589325,0.9134646356105804,0.03039551510368015,0.849456787109375,0.945109486579895
Naiveté,0.9953418970108032,0.9950686395168304,0.0014010528306001022,0.992996096611023,0.9972181916236877
Organizational Support for Development,0.962047032515208,0.9588052034378052,0.014467702704259518,0.9417449831962585,0.9942550659179688
Oscillation Orientation,0.9091283480326334,0.9156156182289124,0.028849166625902378,0.8710013628005981,0.9407680630683899
Other Focus Credits,0.940728505452474,0.9353707432746887,0.023100189787695746,0.921448826789856,0.9903508424758911
Perceived Career Opportunity,0.9247104922930399,0.8985318541526794,0.04338407894964169,0.8897448778152466,0.9858547449111938
Performance Monitoring,0.8128620386123657,0.8266225755214691,0.08471075832316863,0.6840959191322327,0.9336628913879395
Personal Life Motives,0.9428755640983582,0.9446365833282471,0.011817361142776544,0.9221293926239014,0.9607834815979004
Personal Recognition by Supervisor,0.872108519077301,0.8773418664932251,0.04922731606968054,0.7945981025695801,0.9355455636978149
Personal to Family Conflict,0.8564866781234741,0.8759479522705078,0.06739284741383628,0.7181037664413452,0.9417891502380371
Personal to Work Conflict,0.8896919012069702,0.9065240323543549,0.035248329865449235,0.804924726486206,0.9163367748260498
Planning,0.959336539109548,0.9551101922988892,0.009007117411547805,0.9510431885719299,0.9718562364578247
Procedural Fairness Monitoring,0.9300759196281433,0.9295353889465332,0.026512721836118365,0.8674288988113403,0.9638811945915222
Procedural Justice Clarity,0.9574741125106812,0.9577606916427612,0.016536940348581247,0.9300142526626587,0.9890581965446472
Productivity Motives,0.8506151636441549,0.8788737058639526,0.06727231203162097,0.7578129172325134,0.9151588678359985
Prohibitive Voice,0.9389238893985749,0.9318700134754181,0.026970627077420564,0.8910984992980957,0.9838176369667053
Promotive Voice,0.9076171219348907,0.8835564255714417,0.040416277292768546,0.8668342232704163,0.9800183773040771
Propensity to Morally Disengage,0.8775280096701213,0.8850829005241394,0.047812095820604424,0.7770313620567322,0.9639913439750671
Reflecting,0.9663213094075521,0.959298849105835,0.010428477750979031,0.958601176738739,0.9810639023780823
Relational Energy,0.852921187877655,0.8294631838798523,0.079990608315882,0.7497767210006714,0.9895637035369873
Reputation Maintenance Concerns,0.8169643580913544,0.8404779732227325,0.08425033339494514,0.6433905959129333,0.9047880172729492
Restoration Orientation,0.9015608151753743,0.8934483528137207,0.03016553585224694,0.8426340222358704,0.9554461240768433
Self-Righteousness Stigmas,0.9369172851244608,0.9346482455730438,0.029853735352678826,0.9022672176361084,0.9822113513946533
Self-Verification Striving,0.8977266997098923,0.9005771577358246,0.04581635822603532,0.8045424222946167,0.9640389680862427
Self/Other Centeredness Supervisor Behaviors,0.9149966239929199,0.9108374714851379,0.01783914455840493,0.8910292387008667,0.9555656909942627
Sense of Community Credits,0.9181256393591563,0.9120064377784729,0.030052099695598803,0.8882682919502258,0.9768768548965454
Shame,0.9394643306732178,0.9358129799365997,0.022086641851116102,0.9040366411209106,0.975263237953186
Skill/ability sales self-efficacy,0.8122317552566528,0.8031884431838989,0.05087003282792633,0.7492815256118774,0.9111081957817078
Social Exchange Relationship,0.9954079389572144,0.9954271912574768,0.00172248585015281,0.9930824041366577,0.9977589845657349
State Gratitude,0.7605374157428741,0.7698644399642944,0.09367545433180377,0.589453935623169,0.8761840462684631
Subjective Social Class,0.9247054815292358,0.923583447933197,0.026251082674372355,0.8757716417312622,0.9767961502075195
Superficial Reaction to Supervisor,0.9423365076382955,0.9448697566986084,0.033762211493886675,0.8951013684272766,0.9970251321792603
Supervisor Enforcing Work Requirements/Flexibility,0.9059739410877228,0.905949056148529,0.013060257268645861,0.8879987001419067,0.9254395365715027
Supervisor Follower Development,0.9553722639878591,0.9591815173625946,0.019135098054827247,0.9212386012077332,0.975985050201416
Supervisor Intellectual Stimulation,0.9295899669329325,0.9380592703819275,0.026849270324655294,0.8933002352714539,0.9574103951454163
Supervisor Solicitation of Voice,0.9130955040454865,0.9193190932273865,0.04290876699534034,0.8316439390182495,0.9589211940765381
Supervisor Support for Recovery,0.8439783771832784,0.8478037714958191,0.049711762557806106,0.7608429789543152,0.9470432996749878
Supervisor Team Building,0.9077325701713562,0.9077642858028412,0.02353505638226424,0.8633962869644165,0.9384366273880005
Supervisor Vision Communication,0.9201191564400991,0.9136017858982086,0.017246327753694644,0.9010360240936279,0.9511975049972534
Supervisor's Organizational Embodiment,0.9128999130593406,0.9124883413314819,0.03463088183919183,0.8569942116737366,0.9971132278442383
Supervisor-Triggered Newcomer Negative Affect,0.8119672132389886,0.8326773643493652,0.12237875033090949,0.5274405479431152,0.9766892790794373
Supervisor-Triggered Newcomer Positive Affect,0.8080523652689797,0.8376979827880859,0.11764274029475813,0.5159993171691895,0.9567621946334839
Supportive Voice (Burris),0.8811396757761637,0.881194680929184,0.0550137814537493,0.813416063785553,0.9567261934280396
Supportive Voice (Maynes),0.9451332509517669,0.9401291012763977,0.013557786998486306,0.930404007434845,0.9699522852897644
Synchrony Preference,0.8932899832725525,0.9100859761238098,0.030878366983643105,0.8368107080459595,0.9206867218017578
Team Temporal Leadership,0.9583466592289153,0.958076536655426,0.007763840775455641,0.9448352456092834,0.9725341200828552
Tendency to Gossip,0.9142800569534302,0.9281574487686157,0.06557244342744609,0.8185595273971558,0.9807788133621216
Time Management Credits,0.9236732125282288,0.9142768979072571,0.027947982908080753,0.9024970531463623,0.9853641390800476
