,mean,median,std,min,max
Avoidant Leader Behaviors,0.6367775158779944,0.6667331928373614,0.08431114432965986,0.464201307442655,0.723357508191321
Bottom-line mentality,0.6742997230456732,0.6673523568406856,0.0806828379712954,0.5642858410990741,0.8077685662450602
Calling,0.6441382274936799,0.678028155476645,0.13317391714903593,0.3642952211167511,0.8912583462764704
Career Satisfaction,0.5161289365324284,0.5221591598697377,0.08593451655794962,0.2168284051508887,0.6271278429387801
Citizenship Fatigue,0.7852750505959304,0.8335834988731275,0.17821621293183648,0.3867898454589445,1.0137006458296485
Collaborative Leader Behaviors,0.4823738955347598,0.4773289283062427,0.028619422984602183,0.4425754418336391,0.5245964508282231
Communicating Hig Expectations by Supervisor,0.64664776719068,0.6386958433729807,0.12729258908756838,0.482072512534882,0.8500340161354725
Competence Certainity,0.655114858829385,0.6518316886798813,0.06962723398411964,0.5578535456984105,0.7781248245297944
Constructive Voice,0.5940905732475104,0.6005566129567574,0.08884344643903049,0.4314144874745395,0.7459190303681501
Contingent Reactions to Supervisor,0.4003783760843674,0.39358563368573296,0.06968353387271863,0.29539066978611905,0.5213877935284935
Coworker Career Advancement,0.5172071130034358,0.5116844736846908,0.0740477295633108,0.4294050586011155,0.6105318067245012
Coworker Emotional Support,0.5473925475776146,0.6019680473265678,0.08070455425898242,0.4332948113100071,0.6069147840962686
Coworker Friendship,0.7376193970949166,0.6882085665458021,0.07889252572270893,0.6756935634422107,0.8489560612967372
Coworker Giving to Others,0.36296394553649347,0.3892573065914903,0.0534946682521909,0.2883842635322511,0.411250266485739
Coworker Knowledge Utilization,0.5382446284394939,0.542667603326615,0.014561918858941614,0.5186146970027828,0.5534515849890839
Coworker Personal Growth ,0.6486420746935037,0.6183265358619043,0.05614290824372241,0.6002485632559099,0.7273511249626968
Coworker Project Qualities,0.8717217668342588,0.8819459938505718,0.06713152501877707,0.7685330467512606,0.9631876496135219
Coworker Star Qualities,0.8500557467462091,0.8820776795464058,0.10585905145551748,0.6668601409809063,0.9967834138377694
Coworker Task Assistance,0.6822518036736213,0.683924092110691,0.05428656632120725,0.6149442406876365,0.7478870782225362
Customer Unethical Behavior,0.24659990971202347,0.23928671009081537,0.0521354014665666,0.14586573226439775,0.3467217594424984
Decision Control/Autonomy Supervisor Behavior,0.5700968622996011,0.5577308060953926,0.08708927463995167,0.4640016901717957,0.7160850759564239
Defensive Voice,0.46241869253971696,0.44692192546892373,0.13596299439053283,0.29619781255262173,0.6706897120153554
Desire for Power,0.6959268722378891,0.7257455960855066,0.1679606126055132,0.0992238834357029,0.9721997307644961
Destructive Voice,0.6299504979582891,0.6474350221074625,0.11866116552348693,0.44121550980960134,0.8371882332245677
Distance/Closeness Supervisor Behaviors,0.6645900201414054,0.6743058953128678,0.06334464051141933,0.5400864964538483,0.7308768530308557
Distraction Stigmas,0.7399787381627011,0.7494875391490498,0.1284668735715474,0.5081241714617243,0.8953682237421782
Distributive Fairness Monitoring,0.6128286758696038,0.6253369479327993,0.10530637327059894,0.33221510395757675,0.7222374649590079
Distributive Justice Clarity,0.3104180978432424,0.31164681649528037,0.004110601172569855,0.30488304234132524,0.3147244346931217
Dominating Leader Behavior,0.45607685589305086,0.4554183099292032,0.020703584143251862,0.43105593494129457,0.4817563228086547
Duty to Codes Orientation,0.5636977977649972,0.5693169104879833,0.06523264203994913,0.47376130399542604,0.6325139182076847
Duty to Members Orientation,0.49903378409861493,0.5377500738378225,0.13350637082863206,0.20928366291642,0.6268807832297745
Duty to Mission Orientation,0.5313343275516589,0.5305235347876774,0.09843366364410669,0.4158805109191374,0.6520436636476632
Emphasizing Group Identity by Supervisor,0.6381687852023497,0.6463340279456615,0.06587985380204796,0.4899159907717078,0.7221137006518424
Envisioning,0.4322458478242572,0.4228949103074558,0.05222930616313532,0.3734684158681007,0.500374217297215
Equitable Organizational Practices,0.7608410333601412,0.7557546938774549,0.1027914455311054,0.5857847593294666,0.9452896566751272
Ethical Values Credits,0.7661043515255548,0.7989787744487342,0.10369826427512471,0.5518228647901122,0.8579289853459535
Evangelism Stigmas,0.4698220675345591,0.48213157791416766,0.06521294660777838,0.36987326308733837,0.5706520315181431
Exclusion beliefs,0.5590914811869152,0.5590914811869152,0.0,0.5590914811869152,0.5590914811869152
Expectation Reaction to Supervisor,0.6779307422671392,0.7413983812234513,0.11760591495261837,0.442448104796337,0.779539244268657
Extrinsic Career Goal,0.7322966309395581,0.7924233856563059,0.20292874393989618,0.37002327250335065,0.9928881597929649
Family Incivility,0.5853098156327119,0.617847676835848,0.07499882773907544,0.4296328445870163,0.6713295582378835
Family to Personal Conflict,0.6560135085869704,0.6685330904415989,0.13438782956840192,0.3038587256114892,0.8018912182894493
Gender Determinism,0.7311486190792178,0.7899215827372643,0.29326822549837384,0.13689759574540614,1.0079658722664906
