,mean,median,std,min,max
Avoidant Leader Behaviors,0.8793100913365682,0.8934943377971649,0.03375636977852339,0.8203797340393066,0.9175208806991577
Bottom-line mentality,0.8700302640597025,0.8821098208427429,0.03806070799341451,0.7931157946586609,0.9106478691101074
Calling,0.9141472496769645,0.9158070981502533,0.033408361688854804,0.8386372327804565,0.9743047952651978
Career Satisfaction,0.9129600064320997,0.9100120663642883,0.02566533979770623,0.8661408424377441,0.9648927450180054
Citizenship Fatigue,0.8950501680374146,0.8911521434783936,0.036276161539585475,0.8357963562011719,0.9663479924201965
Collaborative Leader Behaviors,0.9493787388006846,0.9486055076122284,0.0054477452092099535,0.9418454766273499,0.9565029144287109
Communicating Hig Expectations by Supervisor,0.852339118719101,0.870208740234375,0.05948633597723725,0.7541269063949585,0.9323880672454834
Competence Certainity,0.8992061118284861,0.9075349867343903,0.0495067524429277,0.8110383152961731,0.9552921652793884
Constructive Voice,0.9221159160137177,0.9261263012886047,0.02214259177857896,0.8683352470397949,0.9499843120574951
Contingent Reactions to Supervisor,0.9587823351224264,0.9545998275279999,0.00947605628835181,0.9499938488006592,0.975199282169342
Coworker Career Advancement,0.9223385254542033,0.9231314063072205,0.021623126283624384,0.8954681754112244,0.948415994644165
Coworker Emotional Support,0.845004677772522,0.836994469165802,0.023854288042372343,0.820629894733429,0.877389669418335
Coworker Friendship,0.8883167107899984,0.897592306137085,0.02518275872761991,0.8539009094238281,0.913456916809082
Coworker Giving to Others,0.9601620038350424,0.9561004638671875,0.006778048908847974,0.9546734094619751,0.9697121381759644
Coworker Knowledge Utilization,0.9288923541704813,0.9319981932640076,0.00802208477376844,0.9178897738456726,0.9367890954017639
Coworker Personal Growth ,0.9225618839263916,0.9298099875450134,0.012233912365109276,0.905332624912262,0.9325430393218994
Coworker Project Qualities,0.6698600023984909,0.6846072375774384,0.14165383652757377,0.4593847692012787,0.8759280443191528
Coworker Star Qualities,0.694475519657135,0.6921833455562592,0.0966864692429144,0.5009556412696838,0.9006088972091675
Coworker Task Assistance,0.9008147120475769,0.8885748386383057,0.023108931754966328,0.8806920647621155,0.9331772327423096
Customer Unethical Behavior,0.9719619538102832,0.9715797603130341,0.0060259367994760366,0.9613373279571533,0.9850062131881714
Decision Control/Autonomy Supervisor Behavior,0.8643863201141357,0.8654659390449524,0.0457556652577917,0.7804644107818604,0.9248846769332886
Defensive Voice,0.9359083950519562,0.9386196434497833,0.02043217625803273,0.8980876207351685,0.9624806046485901
Desire for Power,0.8752628710534838,0.8752005100250244,0.05621851491406972,0.7374696731567383,0.9920012950897217
Destructive Voice,0.8869309186935425,0.8877620995044708,0.03532964921982694,0.8169622421264648,0.9513412714004517
Distance/Closeness Supervisor Behaviors,0.8274990717569987,0.8166598677635193,0.04904321010013597,0.7633897066116333,0.9104126691818237
Distraction Stigmas,0.8536270558834076,0.857385903596878,0.05423854430713629,0.7807608246803284,0.9513363838195801
Distributive Fairness Monitoring,0.9131354749202728,0.9084905982017517,0.017609698442364517,0.8935568928718567,0.9553369283676147
Distributive Justice Clarity,0.9667737682660421,0.9678016901016235,0.004224824855886239,0.9611626267433167,0.971356987953186
Dominating Leader Behavior,0.9582354426383972,0.9593133330345154,0.005014989916324839,0.9516257643699646,0.9637672305107117
Duty to Codes Orientation,0.90232386191686,0.9043702781200409,0.012557195201549347,0.8844929933547974,0.9211242198944092
Duty to Members Orientation,0.9359881778558096,0.9311324954032898,0.020994965264458258,0.9161266088485718,0.9801561236381531
Duty to Mission Orientation,0.9197598099708557,0.9210386276245117,0.027265219550477546,0.8844010829925537,0.9531568288803101
Emphasizing Group Identity by Supervisor,0.8865728557109833,0.8878348767757416,0.028403881962140755,0.8315790295600891,0.9284480810165405
Envisioning,0.9418390591939291,0.9404537081718445,0.012118924056672772,0.9277377128601074,0.9573257565498352
Equitable Organizational Practices,0.8241404116153717,0.8064988851547241,0.03957061005617572,0.7805015444755554,0.91951984167099
Ethical Values Credits,0.831849068403244,0.8275532126426697,0.032513452146920155,0.7880207300186157,0.8804961442947388
Evangelism Stigmas,0.9192489385604858,0.9157383441925049,0.0199932998908434,0.8908131718635559,0.9527016878128052
Exclusion beliefs,0.8640644550323486,0.8640644550323486,0.0,0.8640644550323486,0.8640644550323486
Expectation Reaction to Supervisor,0.8033265173435211,0.8039510250091553,0.04601437680858871,0.746574342250824,0.8753204345703125
Extrinsic Career Goal,0.9222686390082041,0.9159364104270935,0.030605925912519833,0.8787407279014587,0.9700735211372375
Family Incivility,0.912528936068217,0.9150869846343994,0.014562988496731646,0.8874582052230835,0.9415068030357361
Family to Personal Conflict,0.91478071808815,0.9146260023117065,0.02649699121198805,0.8679157495498657,0.9753367900848389
Gender Determinism,0.8031722207864126,0.7822107970714569,0.11404127846881773,0.6721471548080444,0.9595626592636108
Global Organizational Commitment,0.9470610916614532,0.9430990517139435,0.014843223805706197,0.9317552447319031,0.9743859767913818
Idea Validation,0.8977895975112915,0.8930968940258026,0.03574921756088399,0.8359984159469604,0.9590997099876404
Identity Strain,0.8870775759220123,0.9038097858428955,0.0494418672298434,0.8118085861206055,0.9427168965339661
Inclusion in Decision Making,0.8450104196866354,0.8369731605052948,0.023866180794452567,0.8183978796005249,0.8796721696853638
Integration of Differences,0.8713122328122457,0.8568189144134521,0.045099277696732526,0.7948737740516663,0.9423162937164307
Interactional Justice Clarity,0.9389850080013276,0.9405179917812347,0.00931575208441321,0.924440860748291,0.9555139541625977
Interest/Enjoyment Sales Self-Efficacy,0.8696660220623016,0.8933892250061035,0.0584899138382422,0.784839928150177,0.973669171333313
International Employee Identity,0.906608909368515,0.9121059775352478,0.019655870062268297,0.8731664419174194,0.9284660220146179
Interpersonal Fairness Monitoring,0.9280074834823608,0.9337392449378967,0.021144764275809844,0.8859617710113525,0.9638004899024963
Intraorganizational employee navigation,0.8682740330696106,0.8685336112976074,0.024777221310206862,0.8299029469490051,0.9152301549911499
Intrinsic Career Goal,0.9119566857814789,0.9099955558776855,0.022015255785729517,0.8770699501037598,0.9572427272796631
Knowledge Stock,0.9152803301811219,0.9188911318778992,0.023084785150789475,0.8754764795303345,0.9572691321372986
Loss Orientation,0.9118292649586995,0.9177618026733398,0.016860556251854977,0.8660260438919067,0.9332356452941895
Moral Credits,0.8511336445808411,0.8621653914451599,0.042785558924692456,0.762917160987854,0.9277173280715942
Moral Identification,0.9439926862716674,0.9568144083023071,0.02315767137720437,0.9094631671905518,0.9709429740905762
Naiveté,0.9873413741588593,0.986962229013443,0.0017655431608256987,0.9852800369262695,0.9902620315551758
Organizational Support for Development,0.9286659717559814,0.9257433414459229,0.028668458550166073,0.871768057346344,0.9752559065818787
Oscillation Orientation,0.9243849913279215,0.9174430966377258,0.025560597226950272,0.8971334099769592,0.9585784673690796
