,mean,median,std,min,max
Avoidant Leader Behaviors,0.6698976336980013,0.6932286689264489,0.09995145617566385,0.47166807924753884,0.7846598651895803
Bottom-line mentality,0.724621994525974,0.7370658534674207,0.09620254396546475,0.5859163683976197,0.8752756191822479
Calling,0.6533807385659635,0.6857720378685107,0.13573602744162738,0.370953524615158,0.8635737975704242
Career Satisfaction,0.5634940122224202,0.5841684451084712,0.0940409128729881,0.2346290481287347,0.6818513120510814
Citizenship Fatigue,0.7842790571784556,0.8164477569585747,0.18437564958324903,0.3639108368497745,1.0409070220501666
Collaborative Leader Behaviors,0.520534266367897,0.5127102178343578,0.030689481432978657,0.4862724271880817,0.5648149622015253
Communicating Hig Expectations by Supervisor,0.7089370552358029,0.6918385221682658,0.13194518514700077,0.5242518641683667,0.9029032106242662
Competence Certainity,0.6749547088129835,0.6946141739780926,0.0946622763930392,0.5101170984603259,0.8181237148364392
Constructive Voice,0.6624436358903025,0.6679318724549921,0.10024784053475977,0.4636950176935451,0.8328562842438669
Contingent Reactions to Supervisor,0.4112518326849643,0.42531037060516075,0.06178464373889406,0.30045450345379116,0.4946704722730034
Coworker Career Advancement,0.5647853266893458,0.5410426328784227,0.07614855712231552,0.4856890007892089,0.6676243464004056
Coworker Emotional Support,0.6339755291102925,0.6894501183880937,0.0903626020471292,0.5065385492590694,0.7059379196837146
Coworker Friendship,0.695746313585914,0.651707621074867,0.06269696801272936,0.6511187554240385,0.7844125642588363
Coworker Giving to Others,0.38342299606859576,0.4280574642483787,0.07235932895498265,0.28135846159835254,0.4408530623590559
Coworker Knowledge Utilization,0.5668610903890721,0.5700870375303397,0.01674196129273889,0.5449347012840515,0.5855615323528248
Coworker Personal Growth ,0.6891378149570465,0.6552900161011255,0.051887892108982245,0.64967665514298,0.7624467736270342
Coworker Project Qualities,0.937112068237691,0.9407701640429469,0.08636289421998883,0.8365816501967327,1.0813806371864434
Coworker Star Qualities,0.8919863955892419,0.9358554796453824,0.10905129280781463,0.6285467649714607,0.9893818636989642
Coworker Task Assistance,0.6672648204874684,0.6530847514195681,0.06581710760361097,0.5946865946482929,0.7540231153945441
Customer Unethical Behavior,0.2727589482012795,0.2708247209070853,0.05516469669309452,0.15870571418538115,0.38545690841718355
Decision Control/Autonomy Supervisor Behavior,0.6538385592324157,0.6470635188348662,0.09372512640358635,0.5183280259863469,0.7993316964731052
Defensive Voice,0.5187155580185272,0.5156171305849326,0.13343509345817992,0.34390943061843093,0.7075516243996784
Desire for Power,0.7024543992072285,0.7307350134292101,0.16800054742898465,0.100353314263327,0.9708419166620894
Destructive Voice,0.6828113147019905,0.7164691940797783,0.12433946028908711,0.4458556799359068,0.9068839495200506
Distance/Closeness Supervisor Behaviors,0.7558682881527473,0.7637562566157075,0.08291222231784039,0.5887594100276875,0.8467806611961322
Distraction Stigmas,0.7802461371928456,0.7603853475841449,0.13826422886992515,0.550718673547338,0.9667797976646153
Distributive Fairness Monitoring,0.6438989849012031,0.6553668239416361,0.10051478697653622,0.3864326462515855,0.755650709638082
Distributive Justice Clarity,0.34498631072092745,0.3423306676690581,0.018817651622706197,0.32338234886928546,0.3692459156244387
Dominating Leader Behavior,0.4845606226556392,0.4794220795096346,0.02379096329326753,0.45833386268981846,0.5159259257674645
Duty to Codes Orientation,0.6000229173445717,0.5944926058814485,0.06406162486543887,0.5201793746904079,0.685065062871213
Duty to Members Orientation,0.5122921851634754,0.5537729797316473,0.12041155339062856,0.24745564332753092,0.612643736290915
Duty to Mission Orientation,0.562457438338508,0.565690704864915,0.1094598081193351,0.42530042807378077,0.7034789394232773
Emphasizing Group Identity by Supervisor,0.6909705994996703,0.6961611868707549,0.05864232889350157,0.5812239289468782,0.7987053168967048
Envisioning,0.4592528731585945,0.4496001156550701,0.05672591198041257,0.3951092450998025,0.5330492587209108
Equitable Organizational Practices,0.825214711118352,0.8330270549410759,0.10844310078302997,0.5843646134054371,0.9716048691655493
Ethical Values Credits,0.7896324508442213,0.8364196631118415,0.10081530302950294,0.5902060210098959,0.8823243422625164
Evangelism Stigmas,0.5105209748795262,0.5233359834278153,0.07646836617944137,0.38773561082822217,0.6316611776352378
Exclusion beliefs,0.634592155670495,0.634592155670495,0.0,0.634592155670495,0.634592155670495
Expectation Reaction to Supervisor,0.7259517979390929,0.7770366904403885,0.12194854333018258,0.4850115886868036,0.8377094202808163
Extrinsic Career Goal,0.7105851910438283,0.7906765839262365,0.17882623038620696,0.3877725042686413,0.923281089419558
Family Incivility,0.6320778825633477,0.6420102718633565,0.06424881509445306,0.5044947129849071,0.7072915339417971
