,mean,median,std,min,max
Avoidant Leader Behaviors,0.7782649596532186,0.7745943665504456,0.052330081740964436,0.7115176916122437,0.8526102304458618
Bottom-line mentality,0.7568392256895701,0.7576078176498413,0.058933944020046196,0.6468314528465271,0.8449913859367371
Calling,0.7777424861084331,0.7623329162597656,0.0733379240614084,0.6531824469566345,0.9281134605407715
Career Satisfaction,0.8064065431103562,0.8054921627044678,0.04119944264949852,0.7108362317085266,0.9006971120834351
Citizenship Fatigue,0.7507608453432719,0.7508609294891357,0.07247652682964413,0.6346800923347473,0.9091518521308899
Collaborative Leader Behaviors,0.8806171218554179,0.8793120086193085,0.016208806079237966,0.8548943996429443,0.9103488326072693
Communicating Hig Expectations by Supervisor,0.706351238489151,0.6962149739265442,0.08228487449675252,0.6000159382820129,0.8419938087463379
Competence Certainity,0.8220131099224091,0.8299025595188141,0.05847932972137064,0.7214365005493164,0.9070937037467957
Constructive Voice,0.8052873373031616,0.8036681115627289,0.0520624073812701,0.7072492837905884,0.8955641984939575
Contingent Reactions to Supervisor,0.8951675097147623,0.8877806663513184,0.021736460943701928,0.8747634887695312,0.9397706985473633
Coworker Career Advancement,0.8350859880447388,0.835006594657898,0.037741242797379136,0.7889023423194885,0.8813490271568298
Coworker Emotional Support,0.7091046373049418,0.6908268928527832,0.03286648877981805,0.6812333464622498,0.7552536725997925
Coworker Friendship,0.6913200815518697,0.7070283889770508,0.03176718190513397,0.6470150351524353,0.719916820526123
Coworker Giving to Others,0.9124961098035177,0.9190216660499573,0.012469235179223815,0.895045816898346,0.9234208464622498
Coworker Knowledge Utilization,0.8128318587938944,0.8225369453430176,0.017484531644012744,0.7882835865020752,0.8276750445365906
Coworker Personal Growth ,0.7903790473937988,0.7829446196556091,0.01780865265712364,0.7732571363449097,0.8149353861808777
Coworker Project Qualities,0.572878110408783,0.5820926129817963,0.10860210183494472,0.3989036977291107,0.7285788655281067
Coworker Star Qualities,0.5707717835903168,0.5489512979984283,0.08506785649483846,0.44202756881713867,0.7798944711685181
Coworker Task Assistance,0.7716167171796163,0.7272642254829407,0.07120640802926309,0.7154975533485413,0.8720883727073669
Customer Unethical Behavior,0.9215145813567298,0.9247904419898987,0.016339824730592745,0.889738917350769,0.9499251842498779
Decision Control/Autonomy Supervisor Behavior,0.775263249874115,0.7836952209472656,0.051765093014691746,0.6700776815414429,0.8346445560455322
Defensive Voice,0.8561764478683471,0.8622206449508667,0.03725837038533104,0.7952390313148499,0.9152638912200928
Desire for Power,0.6690632972452376,0.661748468875885,0.11338354625459675,0.4806581437587738,0.955120325088501
Destructive Voice,0.7739238917827607,0.7565587162971497,0.05827096282281343,0.708253026008606,0.8970711827278137
Distance/Closeness Supervisor Behaviors,0.7543394366900126,0.7507393658161163,0.04413917472988823,0.6993532180786133,0.836208701133728
Distraction Stigmas,0.7066910167535146,0.6978287696838379,0.09335078818314115,0.5931739211082458,0.8870934247970581
Distributive Fairness Monitoring,0.8190583467483521,0.8154534101486206,0.039736656089293845,0.7601345181465149,0.9232472777366638
Distributive Justice Clarity,0.9125876228014628,0.917779266834259,0.008006812456290244,0.9012769460678101,0.9187066555023193
Dominating Leader Behavior,0.9046416481335958,0.9057181477546692,0.010101231089516204,0.891767144203186,0.9164396524429321
Duty to Codes Orientation,0.8161357939243317,0.8108212351799011,0.010887174064400795,0.8036991357803345,0.8353942632675171
Duty to Members Orientation,0.8479084173838297,0.8345372080802917,0.05186100152607251,0.7963651418685913,0.959164023399353
Duty to Mission Orientation,0.8003953297932943,0.812430739402771,0.06633575783170718,0.7141097187995911,0.8870614767074585
Emphasizing Group Identity by Supervisor,0.7586943089962006,0.7708691954612732,0.056282486419334345,0.6747803688049316,0.8449299335479736
Envisioning,0.824150800704956,0.8053165078163147,0.03175407671937953,0.7982630729675293,0.8688728213310242
Equitable Organizational Practices,0.6102528810501099,0.5872380137443542,0.08176383051761256,0.5144482851028442,0.8275225758552551
Ethical Values Credits,0.665790319442749,0.6348779201507568,0.06091584720551109,0.6046736240386963,0.7636565566062927
Evangelism Stigmas,0.7891751726468405,0.7943186163902283,0.033881149674362884,0.7422952651977539,0.8376950025558472
Exclusion beliefs,0.7771154642105103,0.7771154642105103,0.0,0.7771154642105103,0.7771154642105103
Expectation Reaction to Supervisor,0.6969271600246429,0.6738124489784241,0.05893745383228767,0.6328791379928589,0.8010702133178711
Extrinsic Career Goal,0.7658879061539968,0.7421158850193024,0.07472567539619145,0.6888584494590759,0.9138462543487549
Family Incivility,0.792898424466451,0.7907364964485168,0.02804401010399945,0.7645972371101379,0.848284900188446
Family to Personal Conflict,0.7628778696060181,0.7614445686340332,0.05479774643822841,0.656623125076294,0.8971923589706421
Gender Determinism,0.7526069978872935,0.7494465112686157,0.1313072143403551,0.5864757895469666,0.9332237243652344
Global Organizational Commitment,0.8722853263219198,0.8578648567199707,0.03812895151763243,0.8355860114097595,0.9503569602966309
Idea Validation,0.7648194611072541,0.7606887817382812,0.05766784015082723,0.6568852066993713,0.8613787293434143
Identity Strain,0.7719862520694732,0.7563793361186981,0.04556644618158466,0.7118772268295288,0.868346631526947
Inclusion in Decision Making,0.6564509173234304,0.6495004594326019,0.02826221054537761,0.6220808625221252,0.6931194067001343
Integration of Differences,0.6766786853472392,0.6872694492340088,0.07320618409920251,0.5740448236465454,0.8071312308311462
Interactional Justice Clarity,0.8756823003292084,0.8741076290607452,0.020388620022663114,0.8419554233551025,0.9141218662261963
Interest/Enjoyment Sales Self-Efficacy,0.6923992574214936,0.6967432498931885,0.09637473174598021,0.5665271282196045,0.9196497797966003
International Employee Identity,0.7299762566884359,0.7417090535163879,0.045075191031588475,0.6545706987380981,0.7817720174789429
Interpersonal Fairness Monitoring,0.8348302443822225,0.8422278165817261,0.05519559640230892,0.7137203216552734,0.9121222496032715
Intraorganizational employee navigation,0.6763067543506622,0.6785092353820801,0.039740233461171434,0.6105566024780273,0.761753261089325
Intrinsic Career Goal,0.7356541395187378,0.6896648705005646,0.09302478715479551,0.6294959187507629,0.8926648497581482
Knowledge Stock,0.7713801920413971,0.7685012221336365,0.05111447520921071,0.6977126002311707,0.881313681602478
Loss Orientation,0.784904940923055,0.8003585338592529,0.05328676278180927,0.6865822672843933,0.8742352724075317
Moral Credits,0.6862529397010804,0.6873175501823425,0.07593733607904635,0.5473660230636597,0.8433039784431458
Moral Identification,0.8564619958400727,0.874005913734436,0.03661409496600427,0.7927361726760864,0.8895461559295654
Naiveté,0.9559309681256613,0.9614617824554443,0.012769951808648603,0.9332013130187988,0.9677150845527649
Organizational Support for Development,0.8429367979367574,0.8444883227348328,0.061744002279784396,0.7083291411399841,0.935600996017456
Oscillation Orientation,0.7861533761024475,0.7993801236152649,0.06276396622581182,0.7035284042358398,0.8555516004562378
Other Focus Credits,0.7748492360115051,0.7696598768234253,0.053265532731928744,0.7092138528823853,0.868236780166626
Perceived Career Opportunity,0.8039003411928812,0.7785508036613464,0.0844816828792167,0.7154623866081238,0.9176878333091736
Performance Monitoring,0.6977578997612,0.6732292175292969,0.04345660948630616,0.6532487869262695,0.7656513452529907
Personal Life Motives,0.8734462956587473,0.8657518327236176,0.024391158289379863,0.8484817743301392,0.9060983657836914
Personal Recognition by Supervisor,0.7777311901251475,0.7736287415027618,0.03627435172711341,0.7258443236351013,0.8330886363983154
Personal to Family Conflict,0.7578243613243103,0.7577846944332123,0.056895614044237056,0.6575949192047119,0.8466192483901978
Personal to Work Conflict,0.7402504265308381,0.7492048740386963,0.04589179484678217,0.6284232139587402,0.7888084650039673
Planning,0.8477157950401306,0.8359528183937073,0.019497925819671316,0.8319991827011108,0.8751953840255737
Procedural Fairness Monitoring,0.8699138343334198,0.8652123212814331,0.028683552186298023,0.8156095743179321,0.9277536869049072
Procedural Justice Clarity,0.8801467855771382,0.8843958377838135,0.04757503680880911,0.7991082668304443,0.9702466130256653
Productivity Motives,0.8618810971577963,0.8529059290885925,0.020405392908085247,0.8426167368888855,0.8901206254959106
Prohibitive Voice,0.7231954157352447,0.7222957611083984,0.11294085055509837,0.5809423923492432,0.8825222253799438
Promotive Voice,0.7420253932476044,0.7434967458248138,0.04964677635536813,0.675682544708252,0.8257134556770325
Propensity to Morally Disengage,0.7295639919383186,0.7106729745864868,0.0657890672902655,0.6100099086761475,0.8977465033531189
Reflecting,0.8582911094029745,0.8711392879486084,0.019523307902786745,0.8307026028633118,0.8730314373970032
Relational Energy,0.8184124171733856,0.7884819805622101,0.05528978030066668,0.7670693397521973,0.9243702292442322
Reputation Maintenance Concerns,0.7120012044906616,0.6832618713378906,0.06134830613188857,0.6399961113929749,0.8057795763015747
Restoration Orientation,0.7247266411781311,0.7156147956848145,0.0704786073667546,0.5651886463165283,0.8605251312255859
Self-Righteousness Stigmas,0.8228460848331451,0.8254371285438538,0.08947571031006306,0.7004512548446655,0.9423683881759644
Self-Verification Striving,0.8286648264953068,0.8359342217445374,0.044868080905784785,0.7211927771568298,0.9259008765220642
Self/Other Centeredness Supervisor Behaviors,0.7459026634693146,0.7491112351417542,0.026860925871516117,0.697636067867279,0.7772354483604431
Sense of Community Credits,0.7890438040097555,0.767340898513794,0.059411621094288054,0.7237491607666016,0.8749061822891235
Shame,0.884978731473287,0.8739670813083649,0.04599680445578525,0.8178391456604004,0.9681645631790161
Skill/ability sales self-efficacy,0.6871092677116394,0.7039976119995117,0.07533712078237471,0.5289084911346436,0.7796993255615234
Social Exchange Relationship,0.9558909138043722,0.9561749994754791,0.006926373844793822,0.9443806409835815,0.9661526679992676
State Gratitude,0.5938296556472779,0.6003919839859009,0.0999154010613186,0.46984773874282837,0.7102196216583252
Subjective Social Class,0.8211422562599182,0.8233054876327515,0.05078786633523106,0.7278783321380615,0.9446594715118408
Superficial Reaction to Supervisor,0.8180907924969991,0.8071863055229187,0.087483818711921,0.6901031136512756,0.9818112850189209
Supervisor Enforcing Work Requirements/Flexibility,0.7488117714722952,0.7448505163192749,0.024198936847923284,0.7074377536773682,0.7860530018806458
Supervisor Follower Development,0.8207444349924723,0.8386567234992981,0.05206052486304234,0.723646879196167,0.8732256293296814
Supervisor Intellectual Stimulation,0.7343782782554626,0.7338998317718506,0.06351937555247389,0.6568235754966736,0.8124114274978638
Supervisor Solicitation of Voice,0.8049936890602112,0.7967835664749146,0.10357571899791855,0.6834375858306885,0.9232357740402222
