,mean,median,std,min,max
Avoidant Leader Behaviors,0.7582048612139518,0.808766198933006,0.11374265166063707,0.5233513286180476,0.8599599557517306
Bottom-line mentality,0.8238840732448748,0.8185971907837384,0.09820034878959122,0.6963145480822478,0.9918216320422802
Calling,0.7849066045620666,0.8215232719836743,0.15710040421691243,0.4468256515210537,1.0227909849366341
Career Satisfaction,0.6309693862990955,0.6284724531044039,0.10180515817238736,0.3078655725515439,0.7814434221492863
Citizenship Fatigue,0.9063925218543549,0.9253397327546329,0.19135825219911015,0.46575836130125214,1.184572726085989
Collaborative Leader Behaviors,0.5631100920248656,0.5699255914145736,0.036515213118918526,0.493460336415457,0.605704962755309
Communicating Hig Expectations by Supervisor,0.795774893492107,0.8097964539034159,0.11499090637404628,0.656604855717422,0.9485542489955487
Competence Certainity,0.7589873982287555,0.7690567463654112,0.08084989959909891,0.6303528007276605,0.8888806139210483
Constructive Voice,0.7530165130992128,0.7987174293540349,0.11058594787314431,0.5538715031783245,0.8975363595110177
Contingent Reactions to Supervisor,0.4558849966392196,0.4892223869858814,0.08747514291337079,0.2842594218037521,0.553893689417741
Coworker Career Advancement,0.6106004452942164,0.6277562130481671,0.11235764482952812,0.46521751672941913,0.738827606105063
Coworker Emotional Support,0.613393366071549,0.6406657759485699,0.055175046683860925,0.5364437312032506,0.6630705910628267
Coworker Friendship,0.829261276849619,0.7799812419987012,0.07934051469189418,0.7666030438276533,0.9411995447225024
Coworker Giving to Others,0.4380556637172144,0.4444632185794142,0.04675527966348402,0.37785809982537977,0.4918456727468492
Coworker Knowledge Utilization,0.6772489132925351,0.6831854950676997,0.023520323027119663,0.6459367316951337,0.7026245131147719
Coworker Personal Growth ,0.8283942128454337,0.7996727393788139,0.04681388887791094,0.791096281291226,0.8944136178662613
Coworker Project Qualities,1.0333249499663515,1.0647063709882982,0.09212116270623642,0.9058392292589621,1.1760863977354137
Coworker Star Qualities,0.9961813429403555,1.057737757892904,0.10839236231568249,0.778643805604182,1.0894965631057971
Coworker Task Assistance,0.7643426447799944,0.7953613115850354,0.09641896217804627,0.6338406762504116,0.863825946504536
Customer Unethical Behavior,0.2892515668226783,0.2847321521609052,0.054376670322654905,0.17824205225953882,0.3980221451794237
Decision Control/Autonomy Supervisor Behavior,0.7118328777250781,0.7043876090234524,0.06399416224295268,0.619693454589572,0.832070789716655
Defensive Voice,0.5772828169483226,0.5653288522320967,0.15774800335404596,0.37303986563633296,0.8202844311454139
Desire for Power,0.8827164922323817,0.9294442009491191,0.2044674456531953,0.1367204559461048,1.1225967670367605
Destructive Voice,0.7505071786956626,0.7893084797986449,0.13769069641266507,0.5117377874343034,0.9851721988733874
Distance/Closeness Supervisor Behaviors,0.8003742416156766,0.7993361684285298,0.07861411493875047,0.6545084761030157,0.8916440033482452
Distraction Stigmas,0.8435257595273065,0.8359784638855455,0.14779982185320537,0.5938844228123636,1.045697146505176
Distributive Fairness Monitoring,0.7122140903460954,0.7320734297660945,0.11657113170041378,0.40545545919492276,0.8536149043935944
Distributive Justice Clarity,0.3890260511864538,0.3795722651053533,0.015195287564141992,0.3770402367029358,0.4104656517510722
Dominating Leader Behavior,0.528479288416506,0.5601529121274728,0.048232838875530315,0.4603242551677895,0.5649606979542561
Duty to Codes Orientation,0.6642435420963063,0.6734748687535288,0.07352636002293003,0.5630049321361253,0.7457047175180818
Duty to Members Orientation,0.5625788943686699,0.6245607062657164,0.1708178405531919,0.19945102406427576,0.6831200062510401
Duty to Mission Orientation,0.6224488279958461,0.6088531049972032,0.11711105684081238,0.46392240816660507,0.7760236956063459
