,mean_focal,mean_focal_rank,min_focal,min_focal_rank,max_focal,max_focal_rank,median_focal,median_focal_rank,htd
Avoidant Leader Behaviors,6.0,1.0,6,1,6,1,6.0,1.0,3.125
Bottom-line mentality,6.0,1.0,6,1,6,1,6.0,1.0,4.0
Calling,5.166666666666667,1.1666666666666667,4,1,6,2,5.0,1.0,2.375
Career Satisfaction,5.083333333333333,1.8333333333333333,5,0,6,2,5.0,2.0,1.625
Citizenship Fatigue,6.166666666666667,1.0,6,1,7,1,6.0,1.0,2.6666666666666665
Collaborative Leader Behaviors,5.0,1.25,4,1,6,2,5.0,1.0,1.5
Communicating Hig Expectations by Supervisor,5.2,1.6,3,1,6,2,6.0,2.0,2.4
Competence Certainity,4.5,1.5,3,0,5,2,5.0,2.0,1.75
Constructive Voice,6.0,1.0,6,1,6,1,6.0,1.0,2.7
Contingent Reactions to Supervisor,6.25,1.0,6,1,7,1,6.0,1.0,2.5
Coworker Career Advancement,6.0,1.0,6,1,6,1,6.0,1.0,3.0
Coworker Emotional Support,5.333333333333333,1.0,5,1,6,1,5.0,1.0,2.0
Coworker Friendship,5.333333333333333,1.0,5,1,6,1,5.0,1.0,2.5
Coworker Giving to Others,5.666666666666667,1.0,5,1,6,1,6.0,1.0,2.3333333333333335
Coworker Knowledge Utilization,6.0,1.3333333333333333,6,1,6,2,6.0,1.0,3.1666666666666665
Coworker Personal Growth ,6.0,1.0,6,1,6,1,6.0,1.0,3.1666666666666665
Coworker Project Qualities,5.4,1.0,5,1,6,1,5.0,1.0,2.5
Coworker Star Qualities,5.6,1.0,5,1,6,1,6.0,1.0,2.9
Coworker Task Assistance,6.0,2.0,6,2,6,2,6.0,2.0,1.3333333333333333
Customer Unethical Behavior,5.875,1.125,5,1,6,2,6.0,1.0,3.6875
Decision Control/Autonomy Supervisor Behavior,6.25,1.25,6,1,7,2,6.0,1.0,2.75
Defensive Voice,6.0,1.2,6,1,6,2,6.0,1.0,3.8
Desire for Power,6.0,1.6,5,1,7,2,6.0,2.0,2.25
Destructive Voice,6.0,1.0,6,1,6,1,6.0,1.0,2.5
Distance/Closeness Supervisor Behaviors,6.0,1.25,6,1,6,2,6.0,1.0,3.0
Distraction Stigmas,4.5,1.0,3,0,6,2,4.5,1.0,1.25
