,mean_focal,mean_focal_rank,min_focal,min_focal_rank,max_focal,max_focal_rank,median_focal,median_focal_rank,htd
Avoidant Leader Behaviors,6.75,1.0,6,1,7,1,7.0,1.0,5.25
Bottom-line mentality,6.0,1.0,4,1,7,1,6.5,1.0,5.0
Calling,6.75,1.3333333333333333,6,0,7,2,7.0,1.0,3.75
Career Satisfaction,6.583333333333333,1.5833333333333333,6,0,7,2,7.0,2.0,2.1666666666666665
Citizenship Fatigue,7.0,1.0,7,1,7,1,7.0,1.0,2.3333333333333335
Collaborative Leader Behaviors,5.75,1.0,4,1,7,1,6.0,1.0,2.0
Communicating Hig Expectations by Supervisor,5.8,1.8,4,1,7,2,6.0,2.0,3.7
Competence Certainity,6.0,1.5,3,0,7,2,7.0,2.0,2.875
Constructive Voice,7.0,1.0,7,1,7,1,7.0,1.0,3.0
Contingent Reactions to Supervisor,7.0,1.0,7,1,7,1,7.0,1.0,6.0
Coworker Career Advancement,7.0,2.0,7,2,7,2,7.0,2.0,5.5
Coworker Emotional Support,5.333333333333333,1.0,4,1,7,1,5.0,1.0,1.5
Coworker Friendship,6.666666666666667,1.0,6,1,7,1,7.0,1.0,4.833333333333333
Coworker Giving to Others,2.6666666666666665,1.0,2,1,3,1,3.0,1.0,1.6666666666666667
Coworker Knowledge Utilization,6.666666666666667,1.0,6,1,7,1,7.0,1.0,5.666666666666667
Coworker Personal Growth ,7.0,1.0,7,1,7,1,7.0,1.0,5.0
Coworker Project Qualities,6.4,1.0,5,1,7,1,7.0,1.0,4.9
Coworker Star Qualities,6.8,1.0,6,1,7,1,7.0,1.0,5.8
Coworker Task Assistance,7.0,1.6666666666666667,7,1,7,2,7.0,2.0,0.6666666666666666
Customer Unethical Behavior,6.875,1.0,6,1,7,1,7.0,1.0,3.375
Decision Control/Autonomy Supervisor Behavior,7.0,1.0,7,1,7,1,7.0,1.0,5.0
Defensive Voice,6.8,1.0,6,1,7,1,7.0,1.0,5.8
Desire for Power,6.8,1.1,6,1,7,2,7.0,1.0,4.2
Destructive Voice,7.0,1.0,7,1,7,1,7.0,1.0,6.0
Distance/Closeness Supervisor Behaviors,7.0,1.75,7,1,7,2,7.0,2.0,1.5
Distraction Stigmas,6.25,1.75,5,1,7,2,6.5,2.0,2.375
Distributive Fairness Monitoring,5.4,1.2,4,1,7,2,5.0,1.0,3.4
Distributive Justice Clarity,7.0,1.0,7,1,7,1,7.0,1.0,5.5
Dominating Leader Behavior,6.333333333333333,1.0,6,1,7,1,6.0,1.0,5.333333333333333
Duty to Codes Orientation,6.0,2.0,5,2,7,2,6.0,2.0,2.125
Duty to Members Orientation,6.0,2.0,4,2,7,2,6.5,2.0,0.5
Duty to Mission Orientation,6.75,1.75,6,1,7,2,7.0,2.0,5.375
Emphasizing Group Identity by Supervisor,5.4,1.0,3,0,7,2,6.0,1.0,0.2
Envisioning,6.666666666666667,2.0,6,2,7,2,7.0,2.0,4.166666666666667
Equitable Organizational Practices,6.2,2.0,6,2,7,2,6.0,2.0,3.4
Ethical Values Credits,6.5,1.0,6,1,7,1,6.5,1.0,3.875
Evangelism Stigmas,4.5,1.5,2,1,7,2,4.5,1.5,3.25
Exclusion beliefs,7.0,2.0,7,2,7,2,7.0,2.0,3.75
Expectation Reaction to Supervisor,5.75,1.5,3,0,7,2,6.5,2.0,0.625
Extrinsic Career Goal,6.5,1.5,6,1,7,2,6.5,1.5,3.5
Family Incivility,6.166666666666667,1.0,5,1,7,1,6.0,1.0,5.166666666666667
Family to Personal Conflict,7.0,2.0,7,2,7,2,7.0,2.0,5.0
Gender Determinism,6.75,0.5,6,0,7,2,7.0,0.0,-0.125
Global Organizational Commitment,6.75,1.0,6,1,7,1,7.0,1.0,4.375
Idea Validation,4.8,0.0,1,0,7,0,6.0,0.0,-1.4
Identity Strain,7.0,1.0,7,1,7,1,7.0,1.0,3.4
Inclusion in Decision Making,5.5,2.0,4,2,7,2,5.5,2.0,1.25
Integration of Differences,5.166666666666667,1.3333333333333333,1,0,7,2,6.5,1.5,1.25
Interactional Justice Clarity,7.0,1.0,7,1,7,1,7.0,1.0,3.5
Interest/Enjoyment Sales Self-Efficacy,5.6,1.6,2,0,7,2,6.0,2.0,1.0
International Employee Identity,6.25,1.0,5,1,7,1,6.5,1.0,5.25
Interpersonal Fairness Monitoring,6.666666666666667,1.0,6,1,7,1,7.0,1.0,5.666666666666667
Intraorganizational employee navigation,6.6,1.8,6,1,7,2,7.0,2.0,4.0
Intrinsic Career Goal,6.8,1.2,6,0,7,2,7.0,1.0,2.9
Knowledge Stock,6.4,1.0,5,1,7,1,7.0,1.0,4.9
Loss Orientation,5.833333333333333,1.0,5,1,7,1,6.0,1.0,2.8333333333333335
Moral Credits,6.2,1.0,5,1,7,1,6.0,1.0,5.1
Moral Identification,4.0,1.2,1,0,7,2,4.0,2.0,1.0
Naiveté,5.75,1.0,3,1,7,1,6.5,1.0,4.75
Organizational Support for Development,6.333333333333333,2.0,6,2,7,2,6.0,2.0,3.8333333333333335
Oscillation Orientation,6.333333333333333,1.0,6,1,7,1,6.0,1.0,4.0
Other Focus Credits,6.5,2.0,6,2,7,2,6.5,2.0,2.125
Perceived Career Opportunity,7.0,1.0,7,1,7,1,7.0,1.0,3.3333333333333335
Performance Monitoring,4.5,2.0,4,2,6,2,4.0,2.0,1.125
Personal Life Motives,6.5,2.0,6,2,7,2,6.5,2.0,3.5
Personal Recognition by Supervisor,7.0,1.0,7,1,7,1,7.0,1.0,2.5
Personal to Family Conflict,6.4,1.0,6,1,7,1,6.0,1.0,5.4
Personal to Work Conflict,7.0,2.0,7,2,7,2,7.0,2.0,3.0
Planning,5.666666666666667,2.0,3,2,7,2,7.0,2.0,3.5
Procedural Fairness Monitoring,7.0,1.0,7,1,7,1,7.0,1.0,6.0
Procedural Justice Clarity,7.0,1.0,7,1,7,1,7.0,1.0,6.0
Productivity Motives,7.0,1.0,7,1,7,1,7.0,1.0,2.8333333333333335
Prohibitive Voice,7.0,1.0,7,1,7,1,7.0,1.0,3.0
Promotive Voice,6.2,1.0,6,1,7,1,6.0,1.0,1.9
Propensity to Morally Disengage,6.5,1.0,6,1,7,1,6.5,1.0,3.875
Reflecting,7.0,2.0,7,2,7,2,7.0,2.0,2.5
Relational Energy,6.4,1.0,6,1,7,1,6.0,1.0,2.4
Reputation Maintenance Concerns,7.0,2.0,7,2,7,2,7.0,2.0,5.0
Restoration Orientation,7.0,1.1666666666666667,7,0,7,2,7.0,1.0,3.75
Self-Righteousness Stigmas,6.75,1.0,6,1,7,1,7.0,1.0,4.75
Self-Verification Striving,6.875,1.125,6,1,7,2,7.0,1.0,5.8125
Self/Other Centeredness Supervisor Behaviors,7.0,1.0,7,1,7,1,7.0,1.0,2.7
Sense of Community Credits,5.25,1.25,3,1,7,2,5.5,1.0,1.25
Shame,2.0,0.25,1,0,3,1,2.0,0.0,-1.25
Skill/ability sales self-efficacy,5.8,0.8,1,0,7,1,7.0,1.0,4.1
Social Exchange Relationship,2.75,1.0,1,0,6,2,2.0,1.0,0.125
State Gratitude,5.2,1.4,3,1,7,2,6.0,1.0,3.2
Subjective Social Class,6.666666666666667,1.0,6,1,7,1,7.0,1.0,5.666666666666667
Superficial Reaction to Supervisor,1.0,0.0,1,0,1,0,1.0,0.0,0.0
Supervisor Enforcing Work Requirements/Flexibility,5.5,1.0,4,1,7,1,5.5,1.0,1.75
Supervisor Follower Development,7.0,2.0,7,2,7,2,7.0,2.0,3.0
Supervisor Intellectual Stimulation,6.666666666666667,2.0,6,2,7,2,7.0,2.0,4.333333333333333
Supervisor Solicitation of Voice,4.0,0.5,1,0,7,1,4.0,0.5,-0.625
Supervisor Support for Recovery,6.833333333333333,1.1666666666666667,6,1,7,2,7.0,1.0,5.666666666666667
Supervisor Team Building,7.0,1.2,7,1,7,2,7.0,1.0,5.5
Supervisor Vision Communication,5.5,1.75,4,1,7,2,5.5,2.0,2.5
Supervisor's Organizational Embodiment,6.333333333333333,2.0,4,2,7,2,7.0,2.0,2.3333333333333335
Supervisor-Triggered Newcomer Negative Affect,6.75,0.625,6,0,7,2,7.0,0.5,0.4375
Supervisor-Triggered Newcomer Positive Affect,6.75,1.875,6,1,7,2,7.0,2.0,1.625
Supportive Voice (Burris),6.25,1.0,5,1,7,1,6.5,1.0,3.75
Supportive Voice (Maynes),7.0,1.0,7,1,7,1,7.0,1.0,3.0
Synchrony Preference,5.25,1.5,1,0,7,2,6.5,2.0,1.375
Team Temporal Leadership,6.571428571428571,1.0,6,1,7,1,7.0,1.0,3.0
Tendency to Gossip,7.0,1.0,7,1,7,1,7.0,1.0,6.0
Time Management Credits,6.25,2.0,6,2,7,2,6.0,2.0,2.125
Uniformity/Individualization Supervisor Behaviors,6.6,1.6,6,0,7,2,7.0,2.0,0.1
Victim Identity,7.0,1.0,7,1,7,1,7.0,1.0,1.5
Void Filling Stigmas,6.25,1.0,6,1,7,1,6.0,1.0,5.25
Volunteering,5.8,1.0,5,1,6,1,6.0,1.0,4.8
Voracity,7.0,1.0,7,1,7,1,7.0,1.0,6.0
Wanderlust,6.8,2.0,6,2,7,2,7.0,2.0,2.9
Work to Personal Conflict,7.0,1.0,7,1,7,1,7.0,1.0,5.3
