,mean_focal,mean_focal_rank,min_focal,min_focal_rank,max_focal,max_focal_rank,median_focal,median_focal_rank,htd
Avoidant Leader Behaviors,4.0,0.0,4,0,4,0,4.0,0.0,0.0
Bottom-line mentality,4.0,0.5,4,0,4,2,4.0,0.0,0.375
Calling,3.75,0.5,1,0,4,2,4.0,0.0,0.625
Career Satisfaction,4.0,0.0,4,0,4,0,4.0,0.0,0.0
Citizenship Fatigue,4.0,0.0,4,0,4,0,4.0,0.0,0.0
Collaborative Leader Behaviors,4.0,0.0,4,0,4,0,4.0,0.0,0.0
Communicating Hig Expectations by Supervisor,4.0,0.0,4,0,4,0,4.0,0.0,0.0
Competence Certainity,3.25,0.0,1,0,4,0,4.0,0.0,-0.75
Constructive Voice,3.4,0.4,1,0,4,1,4.0,0.0,0.6
Contingent Reactions to Supervisor,4.0,0.5,4,0,4,2,4.0,0.0,0.375
Coworker Career Advancement,2.0,0.0,1,0,4,0,1.0,0.0,-2.0
Coworker Emotional Support,3.0,0.6666666666666666,1,0,4,1,4.0,1.0,0.5
Coworker Friendship,4.0,0.0,4,0,4,0,4.0,0.0,0.0
Coworker Giving to Others,4.0,0.0,4,0,4,0,4.0,0.0,0.0
Coworker Knowledge Utilization,4.0,0.0,4,0,4,0,4.0,0.0,0.0
Coworker Personal Growth ,2.0,0.0,1,0,4,0,1.0,0.0,-1.5
Coworker Project Qualities,4.0,0.0,4,0,4,0,4.0,0.0,0.0
Coworker Star Qualities,4.0,0.4,4,0,4,1,4.0,0.0,0.6
Coworker Task Assistance,4.0,0.0,4,0,4,0,4.0,0.0,0.0
Customer Unethical Behavior,3.25,0.375,1,0,4,1,4.0,0.0,0.75
Decision Control/Autonomy Supervisor Behavior,4.0,0.75,4,0,4,1,4.0,1.0,1.5
Defensive Voice,4.0,0.0,4,0,4,0,4.0,0.0,0.0
Desire for Power,4.0,0.4,4,0,4,1,4.0,0.0,0.6
Destructive Voice,4.0,1.2,4,0,4,2,4.0,1.0,1.5
Distance/Closeness Supervisor Behaviors,4.0,1.25,4,1,4,2,4.0,1.0,2.25
Distraction Stigmas,4.0,0.25,4,0,4,1,4.0,0.0,0.75
Distributive Fairness Monitoring,4.0,0.8,4,0,4,2,4.0,1.0,1.5
Distributive Justice Clarity,4.0,0.0,4,0,4,0,4.0,0.0,0.0
Dominating Leader Behavior,3.0,0.0,1,0,4,0,4.0,0.0,-1.0
Duty to Codes Orientation,4.0,0.0,4,0,4,0,4.0,0.0,0.0
Duty to Members Orientation,4.0,0.5,4,0,4,2,4.0,0.0,0.375
Duty to Mission Orientation,4.0,0.25,4,0,4,1,4.0,0.0,0.75
Emphasizing Group Identity by Supervisor,4.0,0.0,4,0,4,0,4.0,0.0,0.0
Envisioning,3.0,0.3333333333333333,1,0,4,1,4.0,0.0,0.5
Equitable Organizational Practices,4.0,0.0,4,0,4,0,4.0,0.0,0.0
Ethical Values Credits,4.0,0.0,4,0,4,0,4.0,0.0,0.0
Evangelism Stigmas,4.0,1.75,4,1,4,2,4.0,2.0,1.875
Exclusion beliefs,4.0,0.0,4,0,4,0,4.0,0.0,0.0
Expectation Reaction to Supervisor,4.0,0.0,4,0,4,0,4.0,0.0,0.0
Extrinsic Career Goal,4.0,0.0,4,0,4,0,4.0,0.0,0.0
Family Incivility,1.5,0.16666666666666666,1,0,4,1,1.0,0.0,0.25
