,mean_focal,mean_focal_rank,min_focal,min_focal_rank,max_focal,max_focal_rank,median_focal,median_focal_rank,htd
Avoidant Leader Behaviors,0.8211696296930313,1.0,0.8037438988685608,1,0.8390952348709106,1,0.8209196925163269,1.0,0.12796137481927872
Bottom-line mentality,0.8496825695037842,1.25,0.8211218118667603,1,0.8825445175170898,2,0.8475319743156433,1.0,0.11109844595193863
Calling,0.7616324375073115,1.0,0.702453076839447,1,0.8103981018066406,1,0.7599086761474609,1.0,0.017121503750483196
Career Satisfaction,0.7510280857483546,1.0833333333333333,0.717072606086731,0,0.7994381189346313,2,0.7448284029960632,1.0,0.046034338573614754
Citizenship Fatigue,0.8479460179805756,2.0,0.8311389684677124,2,0.8645570278167725,2,0.8444683849811554,2.0,0.049974918365478516
Collaborative Leader Behaviors,0.8269215822219849,1.75,0.8002218008041382,1,0.8446282148361206,2,0.8314181566238403,2.0,0.023685403168201447
Communicating Hig Expectations by Supervisor,0.8598422646522522,1.8,0.828606367111206,1,0.9043375253677368,2,0.8542598485946655,2.0,0.03631912469863892
Competence Certainity,0.775167927145958,1.75,0.7682867050170898,1,0.7821272611618042,2,0.7751288712024689,2.0,0.021795637905597687
Constructive Voice,0.8177935957908631,1.0,0.804258406162262,1,0.8277692198753357,1,0.8219782710075378,1.0,-0.0032971322536468504
Contingent Reactions to Supervisor,0.893756240606308,2.0,0.8802502155303955,2,0.9112293720245361,2,0.8917726874351501,2.0,0.10088040679693222
Coworker Career Advancement,0.8747896154721578,1.0,0.8510597944259644,1,0.8893694877624512,1,0.8839395642280579,1.0,0.09873822331428528
Coworker Emotional Support,0.8623369534810384,1.0,0.8480621576309204,1,0.8874567747116089,1,0.8514919281005859,1.0,0.12167327602704366
Coworker Friendship,0.8642937938372294,1.0,0.8324970006942749,1,0.8884912133216858,1,0.8718931674957275,1.0,0.1090761919816335
Coworker Giving to Others,0.8630936145782471,1.0,0.8191735744476318,1,0.8893928527832031,1,0.8807144165039062,1.0,0.09874473015467326
Coworker Knowledge Utilization,0.8832275668780009,1.0,0.8619832992553711,1,0.9145022630691528,1,0.8731971383094788,1.0,0.09302571415901184
Coworker Personal Growth ,0.8761612772941589,1.0,0.843757152557373,1,0.8979103565216064,1,0.8868163228034973,1.0,0.10749276479085286
Coworker Project Qualities,0.8735292673110961,1.0,0.8431600332260132,1,0.8912203311920166,1,0.8801153898239136,1.0,0.115951007604599
Coworker Star Qualities,0.8350541710853576,1.4,0.8040252923965454,1,0.8565365076065063,2,0.8397455215454102,1.0,0.05596475601196289
Coworker Task Assistance,0.8707091013590494,1.6666666666666667,0.8578243255615234,1,0.8857203722000122,2,0.8685826063156128,2.0,0.0889926552772522
Customer Unethical Behavior,0.8602233603596687,1.0,0.8271723985671997,1,0.903775155544281,1,0.8511946797370911,1.0,0.109212227165699
Decision Control/Autonomy Supervisor Behavior,0.8803776949644089,1.75,0.8396914005279541,1,0.9135266542434692,2,0.8841463625431061,2.0,0.07819022238254547
Defensive Voice,0.8337981104850769,1.0,0.8244326710700989,1,0.8421229720115662,1,0.8321421146392822,1.0,0.045121651887893674
Desire for Power,0.8074594914913178,1.4,0.7618662118911743,1,0.8637162446975708,2,0.8022194802761078,1.0,0.035695260763168334
Destructive Voice,0.8379363417625427,1.8,0.8313150405883789,1,0.8496637344360352,2,0.8330026268959045,2.0,0.02105393409729004
Distance/Closeness Supervisor Behaviors,0.886016771197319,2.0,0.8456157445907593,2,0.9116267561912537,2,0.8934122920036316,2.0,0.104827880859375
Distraction Stigmas,0.8429756015539169,1.0,0.7916380167007446,1,0.8713079690933228,1,0.8544782102108002,1.0,0.052525222301483154
Distributive Fairness Monitoring,0.86361243724823,2.0,0.826151967048645,2,0.8984969854354858,2,0.8634335994720459,2.0,0.12395285367965699
Distributive Justice Clarity,0.756524940331777,2.0,0.7478122711181641,2,0.7614336609840393,2,0.7603288888931274,2.0,0.06243951121966044
Dominating Leader Behavior,0.8140924771626791,1.3333333333333333,0.7871854305267334,1,0.8384941816329956,2,0.8165978193283081,1.0,0.03019048770268758
Duty to Codes Orientation,0.8275711238384247,1.75,0.8095209002494812,1,0.8469997644424438,2,0.8268819153308868,2.0,0.04931388795375824
Duty to Members Orientation,0.838779017329216,1.0,0.7974520921707153,1,0.8669549226760864,1,0.8453545272350311,1.0,0.09433307498693466
Duty to Mission Orientation,0.8450030386447906,2.0,0.7702815532684326,2,0.877294659614563,2,0.8662179708480835,2.0,0.09511496126651764
Emphasizing Group Identity by Supervisor,0.8235170602798462,1.0,0.8058376312255859,1,0.8393961191177368,1,0.8284786939620972,1.0,0.01212681531906128
Envisioning,0.7169303496678671,0.0,0.7138556241989136,0,0.7218247652053833,0,0.7151106595993042,0.0,-0.03118165334065755
Equitable Organizational Practices,0.8126515626907349,2.0,0.7531237602233887,2,0.8505860567092896,2,0.8203511834144592,2.0,0.05140477418899536
Ethical Values Credits,0.8778319209814072,2.0,0.80240398645401,2,0.9425321221351624,2,0.8831957876682281,2.0,0.08304201811552048
Evangelism Stigmas,0.921303316950798,1.0,0.8921296000480652,1,0.9621192216873169,1,0.915482223033905,1.0,0.13319458812475204
Exclusion beliefs,0.7978813052177429,2.0,0.782105565071106,2,0.8136570453643799,2,0.7978813052177429,2.0,0.09110964834690094
Expectation Reaction to Supervisor,0.7302600592374802,1.0,0.7166416645050049,0,0.7463594675064087,2,0.7290195524692535,1.0,-0.05861404538154602
Extrinsic Career Goal,0.8620767146348953,1.0,0.8444398641586304,1,0.8744215369224548,1,0.864722728729248,1.0,0.05598464608192444
Family Incivility,0.7859416703383127,2.0,0.7725450992584229,2,0.8007856607437134,2,0.7858180999755859,2.0,0.040188223123550415
Family to Personal Conflict,0.8933675765991211,1.8,0.8667272925376892,1,0.9098722338676453,2,0.895897388458252,2.0,0.17077903151512147
Gender Determinism,0.8767032623291016,2.0,0.789758563041687,2,0.9234978556632996,2,0.8967783153057098,2.0,0.09283655881881714
Global Organizational Commitment,0.797590896487236,0.0,0.7683369517326355,0,0.8237999677658081,0,0.7991133332252502,0.0,-0.028097257018089294
Idea Validation,0.8302462816238403,1.8,0.7681487202644348,1,0.854704737663269,2,0.8403271436691284,2.0,0.054570406675338745
Identity Strain,0.8866039514541626,1.4,0.852668821811676,1,0.9100210070610046,2,0.8878618478775024,1.0,0.08245183825492859
Inclusion in Decision Making,0.860431507229805,0.75,0.8175068497657776,0,0.9022825956344604,1,0.860968291759491,1.0,0.019376039505004883
Integration of Differences,0.8506720463434855,1.6666666666666667,0.8007092475891113,1,0.8998177647590637,2,0.8567564487457275,2.0,0.04894747336705526
Interactional Justice Clarity,0.7425856471061707,2.0,0.7251384258270264,2,0.7679108381271362,2,0.7431812882423401,2.0,0.02127739191055298
