,mean_focal,mean_focal_rank,min_focal,min_focal_rank,max_focal,max_focal_rank,median_focal,median_focal_rank,htd
Avoidant Leader Behaviors,0.990881934762001,2.0,0.9904714822769165,2,0.9915444850921631,2,0.9907558858394623,2.0,0.974741108584567
Bottom-line mentality,0.9879455268383026,1.0,0.9779976010322571,1,0.9924415349960327,1,0.9906714856624603,1.0,0.9813990879047196
Calling,0.48964491621397127,1.3333333333333333,0.0011031347094103694,0,0.9669952988624573,2,0.5546320378780365,2.0,0.2648686064955352
Career Satisfaction,0.6494884496399512,1.9166666666666667,0.0027816956862807274,1,0.985683023929596,2,0.9526562094688416,2.0,0.6282527632793062
Citizenship Fatigue,0.9797675808270773,1.0,0.966195285320282,1,0.9868908524513245,1,0.9840489625930786,1.0,0.7885498126027718
Collaborative Leader Behaviors,0.9814851433038712,1.5,0.9738674759864807,1,0.9899240136146545,2,0.9810745418071747,1.5,0.7108267673174851
Communicating Hig Expectations by Supervisor,0.7084272384643555,2.0,0.15615403652191162,2,0.9798542857170105,2,0.9105423092842102,2.0,0.6107540866505587
Competence Certainity,0.7644517682492733,1.75,0.10705403983592987,1,0.9850097298622131,2,0.9828716516494751,2.0,0.6362620908294048
Constructive Voice,0.9854402422904969,1.0,0.9838038086891174,1,0.9869018793106079,1,0.9861347079277039,1.0,0.9695094356080517
Contingent Reactions to Supervisor,0.9849133193492889,1.25,0.9809219241142273,1,0.9892589449882507,2,0.9847362041473389,1.0,0.9450196649413556
Coworker Career Advancement,0.9839028716087341,1.0,0.9802101254463196,1,0.9895156621932983,1,0.9819828271865845,1.0,0.9772948278599264
Coworker Emotional Support,0.956397811571757,1.0,0.9223392605781555,1,0.9871571660041809,1,0.9596970081329346,1.0,0.9452785480728684
Coworker Friendship,0.9150627056757609,1.0,0.8546647429466248,1,0.9845720529556274,1,0.9059513211250305,1.0,0.7539653315955851
Coworker Giving to Others,0.6550299031659961,1.0,0.015614480711519718,1,0.9851460456848145,1,0.964329183101654,1.0,0.6371837391828498
Coworker Knowledge Utilization,0.9640407164891561,2.0,0.9197207093238831,2,0.9876227378845215,2,0.9847787022590637,2.0,0.9635779264838978
Coworker Personal Growth ,0.9855378071467081,1.0,0.9825925827026367,1,0.9896978735923767,1,0.9843229651451111,1.0,0.9602063523877101
Coworker Project Qualities,0.7418059717863799,1.0,0.018328195437788963,1,0.9914026856422424,1,0.9124956130981445,1.0,0.7344373791303951
Coworker Star Qualities,0.8911514639854431,1.0,0.7138389945030212,1,0.9882107973098755,1,0.9581359028816223,1.0,0.7944382466521347
Coworker Task Assistance,0.9708535273869833,1.3333333333333333,0.9481553435325623,1,0.984480082988739,2,0.9799251556396484,1.0,0.7764078984425092
Customer Unethical Behavior,0.9824367687106133,1.0,0.9659744501113892,1,0.9903433322906494,1,0.9852370917797089,1.0,0.9720686538203154
Decision Control/Autonomy Supervisor Behavior,0.9873142540454865,1.0,0.9808161854743958,1,0.9915243983268738,1,0.9884582161903381,1.0,0.8933958921406884
Defensive Voice,0.9890467166900635,1.0,0.9867576360702515,1,0.9901420474052429,1,0.9898709654808044,1.0,0.9545311685651541
Desire for Power,0.9622317969799041,1.8,0.9299607872962952,1,0.9838936924934387,2,0.9659171998500824,2.0,0.685263377323281
Destructive Voice,0.9816486001014709,1.4,0.979534387588501,1,0.9852305054664612,2,0.9811676740646362,1.0,0.9459365353919565
Distance/Closeness Supervisor Behaviors,0.7445350270718336,2.0,0.10148762911558151,2,0.99090975522995,2,0.9428713619709015,2.0,0.26519456603273284
Distraction Stigmas,0.9269092679023743,2.0,0.8700835704803467,2,0.9810457229614258,2,0.9282538890838623,2.0,0.4717238163430011
