,mean_focal,mean_focal_rank,min_focal,min_focal_rank,max_focal,max_focal_rank,median_focal,median_focal_rank,htd
Avoidant Leader Behaviors,0.8550270771593815,0.0,0.7727253294293978,0,0.9010564407359377,0,0.8731632692360953,0.0,-0.10944364021863795
Bottom-line mentality,0.9020933725743187,0.25,0.8254124411978889,0,1.00109470577164,1,0.8909331716638729,0.0,-0.07528138631039533
Calling,0.9665111073921921,1.75,0.8945208102056004,0,1.0187902560051176,2,0.9777450544359035,2.0,0.008932154548012253
Career Satisfaction,0.9072672963138234,0.75,0.8338973632410618,0,0.9613356559825547,2,0.9175893177176881,0.0,-0.027017407871672283
Citizenship Fatigue,0.9065316434326292,1.1666666666666667,0.8407161238851951,0,1.0179828812170875,2,0.893608278288957,1.0,-0.020055762564156716
Collaborative Leader Behaviors,0.9819224146510085,1.0,0.8743024502657869,1,1.0421186308365464,1,1.0056342887508503,1.0,0.08967330767116855
Communicating Hig Expectations by Supervisor,0.8210407341600169,0.2,0.7146183921199996,0,0.9483954326745332,1,0.8132621333746467,0.0,-0.08546838274839023
Competence Certainity,1.1137470565433976,0.5,1.100278708928983,0,1.142202537645189,2,1.1062534897997092,0.0,-0.023173478891010513
Constructive Voice,0.8123079477104218,0.0,0.7786935595200919,0,0.8445097468123695,0,0.8032967339133009,0.0,-0.07021431186989116
Contingent Reactions to Supervisor,0.5948168309040528,0.0,0.5513332770961791,0,0.6548471753428236,0,0.5865434355886043,0.0,-0.15118232202781878
Coworker Career Advancement,0.8751163556648613,0.6666666666666666,0.8400542969972079,0,0.907450024554262,2,0.8778447454431142,0.0,-0.036159450879420074
Coworker Emotional Support,0.924474756891788,1.3333333333333333,0.831050425052282,0,1.0173533079057666,2,0.9250205377173154,2.0,-0.03319283383270003
Coworker Friendship,1.0088785223244046,2.0,0.9537092941629475,2,1.0852152362637155,2,0.9877110365465503,2.0,0.11215953282341351
Coworker Giving to Others,0.7286704951548831,0.0,0.6525688471478744,0,0.8065402364725897,0,0.7269024018441854,0.0,-0.15745354683300414
Coworker Knowledge Utilization,0.7853403932800201,0.0,0.7502441240368684,0,0.8078871433893833,0,0.7978899124138085,0.0,-0.14039022670293622
Coworker Personal Growth ,0.87700804334417,1.0,0.8053087615881053,0,0.9412287768620421,2,0.8844865915823625,1.0,-0.06974232315049278
Coworker Project Qualities,0.9332040190503488,1.4,0.6763604275336179,0,1.0688888260234939,2,0.9986615200944733,2.0,-0.04011382757043132
Coworker Star Qualities,0.8509825292512259,0.2,0.677044672167572,0,0.9405243321918544,1,0.9109557738634105,0.0,-0.10121854449612097
Coworker Task Assistance,0.8428890943561748,0.6666666666666666,0.7998043829326844,0,0.87709257280642,2,0.8517703273294198,0.0,-0.047892464256338384
Customer Unethical Behavior,0.4734816483934739,0.0,0.3465322791151541,0,0.5451481827981985,0,0.49174054959941216,0.0,-0.5075068116149317
Decision Control/Autonomy Supervisor Behavior,0.7898945556928667,0.25,0.5910102613658869,0,0.9128112216899031,1,0.8278783698578382,0.0,-0.14339216875488303
Defensive Voice,0.6869105551657506,0.0,0.5957751098364121,0,0.8080461612495126,0,0.6775572179168406,0.0,-0.24523922910765678
Desire for Power,0.9019720439302663,0.2,0.7013217968987507,0,1.0955001072488613,2,0.9339312170569971,0.0,-0.17668441353496914
Destructive Voice,0.7922637383186205,0.2,0.683774532645147,0,0.8458407908190807,1,0.8049897226489995,0.0,-0.11273804435644212
Distance/Closeness Supervisor Behaviors,0.7925670449283229,0.25,0.768521307408334,0,0.8380257314637606,1,0.7818605704205983,0.0,-0.14071464953538904
Distraction Stigmas,0.8047165558655833,0.5,0.6567496283962447,0,0.9255001797117083,2,0.8183082076771901,0.0,-0.15427831193651487
Distributive Fairness Monitoring,0.7932591556478916,0.0,0.6754156732696868,0,0.9554250293511803,0,0.7397765687905413,0.0,-0.18351755260265445
Distributive Justice Clarity,0.9037174572662338,0.0,0.8730912977629943,0,0.9310194726979213,0,0.9070416013377857,0.0,-0.17156975668864458
Dominating Leader Behavior,0.9206644974596278,1.6666666666666667,0.8957252404042142,1,0.9349577005818172,2,0.9313105513928521,2.0,0.011362683747614325
Duty to Codes Orientation,0.8692955810692893,0.0,0.7991894566000985,0,0.9378390551574438,0,0.8700769062598075,0.0,-0.09710137519144835
Duty to Members Orientation,0.7809388377427553,0.0,0.7189746613938709,0,0.8184537558122199,0,0.793163466882465,0.0,-0.16244332393582028
Duty to Mission Orientation,0.7645609928287453,0.0,0.6330551180307644,0,0.8747715795693294,0,0.7752086368574438,0.0,-0.11454404799858581
Emphasizing Group Identity by Supervisor,0.8278814792777812,1.0,0.7920153709909703,0,0.855879745372816,2,0.8437735726353157,1.0,-0.02975620434600499
Envisioning,0.9985963721179019,2.0,0.9481772660167544,2,1.0399574528594209,2,1.0076543974775305,2.0,0.1230491166902065
Equitable Organizational Practices,0.966086895665278,1.6,0.9351386813455212,1,0.9982687189936188,2,0.9609159944076324,2.0,0.07418719386454357
Ethical Values Credits,0.9115393075669513,0.75,0.5330000986793756,0,1.093387165880479,2,1.0098849828539753,0.5,-0.0913421919007481
Evangelism Stigmas,0.5365641642921946,0.0,0.31794310019536864,0,0.7046365736941781,0,0.5618384916396157,0.0,-0.4517630050410869
Exclusion beliefs,0.8986699892366121,0.0,0.8956315738782712,0,0.9017084045949529,0,0.8986699892366121,0.0,-0.1515589541840987
Expectation Reaction to Supervisor,1.018069223912242,1.25,0.9498498819406237,1,1.048641755318851,2,1.0368926291947467,1.0,0.07694592628939095
