,mean_focal,mean_focal_rank,min_focal,min_focal_rank,max_focal,max_focal_rank,median_focal,median_focal_rank,htd
Avoidant Leader Behaviors,0.9418546170381764,0.0,0.8559260302014807,0,1.0043465678340326,0,0.9535729350585962,0.0,-0.10042514923226309
Bottom-line mentality,0.9445207639134563,0.0,0.8630630223107519,0,1.050076383463941,0,0.9324718249395659,0.0,-0.11144116064006393
Calling,1.0349451598026438,1.75,0.9655865384976401,0,1.0745597757417502,2,1.0332634962478409,2.0,0.0225320836214243
Career Satisfaction,0.959792023242907,1.0,0.8924567677506944,0,1.0369567766418246,2,0.9600207175675817,1.0,-0.006327346425513654
Citizenship Fatigue,0.9781693577426857,1.3333333333333333,0.9206664257596625,1,1.0586265677373263,2,0.968105779978315,1.0,-0.004864962939931106
Collaborative Leader Behaviors,1.0078306366565495,0.75,0.8918621983168079,0,1.0771945425021818,1,1.031132902903604,1.0,0.03361555744392042
Communicating Hig Expectations by Supervisor,0.9160062846500067,0.2,0.8174966718544433,0,1.036432159166209,1,0.8999959003599696,0.0,-0.057653864793952625
Competence Certainity,1.1362650963705865,1.5,1.1111221075679205,1,1.1758172641624796,2,1.1290605068759731,1.5,0.027864711702916378
Constructive Voice,0.9256991541787768,0.8,0.9002468339772619,0,0.9592400332573056,2,0.9148397190683057,0.0,-0.05351469720628747
Contingent Reactions to Supervisor,0.6532684949284414,0.0,0.6101305872699238,0,0.7091390525911541,0,0.6469021699263439,0.0,-0.16791664604499712
Coworker Career Advancement,0.9523479724600178,0.6666666666666666,0.9110083169438234,0,0.9850304727442534,2,0.9610051276919764,0.0,-0.04626732899600117
Coworker Emotional Support,0.9824151135588691,0.6666666666666666,0.8672103872395781,0,1.082821031457605,2,0.9972139219794243,0.0,-0.07154429409334047
Coworker Friendship,1.0075337044103936,1.3333333333333333,0.9305551271807914,0,1.1105636083653905,2,0.981482377684999,2.0,0.07557881287270041
Coworker Giving to Others,0.7632384706396801,0.0,0.679130030591203,0,0.8404557436327629,0,0.7701296376950744,0.0,-0.1685758329222704
Coworker Knowledge Utilization,0.8765717583084481,0.0,0.8298380500992664,0,0.9093317789679952,0,0.8905454458580828,0.0,-0.14113195744573512
Coworker Personal Growth ,0.9679348467107394,1.0,0.8990190140095762,0,1.027721724356939,2,0.9770638017657032,1.0,-0.01896078311979643
Coworker Project Qualities,1.0001101324885175,0.8,0.7193938529082667,0,1.2185088057997455,2,1.050417995251529,1.0,-0.040717333573002445
Coworker Star Qualities,0.9264741192941003,0.2,0.7556421211317087,0,1.0324630742090264,1,0.9514233849035477,0.0,-0.09449026795598306
Coworker Task Assistance,0.912610003593496,0.6666666666666666,0.8576981225612709,0,0.971667749027676,2,0.9084641391915407,0.0,-0.020832730767446073
Customer Unethical Behavior,0.5058489379347966,0.0,0.36732282677152794,0,0.5791685466302818,0,0.526033598152623,0.0,-0.5836407403589852
Decision Control/Autonomy Supervisor Behavior,0.8630562505334217,0.25,0.6260594489955326,0,1.00019377230992,1,0.9129858904141172,0.0,-0.16157562380517076
Defensive Voice,0.7404169789196412,0.0,0.6400762231795186,0,0.8680147044426488,0,0.7280999314155683,0.0,-0.2931677279656399
Desire for Power,0.9097895041577958,0.0,0.7456255756706934,0,1.039407141930475,0,0.9326715098564715,0.0,-0.28501223642098433
Destructive Voice,0.8915797743690547,0.2,0.7714933542711918,0,0.945412234809543,1,0.9132140205216899,0.0,-0.1120726333536938
Distance/Closeness Supervisor Behaviors,0.8620464125070906,0.25,0.8150404008985228,0,0.931722992506757,1,0.8507111283115414,0.0,-0.15974540335759585
Distraction Stigmas,0.8767006818120148,0.5,0.7257973862254102,0,1.035877878449516,2,0.8725637312865663,0.0,-0.16294315996903075
Distributive Fairness Monitoring,0.8527769146751872,0.0,0.7329514946454005,0,1.0020355591495076,0,0.8434996918335458,0.0,-0.22097299117997418
Distributive Justice Clarity,0.9804913133031584,0.0,0.9476303734589734,0,1.00930637990634,0,0.9845371865441622,0.0,-0.14815533114686366
Dominating Leader Behavior,0.9866616278731408,1.6666666666666667,0.9687000705773594,1,0.9998872395868132,2,0.9913975734552499,2.0,0.013169201502627606
Duty to Codes Orientation,0.9250439096869544,0.0,0.8645722177895339,0,0.9758052860404587,0,0.9298990674589125,0.0,-0.09948744302371082
Duty to Members Orientation,0.851772150940398,0.0,0.776323355099174,0,0.8850061400275843,0,0.872879554317417,0.0,-0.15881518746568812
Duty to Mission Orientation,0.8497163525048237,0.0,0.7179870513005433,0,0.9537635393264856,0,0.8635574096961329,0.0,-0.09950130827886461
Emphasizing Group Identity by Supervisor,0.9343991314196479,1.2,0.9022951300009124,0,0.9719891057598085,2,0.944850366401292,2.0,-0.0021797919028999856
Envisioning,1.006849555154761,2.0,0.9585439952886373,2,1.041127324176004,2,1.0208773459996416,2.0,0.06628532118577397
Equitable Organizational Practices,1.0390813517272868,1.8,1.0081949991764418,1,1.0726173374827093,2,1.0257338360015462,2.0,0.07705746816880392
Ethical Values Credits,0.8998132998432278,0.5,0.5337074551220221,0,1.0990996290236783,2,0.9832230576136054,0.0,-0.1528132891748567
Evangelism Stigmas,0.5415725364125622,0.0,0.33311119467965783,0,0.7075027062493677,0,0.5628381223606116,0.0,-0.5303687532096464
Exclusion beliefs,0.9965886282042393,0.0,0.9850350409301786,0,1.0081422154783,0,0.9965886282042393,0.0,-0.11841096528431372
Expectation Reaction to Supervisor,1.0940373494302311,1.0,1.0708729500110672,1,1.1269433157093045,1,1.0891665660002765,1.0,0.05590099138127835
Extrinsic Career Goal,0.9510713976875858,0.5,0.8942442455362068,0,1.0108517606543257,2,0.9495947922799052,0.0,-0.12365508109191375
Family Incivility,0.9481121859754301,0.8333333333333334,0.8909966130902306,0,1.027134030894999,2,0.9464953896735566,1.0,-0.0367898655569161
Family to Personal Conflict,0.7738301765163071,0.0,0.7421172516848884,0,0.815824600233037,0,0.7624504687835075,0.0,-0.18843049023801034
Gender Determinism,0.8350243804054175,0.25,0.7191354429024258,0,0.9151831170237773,1,0.8528894808477334,0.0,-0.14492156014870083
Global Organizational Commitment,1.0511002360130233,1.0,1.0407748408626727,1,1.0645471608114616,1,1.0495394711889796,1.0,0.10611293463858762
Idea Validation,0.9242456006298697,0.4,0.847839879883324,0,1.0456638353630887,1,0.9135149149141238,0.0,-0.05799786654854504
Identity Strain,0.9174078415001519,0.2,0.7577027058537192,0,1.0226137926107168,1,0.9177220750993725,0.0,-0.08470379911370732
Inclusion in Decision Making,0.8928995477971275,0.5,0.7656320864047835,0,1.031359988150375,1,0.8873030583166759,0.5,-0.08156993492639802
Integration of Differences,0.9138559751378296,0.5,0.7717532899061489,0,0.962713127135548,2,0.9537683360245268,0.0,-0.026742098774755085
Interactional Justice Clarity,0.9723850712112029,1.8,0.9105867078531649,1,1.0189444768824039,2,0.9754001054199546,2.0,-0.00043145941084627993
Interest/Enjoyment Sales Self-Efficacy,1.0105906268459603,0.0,0.9322388340566226,0,1.052349338262549,0,1.0280965212837858,0.0,-0.054360888724952525
International Employee Identity,0.9357883065795993,0.75,0.8689435795824288,0,0.9785664466380941,2,0.9478216000489371,0.5,-0.06613602525552925
Interpersonal Fairness Monitoring,0.8037160046708229,0.3333333333333333,0.6911356797749298,0,0.9499537441366823,2,0.8038487893463289,0.0,-0.24505186613324814
Intraorganizational employee navigation,1.080768217712799,2.0,1.0154834875444787,2,1.1265213421183276,2,1.1117815075050772,2.0,0.06950366270769726
Intrinsic Career Goal,0.8787702767372935,0.0,0.8364365074100462,0,0.9143489199262839,0,0.8837459255464288,0.0,-0.12018304063243415
Knowledge Stock,0.8873983451175356,0.0,0.8510786436758336,0,0.9265541595807869,0,0.8907410296463599,0.0,-0.08736371186330061
Loss Orientation,0.9019531272319042,0.0,0.7936061156848393,0,0.9398783181304781,0,0.9280795350422122,0.0,-0.13310665908219668
Moral Credits,1.0501392312623175,1.0,1.0103613867258217,0,1.0823798231595227,2,1.0654321761832366,1.0,-0.023986522950271906
Moral Identification,0.8429494818876986,0.6,0.790517646241367,0,0.9437351467785742,1,0.8282202539419979,1.0,-0.08222782015006054
Naiveté,0.8017711754677893,0.0,0.7551129379433478,0,0.8278866344692936,0,0.8120425647292578,0.0,-0.15496959296177643
Organizational Support for Development,0.7249038951866754,0.0,0.6829946701981822,0,0.7772498049761745,0,0.7117790456212064,0.0,-0.1988055629796129
Oscillation Orientation,0.9366620536628466,1.3333333333333333,0.8709365255988177,0,1.0031152080030465,2,0.9359344273866753,2.0,-0.08567125672389819
Other Focus Credits,0.9447408952742034,1.5,0.605690976183727,0,1.0670242194122972,2,1.0531241927503947,2.0,0.002394120881787032
Perceived Career Opportunity,0.7757883899780453,0.0,0.7112785558536746,0,0.8293166008913493,0,0.786770013189112,0.0,-0.23906337659150304
Performance Monitoring,1.0838844252318625,1.75,1.0295394002023368,1,1.1513182580815489,2,1.0773400213217816,2.0,0.02032659938961734
Personal Life Motives,0.7274602059747614,0.0,0.6953048999343694,0,0.7747954587707704,0,0.7198702325969527,0.0,-0.17199134712248565
Personal Recognition by Supervisor,1.0134706666111768,1.25,0.9478173159323353,0,1.042374423032252,2,1.0318454637400603,1.5,-0.03500414727109169
Personal to Family Conflict,0.7236818236581055,0.0,0.6525216103555839,0,0.8003413188252072,0,0.723341985758214,0.0,-0.2236526066751722
Personal to Work Conflict,0.7672000250165383,0.0,0.7237206405754127,0,0.8005076065600911,0,0.762176831447331,0.0,-0.1733524603598763
Planning,0.8800583947039656,0.3333333333333333,0.8033778325326751,0,0.9505636711716224,1,0.8862336804075994,0.0,-0.06662569087708925
Procedural Fairness Monitoring,0.8840851223981107,0.0,0.8253882489479346,0,0.9308554684854243,0,0.881356611397647,0.0,-0.18672802814490205
Procedural Justice Clarity,0.9003128806934764,0.6666666666666666,0.8439458730707614,0,0.9640802313660083,1,0.8986185602062535,1.0,-0.010126693203885631
Productivity Motives,0.697651885219973,0.0,0.4837717019542236,0,0.8096145173604267,0,0.7995694363452688,0.0,-0.2818108008773658
Prohibitive Voice,0.9566267991777954,1.8,0.9165659950833123,1,0.9988665734435804,2,0.9537342219875905,2.0,0.053549788694779554
Promotive Voice,0.8631664010031972,0.4,0.8337053362819945,0,0.9029601082092188,2,0.8571304811302733,0.0,-0.09390447421893873
Propensity to Morally Disengage,0.9644657057123072,0.0,0.9087121697037603,0,1.0119821464610277,0,0.9580326388405693,0.0,-0.11943824420744864
Reflecting,0.8900159531065231,0.3333333333333333,0.8228646506924187,0,0.9578807416559523,1,0.8893024669711985,0.0,-0.0489676824277853
Relational Energy,1.1242053605655191,2.0,1.0382883464604487,2,1.1538772995836042,2,1.144445606048456,2.0,0.1445981453376107
Reputation Maintenance Concerns,0.9197876928941577,0.0,0.6587713740477661,0,1.0830259549061072,0,0.9686767213113787,0.0,-0.14934415169156734
Restoration Orientation,1.0088022733045403,0.8333333333333334,0.9486799786691105,0,1.0836812955731931,1,1.0064099795819659,1.0,-0.007410900086048648
Self-Righteousness Stigmas,0.8093626015709939,0.0,0.6827486956863746,0,0.9324648440391993,0,0.8111184332792012,0.0,-0.2021965531980089
Self-Verification Striving,0.8787409439481515,0.25,0.7918708085807602,0,1.004680825096821,2,0.8792960077315188,0.0,-0.13105030120241146
Self/Other Centeredness Supervisor Behaviors,1.0513481584146975,2.0,0.9978369739324194,2,1.098190367470046,2,1.0530338130849661,2.0,0.13935457685063257
Sense of Community Credits,0.5798074058343159,0.0,0.2887463100053038,0,0.7941127745041621,0,0.6181852694138987,0.0,-0.4087218868438336
Shame,0.9662008940519143,1.0,0.895130745742827,1,1.017578309862559,1,0.9760472603011356,1.0,0.030532271090155327
Skill/ability sales self-efficacy,1.052070472051851,0.4,0.9788552625898322,0,1.1191959655420045,2,1.0649978561043183,0.0,-0.06063054393989633
Social Exchange Relationship,1.095099717408801,1.0,1.0936720499447814,1,1.0968036538946575,1,1.094961582897883,1.0,0.04240596371205241
State Gratitude,1.0023081074821958,1.2,0.9078292487742535,0,1.1157014968321826,2,0.9752216516959493,2.0,-0.05875461057545621
Subjective Social Class,0.9712260366049676,1.0,0.9427635666542309,0,0.9977674630184413,2,0.9741917391061646,1.0,0.027729678359580845
Superficial Reaction to Supervisor,1.071886771860837,1.0,1.0331056355837562,1,1.0948793522290972,1,1.0889316407088045,1.0,0.027694242461734648
Supervisor Enforcing Work Requirements/Flexibility,0.8585817985756579,0.0,0.7598374400182404,0,0.9236292365208895,0,0.8754302588817509,0.0,-0.18451022424711094
Supervisor Follower Development,0.9629233219972946,1.0,0.8924963210640127,0,1.011059329659406,2,0.9740688186328799,1.0,-0.049810978728715094
Supervisor Intellectual Stimulation,0.8427984394861389,0.0,0.7741684415265941,0,0.946043601795531,0,0.8081832751362915,0.0,-0.1481254433292213
Supervisor Solicitation of Voice,0.9976428092445271,1.0,0.9613371431918246,1,1.071661217509271,1,0.9787864381385064,1.0,0.04665979115127622
Supervisor Support for Recovery,0.8929567109586247,0.0,0.8249254886363542,0,0.9557348503179108,0,0.8901294334178801,0.0,-0.12128869233522277
Supervisor Team Building,1.0161405395984322,1.2,0.9425372336045903,1,1.0988829143495655,2,0.9960414346415023,1.0,0.11147249153920011
Supervisor Vision Communication,0.6799339209112312,1.0,0.23592931643962256,0,0.9344647542568622,2,0.77467080647422,1.0,-0.2522628211475924
Supervisor's Organizational Embodiment,0.8579686724684316,0.0,0.8359342604626957,0,0.879519412915193,0,0.8594142250742051,0.0,-0.16182588237706794
