,mean_focal,mean_focal_rank,min_focal,min_focal_rank,max_focal,max_focal_rank,median_focal,median_focal_rank,htd
Avoidant Leader Behaviors,0.557655468583107,1.0,0.5102388262748718,1,0.5835679769515991,1,0.5684075355529785,1.0,0.027702737599611282
Bottom-line mentality,0.6451158076524734,2.0,0.5562390089035034,2,0.7187677025794983,2,0.652728259563446,2.0,0.13135170936584473
Calling,0.5298140570521355,0.8333333333333334,0.45208436250686646,0,0.6182790994644165,1,0.5401458144187927,1.0,-0.025500481327374775
Career Satisfaction,0.533223477502664,1.0,0.48654213547706604,0,0.5705926418304443,2,0.535233348608017,1.0,0.014648136993249258
Citizenship Fatigue,0.6290401717027029,1.6666666666666667,0.574496865272522,0,0.7019121646881104,2,0.6215769648551941,2.0,0.043357099095980324
Collaborative Leader Behaviors,0.5314335748553276,0.25,0.46161124110221863,0,0.6346248388290405,1,0.5147491097450256,0.0,-0.08917808532714844
Communicating Hig Expectations by Supervisor,0.6093183040618897,1.0,0.450358510017395,0,0.7226662635803223,2,0.6084353923797607,1.0,0.06232226490974426
Competence Certainity,0.36726580560207367,0.75,0.3529919385910034,0,0.37998250126838684,1,0.3680443912744522,1.0,0.0015937946736812592
Constructive Voice,0.6824842095375061,1.0,0.6544846296310425,1,0.6974547505378723,1,0.687357485294342,1.0,0.027175647020339967
Contingent Reactions to Supervisor,0.8163519352674484,1.5,0.8018209934234619,1,0.8330681324005127,2,0.8152593076229095,1.5,0.0835053101181984
Coworker Career Advancement,0.6583515803019205,1.0,0.6296690702438354,1,0.7135953307151794,1,0.6317903399467468,1.0,0.05360634128252665
Coworker Emotional Support,0.6140240828196207,1.0,0.5301061868667603,1,0.7674238681793213,1,0.5445421934127808,1.0,0.053970515727996826
Coworker Friendship,0.5193846623102824,0.3333333333333333,0.38771575689315796,0,0.6725195050239563,1,0.4979187250137329,0.0,-0.10392901301383972
Coworker Giving to Others,0.7210374673207601,1.0,0.6329481601715088,1,0.7714142799377441,1,0.7587499618530273,1.0,0.12206738193829854
Coworker Knowledge Utilization,0.6900119384129842,1.0,0.6324093341827393,1,0.7255100607872009,1,0.7121164202690125,1.0,0.037720441818237305
Coworker Personal Growth ,0.5712632934252421,0.3333333333333333,0.4677114486694336,0,0.6425803303718567,1,0.603498101234436,0.0,-0.0699431300163269
Coworker Project Qualities,0.6182381868362427,1.0,0.4225083589553833,1,0.742512583732605,1,0.6366312503814697,1.0,0.1346440851688385
