validity_metric,nlp_metric,r,p,model
alpha,mean,0.031778255662308706,0.7394206863092125,bow_lsa
alpha,median,0.00883523714121802,0.9263355934552995,bow_lsa
alpha,std,0.10278131036083266,0.28085913715700045,bow_lsa
alpha,min,-0.002464567401840319,0.9794248692553861,bow_lsa
alpha,max,0.17236878594265145,0.06916459203623349,bow_lsa
psa,mean,0.14917710967884376,0.11645497647732228,bow_lsa
psa,median,0.16923323504567347,0.07445716111371356,bow_lsa
psa,std,-0.15544823061698948,0.10171015586878406,bow_lsa
psa,min,0.15011904288027958,0.1141402096009144,bow_lsa
psa,max,0.010264744334776622,0.9144589748810186,bow_lsa
csv,mean,0.1491487644577258,0.11652519340075045,bow_lsa
csv,median,0.1696930688233086,0.07366117527592403,bow_lsa
csv,std,-0.1575093427484548,0.09719800255218368,bow_lsa
csv,min,0.15025608025842163,0.11380644291416944,bow_lsa
csv,max,0.009144092107849777,0.9237681051790073,bow_lsa
htc,mean,0.15175780488202517,0.1101983412788235,bow_lsa
htc,median,0.17389020986574347,0.06670865762304223,bow_lsa
htc,std,-0.15887756954367735,0.09429091732929834,bow_lsa
htc,min,0.16485848393820174,0.08238159138333259,bow_lsa
htc,max,-0.01385796653695262,0.8846946066669485,bow_lsa
htd,mean,0.1257232601558591,0.18655104371899972,bow_lsa
htd,median,0.1390870704395258,0.14358641861139726,bow_lsa
htd,std,-0.1423274205714269,0.13439687153081015,bow_lsa
htd,min,0.1267263323288194,0.1830328297001901,bow_lsa
htd,max,0.04520730404062617,0.6359963032906425,bow_lsa
alpha,mean,0.2954704532049863,0.0015625175262840114,llm_gemini
alpha,median,0.27602404146444137,0.0032207149848107516,llm_gemini
alpha,std,-0.0166319988910215,0.8618230798805339,llm_gemini
alpha,min,0.17048123142350277,0.07231281593223075,llm_gemini
alpha,max,0.42443839415303963,3.1026523675915022e-06,llm_gemini
psa,mean,0.3640314058318067,7.960333036633934e-05,llm_gemini
psa,median,0.39037077787363894,2.090092470043004e-05,llm_gemini
psa,std,-0.209003129857465,0.026997617313895713,llm_gemini
psa,min,0.3264420343917032,0.0004435379759823599,llm_gemini
psa,max,0.3016691932947471,0.0012275430029521357,llm_gemini
csv,mean,0.3619347488383327,8.811399411766281e-05,llm_gemini
csv,median,0.38901814106873966,2.245011536058253e-05,llm_gemini
csv,std,-0.21062592733635566,0.02580605229258834,llm_gemini
csv,min,0.32526282563476433,0.00046648804998317557,llm_gemini
csv,max,0.2991790234763542,0.0013533418995919295,llm_gemini
htc,mean,0.4690665860755004,1.822606069139171e-07,llm_gemini
htc,median,0.4789901443454784,9.169922159964185e-08,llm_gemini
htc,std,-0.3199011751523695,0.0005852674589012993,llm_gemini
htc,min,0.4480574727038924,7.278219993347623e-07,llm_gemini
htc,max,0.31032408998726413,0.0008686933464886092,llm_gemini
htd,mean,0.11556856051733916,0.22497222633254224,llm_gemini
htd,median,0.14882717603157922,0.11732413283299384,llm_gemini
htd,std,-0.04696778862271385,0.6228920994565279,llm_gemini
htd,min,0.08265663712312146,0.3862565320538672,llm_gemini
htd,max,0.1416743687614915,0.1362118651419664,llm_gemini
alpha,mean,-0.11933011890711788,0.21013765351143102,llm_mistral
alpha,median,-0.07393995594972144,0.4384638665214296,llm_mistral
alpha,std,0.21129077297902688,0.025330993861603555,llm_mistral
alpha,min,-0.2199214569506301,0.01981031518492812,llm_mistral
alpha,max,0.02715094695100649,0.7762820098891617,llm_mistral
psa,mean,-0.06028849455462077,0.5277460206760715,llm_mistral
psa,median,-0.022613911241720505,0.8129139209557519,llm_mistral
psa,std,0.07777265587187925,0.41503200202573887,llm_mistral
psa,min,-0.09491106981418349,0.3195294597458635,llm_mistral
psa,max,-0.05767300277416982,0.545837299025651,llm_mistral
csv,mean,-0.057899112600147795,0.5442614070079942,llm_mistral
csv,median,-0.017391630273463594,0.8555790757186156,llm_mistral
csv,std,0.07744747093003067,0.41699127181869483,llm_mistral
csv,min,-0.0957993593739214,0.3150005947969036,llm_mistral
csv,max,-0.05796453460072483,0.5438058591689452,llm_mistral
htc,mean,0.05220893389339398,0.5845834844475156,llm_mistral
htc,median,0.10160498312704204,0.2864306287143079,llm_mistral
htc,std,0.13890818475091463,0.14410724394631783,llm_mistral
htc,min,-0.05625157137777009,0.5557948958393613,llm_mistral
htc,max,0.0616866185479404,0.5182004653063225,llm_mistral
htd,mean,-0.06559843603829617,0.4919686053958773,llm_mistral
htd,median,-0.004269108341959314,0.9643676794498576,llm_mistral
htd,std,0.12994421848604293,0.17207389381071084,llm_mistral
htd,min,-0.13917091624948397,0.14334279236609943,llm_mistral
htd,max,-0.014372714962494704,0.8804428263660966,llm_mistral
alpha,mean,0.34485616945062125,0.0001964246310454551,sentence_roberta
alpha,median,0.3325649962888862,0.0003402064322508335,sentence_roberta
alpha,std,-0.07409017820402045,0.43753156686054967,sentence_roberta
alpha,min,0.2223376365829745,0.018464181205377656,sentence_roberta
alpha,max,0.40087811387664896,1.1864898180552405e-05,sentence_roberta
psa,mean,0.215127990774461,0.0227325447377338,sentence_roberta
psa,median,0.21296342429444554,0.024168712806599452,sentence_roberta
psa,std,-0.0917401727929708,0.3360367993426687,sentence_roberta
psa,min,0.20184933334097777,0.032824168259997163,sentence_roberta
psa,max,0.18193831423744128,0.054869306504373314,sentence_roberta
csv,mean,0.21562567606149924,0.02241287711078904,sentence_roberta
csv,median,0.21428557753690558,0.023282539943024788,sentence_roberta
csv,std,-0.09248695069434644,0.3321012577802262,sentence_roberta
csv,min,0.2017438428289024,0.032917465410235325,sentence_roberta
csv,max,0.18317586437002042,0.05321233140474695,sentence_roberta
htc,mean,0.2708725300520538,0.0038684414854211406,sentence_roberta
htc,median,0.271915099430656,0.0037286403896185667,sentence_roberta
