,mean_focal,min_focal,max_focal,median_focal
Abusive supervision - active-aggressive,0.4002699819992259,0.4002699819992259,0.4002699819992259,0.4002699819992259
Affective commitment,0.2290504719925781,0.2290504719925781,0.2290504719925781,0.2290504719925781
Authoritarian leadership,0.3670404106939629,0.3670404106939629,0.3670404106939629,0.3670404106939629
Autonomy climate,0.6345623130111433,0.6345623130111433,0.6345623130111433,0.6345623130111433
Bureaucracy,0.15579950800924594,0.15579950800924594,0.15579950800924594,0.15579950800924594
Career satisfaction,0.2956314074641076,0.2956314074641076,0.2956314074641076,0.2956314074641076
Climate for civility,0.19850933333378784,0.19850933333378784,0.19850933333378784,0.19850933333378784
Cognitive demands,-4.163336342344337e-17,-4.163336342344337e-17,-4.163336342344337e-17,-4.163336342344337e-17
Competitive goals,0.2384889251403561,0.2384889251403561,0.2384889251403561,0.2384889251403561
Competitive orientation,0.27528554935229543,0.27528554935229543,0.27528554935229543,0.27528554935229543
Continuance commitment - high sacrifices,0.06885586130963377,0.06885586130963377,0.06885586130963377,0.06885586130963377
Continuance commitment -low alternatives,0.07528796827293485,0.07528796827293485,0.07528796827293485,0.07528796827293485
Cooperative goals,0.2407388336259917,0.2407388336259917,0.2407388336259917,0.2407388336259917
Cooperative orientation,0.49302346138886427,0.49302346138886427,0.49302346138886427,0.49302346138886427
Coworker trust,0.4090929567394115,0.4090929567394115,0.4090929567394115,0.4090929567394115
Daily work hassles,0.26819543148891295,0.26819543148891295,0.26819543148891295,0.26819543148891295
Deep acting,0.03838023993585195,0.03838023993585195,0.03838023993585195,0.03838023993585195
Demands-abilities job fit,0.48107056631228934,0.48107056631228934,0.48107056631228934,0.48107056631228934
Distributive justice,0.2582582534150867,0.2582582534150867,0.2582582534150867,0.2582582534150867
Efficiency climate,0.49124193536808347,0.49124193536808347,0.49124193536808347,0.49124193536808347
Emotional demands,0.17634463621222973,0.17634463621222973,0.17634463621222973,0.17634463621222973
Emotional fatigue,0.7427041975636979,0.7427041975636979,0.7427041975636979,0.7427041975636979
Extrinsic motivation,0.2532427339040369,0.2532427339040369,0.2532427339040369,0.2532427339040369
Face-time orientation,0.049173581691012824,0.049173581691012824,0.049173581691012824,0.049173581691012824
Family authenticity,0.6264092595798043,0.6264092595798043,0.6264092595798043,0.6264092595798043
Family motivation,0.4050863318046789,0.4050863318046789,0.4050863318046789,0.4050863318046789
Formalization climate,0.3495310682012931,0.3495310682012931,0.3495310682012931,0.3495310682012931
Goal focused leadership,0.10812775112963689,0.10812775112963689,0.10812775112963689,0.10812775112963689
Informational justice,0.07230499107372887,0.07230499107372887,0.07230499107372887,0.07230499107372887
Innovation climate,0.424177420248275,0.424177420248275,0.424177420248275,0.424177420248275
Interpersonal justice,0.2198145827182497,0.2198145827182497,0.2198145827182497,0.2198145827182497
Intrinsic motivation,0.4346801998670339,0.4346801998670339,0.4346801998670339,0.4346801998670339
Intuitive decision-making style,0.5619236625360186,0.5619236625360186,0.5619236625360186,0.5619236625360186
Job insecurity,0.08596262053287852,0.08596262053287852,0.08596262053287852,0.08596262053287852
Job self-efficacy,0.4979337353262487,0.4979337353262487,0.4979337353262487,0.4979337353262487
Leader avoidant conflict behaviors,-2.42861286636753e-17,-2.42861286636753e-17,-2.42861286636753e-17,-2.42861286636753e-17
Leader collaborative conflict behaviors,0.25147699590911143,0.25147699590911143,0.25147699590911143,0.25147699590911143
Leader dominating conflict behaviors,0.20250448875334093,0.20250448875334093,0.20250448875334093,0.20250448875334093
Leadership self-identity,0.14068543552735507,0.14068543552735507,0.14068543552735507,0.14068543552735507
Learning goal orientation,0.4494039418851332,0.4494039418851332,0.4494039418851332,0.4494039418851332
Loneliness,0.04951410898720505,0.04951410898720505,0.04951410898720505,0.04951410898720505
Managerial responsibility stress,0.388872254071146,0.388872254071146,0.388872254071146,0.388872254071146
Meaning,0.03148926228280596,0.03148926228280596,0.03148926228280596,0.03148926228280596
Meeting effectiveness,0.17605175982554996,0.17605175982554996,0.17605175982554996,0.17605175982554996
Mental fatigue,0.5932877259857158,0.5932877259857158,0.5932877259857158,0.5932877259857158
Needs-supplies job fit,0.11039917758562215,0.11039917758562215,0.11039917758562215,0.11039917758562215
Negative effort-reward imbalance,-3.469446951953614e-17,-3.469446951953614e-17,-3.469446951953614e-17,-3.469446951953614e-17
Normative commitment,0.23388589791490755,0.23388589791490755,0.23388589791490755,0.23388589791490755
Organizational politics,0.21562851603007852,0.21562851603007852,0.21562851603007852,0.21562851603007852
Organizational reputation,0.20871878886166378,0.20871878886166378,0.20871878886166378,0.20871878886166378
Ostracism,0.43066802022849787,0.43066802022849787,0.43066802022849787,0.43066802022849787
Perceived Leader effectiveness,0.2616786889352379,0.2616786889352379,0.2616786889352379,0.2616786889352379
Perceived contract breach,0.06906702933405875,0.06906702933405875,0.06906702933405875,0.06906702933405875
Perceived organizational support,0.03503703799028607,0.03503703799028607,0.03503703799028607,0.03503703799028607
Perceived overqualification,0.05071613997502046,0.05071613997502046,0.05071613997502046,0.05071613997502046
Performance goal orientation,0.08694735316546293,0.08694735316546293,0.08694735316546293,0.08694735316546293
Person-organization fit,0.2559907476540808,0.2559907476540808,0.2559907476540808,0.2559907476540808
Perspective-taking,0.272192158969428,0.272192158969428,0.272192158969428,0.272192158969428
Pessimism of organizational change,0.3412430579518215,0.3412430579518215,0.3412430579518215,0.3412430579518215
Physical fatigue,0.6787565761082945,0.6787565761082945,0.6787565761082945,0.6787565761082945
Preference for group work,0.15699751541619544,0.15699751541619544,0.15699751541619544,0.15699751541619544
Procedural justice,0.23680347927113166,0.23680347927113166,0.23680347927113166,0.23680347927113166
Prosocial identity,0.2076522729358141,0.2076522729358141,0.2076522729358141,0.2076522729358141
Prosocial motivation,0.5460413585888044,0.5460413585888044,0.5460413585888044,0.5460413585888044
Quality of group experience,0.03171937991405302,0.03171937991405302,0.03171937991405302,0.03171937991405302
Quantitative workload,0.12537512691793085,0.12537512691793085,0.12537512691793085,0.12537512691793085
Rational decision-making style,0.3189316127817896,0.3189316127817896,0.3189316127817896,0.3189316127817896
Relationship conflict,0.46834005675461865,0.46834005675461865,0.46834005675461865,0.46834005675461865
Resources,0.2317715721710148,0.2317715721710148,0.2317715721710148,0.2317715721710148
Role conflict,0.11716443323184644,0.11716443323184644,0.11716443323184644,0.11716443323184644
Rumination (negative),0.14112719752160197,0.14112719752160197,0.14112719752160197,0.14112719752160197
