,mean_focal,min_focal,max_focal,median_focal
Abusive supervision - active-aggressive,7.0,7,7,7.0
Affective commitment,7.0,7,7,7.0
Authoritarian leadership,7.0,7,7,7.0
Autonomy climate,6.0,6,6,6.0
Bureaucracy,6.0,6,6,6.0
Career satisfaction,7.0,7,7,7.0
Climate for civility,6.0,6,6,6.0
Cognitive demands,7.0,7,7,7.0
Competitive goals,6.0,6,6,6.0
Competitive orientation,6.0,6,6,6.0
Continuance commitment - high sacrifices,6.0,6,6,6.0
Continuance commitment -low alternatives,6.0,6,6,6.0
Cooperative goals,6.0,6,6,6.0
Cooperative orientation,7.0,7,7,7.0
Coworker trust,7.0,7,7,7.0
Daily work hassles,6.0,6,6,6.0
Deep acting,6.0,6,6,6.0
Demands-abilities job fit,7.0,7,7,7.0
Distributive justice,6.0,6,6,6.0
Efficiency climate,7.0,7,7,7.0
Emotional demands,7.0,7,7,7.0
Emotional fatigue,7.0,7,7,7.0
Extrinsic motivation,6.0,6,6,6.0
Face-time orientation,6.0,6,6,6.0
Family authenticity,7.0,7,7,7.0
Family motivation,7.0,7,7,7.0
Formalization climate,7.0,7,7,7.0
Goal focused leadership,6.0,6,6,6.0
Informational justice,6.0,6,6,6.0
Innovation climate,7.0,7,7,7.0
Interpersonal justice,7.0,7,7,7.0
Intrinsic motivation,7.0,7,7,7.0
Intuitive decision-making style,7.0,7,7,7.0
Job insecurity,6.0,6,6,6.0
Job self-efficacy,7.0,7,7,7.0
Leader avoidant conflict behaviors,6.0,6,6,6.0
Leader collaborative conflict behaviors,6.0,6,6,6.0
Leader dominating conflict behaviors,6.0,6,6,6.0
Leadership self-identity,7.0,7,7,7.0
Learning goal orientation,6.0,6,6,6.0
Loneliness,7.0,7,7,7.0
Managerial responsibility stress,7.0,7,7,7.0
Meaning,7.0,7,7,7.0
Meeting effectiveness,7.0,7,7,7.0
Mental fatigue,7.0,7,7,7.0
Needs-supplies job fit,7.0,7,7,7.0
Negative effort-reward imbalance,6.0,6,6,6.0
Normative commitment,7.0,7,7,7.0
Organizational politics,6.0,6,6,6.0
Organizational reputation,7.0,7,7,7.0
Ostracism,7.0,7,7,7.0
Perceived Leader effectiveness,7.0,7,7,7.0
Perceived contract breach,7.0,7,7,7.0
Perceived organizational support,7.0,7,7,7.0
Perceived overqualification,7.0,7,7,7.0
Performance goal orientation,6.0,6,6,6.0
Person-organization fit,6.0,6,6,6.0
Perspective-taking,7.0,7,7,7.0
Pessimism of organizational change,6.0,6,6,6.0
Physical fatigue,7.0,7,7,7.0
Preference for group work,7.0,7,7,7.0
Procedural justice,6.0,6,6,6.0
Prosocial identity,7.0,7,7,7.0
Prosocial motivation,7.0,7,7,7.0
Quality of group experience,5.0,5,5,5.0
Quantitative workload,6.0,6,6,6.0
Rational decision-making style,6.0,6,6,6.0
Relationship conflict,6.0,6,6,6.0
Resources,7.0,7,7,7.0
Role conflict,6.0,6,6,6.0
Rumination (negative),6.0,6,6,6.0
Self-initiated work breaks,6.0,6,6,6.0
Subjective monotony,7.0,7,7,7.0
Subjective stress,7.0,7,7,7.0
Supervisor competence,7.0,7,7,7.0
Supervisor warmth,7.0,7,7,7.0
Surface acting,6.0,6,6,6.0
Task conflict,6.0,6,6,6.0
Task interdependence,6.0,6,6,6.0
Team self-management,6.0,6,6,6.0
Team workload sharing,6.0,6,6,6.0
Time pressure,7.0,7,7,7.0
Training climate,7.0,7,7,7.0
Trust in supervisor,7.0,7,7,7.0
Unnecessary illegitimate tasks,7.0,7,7,7.0
Unreasonable illegitimate tasks,7.0,7,7,7.0
Welfare climate,7.0,7,7,7.0
Work authenticity,7.0,7,7,7.0
Work frustration,6.0,6,6,6.0
Work hypercompetitive,7.0,7,7,7.0
Work pressure,7.0,7,7,7.0
