,mean_focal,min_focal,max_focal,median_focal
Abusive supervision - active-aggressive,7.0,7,7,7.0
Affective commitment,7.0,7,7,7.0
Authoritarian leadership,7.0,7,7,7.0
Autonomy climate,7.0,7,7,7.0
Bureaucracy,7.0,7,7,7.0
Career satisfaction,7.0,7,7,7.0
Climate for civility,7.0,7,7,7.0
Cognitive demands,7.0,7,7,7.0
Competitive goals,7.0,7,7,7.0
Competitive orientation,7.0,7,7,7.0
Continuance commitment - high sacrifices,7.0,7,7,7.0
Continuance commitment -low alternatives,7.0,7,7,7.0
Cooperative goals,7.0,7,7,7.0
Cooperative orientation,7.0,7,7,7.0
Coworker trust,7.0,7,7,7.0
Daily work hassles,7.0,7,7,7.0
Deep acting,7.0,7,7,7.0
Demands-abilities job fit,7.0,7,7,7.0
Distributive justice,7.0,7,7,7.0
Efficiency climate,7.0,7,7,7.0
Emotional demands,3.0,3,3,3.0
Emotional fatigue,7.0,7,7,7.0
Extrinsic motivation,7.0,7,7,7.0
Face-time orientation,7.0,7,7,7.0
Family authenticity,7.0,7,7,7.0
Family motivation,7.0,7,7,7.0
Formalization climate,7.0,7,7,7.0
Goal focused leadership,6.0,6,6,6.0
Informational justice,7.0,7,7,7.0
Innovation climate,7.0,7,7,7.0
Interpersonal justice,7.0,7,7,7.0
Intrinsic motivation,7.0,7,7,7.0
Intuitive decision-making style,7.0,7,7,7.0
Job insecurity,7.0,7,7,7.0
Job self-efficacy,7.0,7,7,7.0
Leader avoidant conflict behaviors,7.0,7,7,7.0
Leader collaborative conflict behaviors,7.0,7,7,7.0
Leader dominating conflict behaviors,7.0,7,7,7.0
Leadership self-identity,7.0,7,7,7.0
Learning goal orientation,7.0,7,7,7.0
Loneliness,6.0,6,6,6.0
Managerial responsibility stress,7.0,7,7,7.0
Meaning,7.0,7,7,7.0
Meeting effectiveness,7.0,7,7,7.0
Mental fatigue,7.0,7,7,7.0
Needs-supplies job fit,7.0,7,7,7.0
Negative effort-reward imbalance,7.0,7,7,7.0
Normative commitment,7.0,7,7,7.0
Organizational politics,6.0,6,6,6.0
Organizational reputation,7.0,7,7,7.0
Ostracism,7.0,7,7,7.0
Perceived Leader effectiveness,7.0,7,7,7.0
Perceived contract breach,7.0,7,7,7.0
Perceived organizational support,7.0,7,7,7.0
Perceived overqualification,7.0,7,7,7.0
Performance goal orientation,7.0,7,7,7.0
Person-organization fit,7.0,7,7,7.0
Perspective-taking,7.0,7,7,7.0
Pessimism of organizational change,7.0,7,7,7.0
Physical fatigue,7.0,7,7,7.0
Preference for group work,7.0,7,7,7.0
Procedural justice,7.0,7,7,7.0
Prosocial identity,7.0,7,7,7.0
Prosocial motivation,7.0,7,7,7.0
Quality of group experience,7.0,7,7,7.0
Quantitative workload,7.0,7,7,7.0
Rational decision-making style,7.0,7,7,7.0
Relationship conflict,7.0,7,7,7.0
Resources,7.0,7,7,7.0
Role conflict,7.0,7,7,7.0
Rumination (negative),6.0,6,6,6.0
Self-initiated work breaks,6.0,6,6,6.0
Subjective monotony,7.0,7,7,7.0
Subjective stress,7.0,7,7,7.0
Supervisor competence,7.0,7,7,7.0
Supervisor warmth,7.0,7,7,7.0
Surface acting,7.0,7,7,7.0
Task conflict,7.0,7,7,7.0
Task interdependence,7.0,7,7,7.0
Team self-management,7.0,7,7,7.0
Team workload sharing,7.0,7,7,7.0
Time pressure,7.0,7,7,7.0
Training climate,6.0,6,6,6.0
Trust in supervisor,7.0,7,7,7.0
Unnecessary illegitimate tasks,7.0,7,7,7.0
Unreasonable illegitimate tasks,7.0,7,7,7.0
Welfare climate,7.0,7,7,7.0
Work authenticity,7.0,7,7,7.0
Work frustration,6.0,6,6,6.0
Work hypercompetitive,7.0,7,7,7.0
Work pressure,7.0,7,7,7.0
