,mean_focal,min_focal,max_focal,median_focal
Abusive supervision - active-aggressive,4.0,4,4,4.0
Affective commitment,4.0,4,4,4.0
Authoritarian leadership,4.0,4,4,4.0
Autonomy climate,4.0,4,4,4.0
Bureaucracy,4.0,4,4,4.0
Career satisfaction,4.0,4,4,4.0
Climate for civility,4.0,4,4,4.0
Cognitive demands,4.0,4,4,4.0
Competitive goals,4.0,4,4,4.0
Competitive orientation,4.0,4,4,4.0
Continuance commitment - high sacrifices,4.0,4,4,4.0
Continuance commitment -low alternatives,4.0,4,4,4.0
Cooperative goals,4.0,4,4,4.0
Cooperative orientation,4.0,4,4,4.0
Coworker trust,4.0,4,4,4.0
Daily work hassles,4.0,4,4,4.0
Deep acting,4.0,4,4,4.0
Demands-abilities job fit,4.0,4,4,4.0
Distributive justice,4.0,4,4,4.0
Efficiency climate,4.0,4,4,4.0
Emotional demands,4.0,4,4,4.0
Emotional fatigue,4.0,4,4,4.0
Extrinsic motivation,4.0,4,4,4.0
Face-time orientation,4.0,4,4,4.0
Family authenticity,4.0,4,4,4.0
Family motivation,4.0,4,4,4.0
Formalization climate,4.0,4,4,4.0
Goal focused leadership,4.0,4,4,4.0
Informational justice,4.0,4,4,4.0
Innovation climate,4.0,4,4,4.0
Interpersonal justice,4.0,4,4,4.0
Intrinsic motivation,4.0,4,4,4.0
Intuitive decision-making style,4.0,4,4,4.0
Job insecurity,4.0,4,4,4.0
Job self-efficacy,4.0,4,4,4.0
Leader avoidant conflict behaviors,4.0,4,4,4.0
Leader collaborative conflict behaviors,4.0,4,4,4.0
Leader dominating conflict behaviors,4.0,4,4,4.0
Leadership self-identity,4.0,4,4,4.0
Learning goal orientation,4.0,4,4,4.0
Loneliness,4.0,4,4,4.0
Managerial responsibility stress,4.0,4,4,4.0
Meaning,4.0,4,4,4.0
Meeting effectiveness,4.0,4,4,4.0
Mental fatigue,4.0,4,4,4.0
Needs-supplies job fit,4.0,4,4,4.0
Negative effort-reward imbalance,4.0,4,4,4.0
Normative commitment,4.0,4,4,4.0
Organizational politics,4.0,4,4,4.0
Organizational reputation,4.0,4,4,4.0
Ostracism,4.0,4,4,4.0
Perceived Leader effectiveness,4.0,4,4,4.0
Perceived contract breach,4.0,4,4,4.0
Perceived organizational support,4.0,4,4,4.0
Perceived overqualification,4.0,4,4,4.0
Performance goal orientation,4.0,4,4,4.0
Person-organization fit,4.0,4,4,4.0
Perspective-taking,4.0,4,4,4.0
Pessimism of organizational change,4.0,4,4,4.0
Physical fatigue,4.0,4,4,4.0
Preference for group work,4.0,4,4,4.0
Procedural justice,4.0,4,4,4.0
Prosocial identity,4.0,4,4,4.0
Prosocial motivation,4.0,4,4,4.0
Quality of group experience,4.0,4,4,4.0
Quantitative workload,4.0,4,4,4.0
Rational decision-making style,4.0,4,4,4.0
Relationship conflict,4.0,4,4,4.0
Resources,4.0,4,4,4.0
Role conflict,4.0,4,4,4.0
Rumination (negative),4.0,4,4,4.0
Self-initiated work breaks,4.0,4,4,4.0
Subjective monotony,4.0,4,4,4.0
Subjective stress,4.0,4,4,4.0
Supervisor competence,4.0,4,4,4.0
Supervisor warmth,4.0,4,4,4.0
Surface acting,4.0,4,4,4.0
Task conflict,4.0,4,4,4.0
Task interdependence,4.0,4,4,4.0
Team self-management,4.0,4,4,4.0
Team workload sharing,4.0,4,4,4.0
Time pressure,4.0,4,4,4.0
Training climate,4.0,4,4,4.0
Trust in supervisor,4.0,4,4,4.0
Unnecessary illegitimate tasks,4.0,4,4,4.0
Unreasonable illegitimate tasks,4.0,4,4,4.0
Welfare climate,4.0,4,4,4.0
Work authenticity,4.0,4,4,4.0
Work frustration,4.0,4,4,4.0
Work hypercompetitive,4.0,4,4,4.0
Work pressure,4.0,4,4,4.0
