,mean_focal,min_focal,max_focal,median_focal
Abusive supervision - active-aggressive,0.7352182865142822,0.7352182865142822,0.7352182865142822,0.7352182865142822
Affective commitment,0.7630684971809387,0.7630684971809387,0.7630684971809387,0.7630684971809387
Authoritarian leadership,0.7367451786994934,0.7367451786994934,0.7367451786994934,0.7367451786994934
Autonomy climate,0.8211635947227478,0.8211635947227478,0.8211635947227478,0.8211635947227478
Bureaucracy,0.5338834524154663,0.5338834524154663,0.5338834524154663,0.5338834524154663
Career satisfaction,0.5099636316299438,0.5099636316299438,0.5099636316299438,0.5099636316299438
Climate for civility,0.6267590522766113,0.6267590522766113,0.6267590522766113,0.6267590522766113
Cognitive demands,0.7141819000244141,0.7141819000244141,0.7141819000244141,0.7141819000244141
Competitive goals,0.7763514518737793,0.7763514518737793,0.7763514518737793,0.7763514518737793
Competitive orientation,0.7286113500595093,0.7286113500595093,0.7286113500595093,0.7286113500595093
Continuance commitment - high sacrifices,0.583426833152771,0.583426833152771,0.583426833152771,0.583426833152771
Continuance commitment -low alternatives,0.4889846742153168,0.4889846742153168,0.4889846742153168,0.4889846742153168
Cooperative goals,0.709284782409668,0.709284782409668,0.709284782409668,0.709284782409668
Cooperative orientation,0.8120301961898804,0.8120301961898804,0.8120301961898804,0.8120301961898804
Coworker trust,0.7542081475257874,0.7542081475257874,0.7542081475257874,0.7542081475257874
Daily work hassles,0.7648646235466003,0.7648646235466003,0.7648646235466003,0.7648646235466003
Deep acting,0.5903005599975586,0.5903005599975586,0.5903005599975586,0.5903005599975586
Demands-abilities job fit,0.714472770690918,0.714472770690918,0.714472770690918,0.714472770690918
Distributive justice,0.6649129390716553,0.6649129390716553,0.6649129390716553,0.6649129390716553
Efficiency climate,0.8807051181793213,0.8807051181793213,0.8807051181793213,0.8807051181793213
Emotional demands,0.6730567216873169,0.6730567216873169,0.6730567216873169,0.6730567216873169
Emotional fatigue,0.91056227684021,0.91056227684021,0.91056227684021,0.91056227684021
Extrinsic motivation,0.7063429355621338,0.7063429355621338,0.7063429355621338,0.7063429355621338
Face-time orientation,0.49059927463531494,0.49059927463531494,0.49059927463531494,0.49059927463531494
Family authenticity,0.8708778023719788,0.8708778023719788,0.8708778023719788,0.8708778023719788
Family motivation,0.722981333732605,0.722981333732605,0.722981333732605,0.722981333732605
Formalization climate,0.714260458946228,0.714260458946228,0.714260458946228,0.714260458946228
Goal focused leadership,0.706046462059021,0.706046462059021,0.706046462059021,0.706046462059021
Informational justice,0.6375981569290161,0.6375981569290161,0.6375981569290161,0.6375981569290161
Innovation climate,0.7265259027481079,0.7265259027481079,0.7265259027481079,0.7265259027481079
Interpersonal justice,0.7749890685081482,0.7749890685081482,0.7749890685081482,0.7749890685081482
Intrinsic motivation,0.7469162940979004,0.7469162940979004,0.7469162940979004,0.7469162940979004
Intuitive decision-making style,0.8230931758880615,0.8230931758880615,0.8230931758880615,0.8230931758880615
Job insecurity,0.4074068069458008,0.4074068069458008,0.4074068069458008,0.4074068069458008
Job self-efficacy,0.5615309476852417,0.5615309476852417,0.5615309476852417,0.5615309476852417
Leader avoidant conflict behaviors,0.6579632759094238,0.6579632759094238,0.6579632759094238,0.6579632759094238
Leader collaborative conflict behaviors,0.7420538663864136,0.7420538663864136,0.7420538663864136,0.7420538663864136
Leader dominating conflict behaviors,0.5696607828140259,0.5696607828140259,0.5696607828140259,0.5696607828140259
Leadership self-identity,0.592430830001831,0.592430830001831,0.592430830001831,0.592430830001831
Learning goal orientation,0.7840733528137207,0.7840733528137207,0.7840733528137207,0.7840733528137207
Loneliness,0.6539718508720398,0.6539718508720398,0.6539718508720398,0.6539718508720398
Managerial responsibility stress,0.7134113311767578,0.7134113311767578,0.7134113311767578,0.7134113311767578
Meaning,0.6302321553230286,0.6302321553230286,0.6302321553230286,0.6302321553230286
Meeting effectiveness,0.6563605070114136,0.6563605070114136,0.6563605070114136,0.6563605070114136
Mental fatigue,0.8521970510482788,0.8521970510482788,0.8521970510482788,0.8521970510482788
Needs-supplies job fit,0.7808180451393127,0.7808180451393127,0.7808180451393127,0.7808180451393127
Negative effort-reward imbalance,0.5620551109313965,0.5620551109313965,0.5620551109313965,0.5620551109313965
Normative commitment,0.8118823766708374,0.8118823766708374,0.8118823766708374,0.8118823766708374
Organizational politics,0.4538758397102356,0.4538758397102356,0.4538758397102356,0.4538758397102356
Organizational reputation,0.5180105566978455,0.5180105566978455,0.5180105566978455,0.5180105566978455
Ostracism,0.7921477556228638,0.7921477556228638,0.7921477556228638,0.7921477556228638
Perceived Leader effectiveness,0.6540631055831909,0.6540631055831909,0.6540631055831909,0.6540631055831909
