,mean_focal,min_focal,max_focal,median_focal
Abusive supervision - active-aggressive,0.9102755784988403,0.9102755784988403,0.9102755784988403,0.9102755784988403
Affective commitment,0.8636518120765686,0.8636518120765686,0.8636518120765686,0.8636518120765686
Authoritarian leadership,0.8830705881118774,0.8830705881118774,0.8830705881118774,0.8830705881118774
Autonomy climate,0.889528751373291,0.889528751373291,0.889528751373291,0.889528751373291
Bureaucracy,0.896962583065033,0.896962583065033,0.896962583065033,0.896962583065033
Career satisfaction,0.8051120042800903,0.8051120042800903,0.8051120042800903,0.8051120042800903
Climate for civility,0.8800144791603088,0.8800144791603088,0.8800144791603088,0.8800144791603088
Cognitive demands,0.8867403268814087,0.8867403268814087,0.8867403268814087,0.8867403268814087
Competitive goals,0.9134069085121155,0.9134069085121155,0.9134069085121155,0.9134069085121155
Competitive orientation,0.8714721202850342,0.8714721202850342,0.8714721202850342,0.8714721202850342
Continuance commitment - high sacrifices,0.8255308866500854,0.8255308866500854,0.8255308866500854,0.8255308866500854
Continuance commitment -low alternatives,0.8499311804771423,0.8499311804771423,0.8499311804771423,0.8499311804771423
Cooperative goals,0.8884722590446472,0.8884722590446472,0.8884722590446472,0.8884722590446472
Cooperative orientation,0.9033969640731812,0.9033969640731812,0.9033969640731812,0.9033969640731812
Coworker trust,0.8905889987945557,0.8905889987945557,0.8905889987945557,0.8905889987945557
Daily work hassles,0.8793123960494995,0.8793123960494995,0.8793123960494995,0.8793123960494995
Deep acting,0.8567591905593872,0.8567591905593872,0.8567591905593872,0.8567591905593872
Demands-abilities job fit,0.8648502826690674,0.8648502826690674,0.8648502826690674,0.8648502826690674
Distributive justice,0.8973326683044434,0.8973326683044434,0.8973326683044434,0.8973326683044434
Efficiency climate,0.885746955871582,0.885746955871582,0.885746955871582,0.885746955871582
Emotional demands,0.8439984321594238,0.8439984321594238,0.8439984321594238,0.8439984321594238
Emotional fatigue,0.9389351010322571,0.9389351010322571,0.9389351010322571,0.9389351010322571
Extrinsic motivation,0.8463342189788818,0.8463342189788818,0.8463342189788818,0.8463342189788818
Face-time orientation,0.8132345080375671,0.8132345080375671,0.8132345080375671,0.8132345080375671
Family authenticity,0.8813499212265015,0.8813499212265015,0.8813499212265015,0.8813499212265015
Family motivation,0.8758242130279541,0.8758242130279541,0.8758242130279541,0.8758242130279541
Formalization climate,0.864594578742981,0.864594578742981,0.864594578742981,0.864594578742981
Goal focused leadership,0.8600479364395142,0.8600479364395142,0.8600479364395142,0.8600479364395142
Informational justice,0.8290526866912842,0.8290526866912842,0.8290526866912842,0.8290526866912842
Innovation climate,0.8802390098571777,0.8802390098571777,0.8802390098571777,0.8802390098571777
Interpersonal justice,0.8815349340438843,0.8815349340438843,0.8815349340438843,0.8815349340438843
Intrinsic motivation,0.8670563697814941,0.8670563697814941,0.8670563697814941,0.8670563697814941
Intuitive decision-making style,0.9292910099029541,0.9292910099029541,0.9292910099029541,0.9292910099029541
Job insecurity,0.797842264175415,0.797842264175415,0.797842264175415,0.797842264175415
Job self-efficacy,0.8634863495826721,0.8634863495826721,0.8634863495826721,0.8634863495826721
Leader avoidant conflict behaviors,0.8367389440536499,0.8367389440536499,0.8367389440536499,0.8367389440536499
Leader collaborative conflict behaviors,0.9111592769622803,0.9111592769622803,0.9111592769622803,0.9111592769622803
Leader dominating conflict behaviors,0.8912307024002075,0.8912307024002075,0.8912307024002075,0.8912307024002075
Leadership self-identity,0.863067090511322,0.863067090511322,0.863067090511322,0.863067090511322
Learning goal orientation,0.8826407790184021,0.8826407790184021,0.8826407790184021,0.8826407790184021
Loneliness,0.8749525547027588,0.8749525547027588,0.8749525547027588,0.8749525547027588
Managerial responsibility stress,0.9125784635543823,0.9125784635543823,0.9125784635543823,0.9125784635543823
Meaning,0.8307908773422241,0.8307908773422241,0.8307908773422241,0.8307908773422241
Meeting effectiveness,0.8621771335601807,0.8621771335601807,0.8621771335601807,0.8621771335601807
Mental fatigue,0.9060750603675842,0.9060750603675842,0.9060750603675842,0.9060750603675842
Needs-supplies job fit,0.8826623558998108,0.8826623558998108,0.8826623558998108,0.8826623558998108
Negative effort-reward imbalance,0.8152590990066528,0.8152590990066528,0.8152590990066528,0.8152590990066528
Normative commitment,0.8600101470947266,0.8600101470947266,0.8600101470947266,0.8600101470947266
Organizational politics,0.841740071773529,0.841740071773529,0.841740071773529,0.841740071773529
Organizational reputation,0.8479045033454895,0.8479045033454895,0.8479045033454895,0.8479045033454895
Ostracism,0.8691691160202026,0.8691691160202026,0.8691691160202026,0.8691691160202026
Perceived Leader effectiveness,0.894196093082428,0.894196093082428,0.894196093082428,0.894196093082428
Perceived contract breach,0.8516879677772522,0.8516879677772522,0.8516879677772522,0.8516879677772522
Perceived organizational support,0.8473848700523376,0.8473848700523376,0.8473848700523376,0.8473848700523376
Perceived overqualification,0.90090012550354,0.90090012550354,0.90090012550354,0.90090012550354
Performance goal orientation,0.8572424650192261,0.8572424650192261,0.8572424650192261,0.8572424650192261
Person-organization fit,0.8357055187225342,0.8357055187225342,0.8357055187225342,0.8357055187225342
Perspective-taking,0.8805661797523499,0.8805661797523499,0.8805661797523499,0.8805661797523499
Pessimism of organizational change,0.8301087617874146,0.8301087617874146,0.8301087617874146,0.8301087617874146
Physical fatigue,0.8913090825080872,0.8913090825080872,0.8913090825080872,0.8913090825080872
Preference for group work,0.8771642446517944,0.8771642446517944,0.8771642446517944,0.8771642446517944
Procedural justice,0.9030537605285645,0.9030537605285645,0.9030537605285645,0.9030537605285645
Prosocial identity,0.8130629062652588,0.8130629062652588,0.8130629062652588,0.8130629062652588
Prosocial motivation,0.8955470323562622,0.8955470323562622,0.8955470323562622,0.8955470323562622
Quality of group experience,0.8375129699707031,0.8375129699707031,0.8375129699707031,0.8375129699707031
Quantitative workload,0.7921126484870911,0.7921126484870911,0.7921126484870911,0.7921126484870911
Rational decision-making style,0.8868383169174194,0.8868383169174194,0.8868383169174194,0.8868383169174194
Relationship conflict,0.8648189902305603,0.8648189902305603,0.8648189902305603,0.8648189902305603
Resources,0.8572824001312256,0.8572824001312256,0.8572824001312256,0.8572824001312256
Role conflict,0.8555865287780762,0.8555865287780762,0.8555865287780762,0.8555865287780762
Rumination (negative),0.8581510782241821,0.8581510782241821,0.8581510782241821,0.8581510782241821
Self-initiated work breaks,0.8567589521408081,0.8567589521408081,0.8567589521408081,0.8567589521408081
Subjective monotony,0.8306726813316345,0.8306726813316345,0.8306726813316345,0.8306726813316345
Subjective stress,0.8409485816955566,0.8409485816955566,0.8409485816955566,0.8409485816955566
Supervisor competence,0.8820404410362244,0.8820404410362244,0.8820404410362244,0.8820404410362244
Supervisor warmth,0.9172800779342651,0.9172800779342651,0.9172800779342651,0.9172800779342651
Surface acting,0.8703207969665527,0.8703207969665527,0.8703207969665527,0.8703207969665527
Task conflict,0.8454563021659851,0.8454563021659851,0.8454563021659851,0.8454563021659851
Task interdependence,0.8237195014953613,0.8237195014953613,0.8237195014953613,0.8237195014953613
Team self-management,0.8154610395431519,0.8154610395431519,0.8154610395431519,0.8154610395431519
Team workload sharing,0.856463611125946,0.856463611125946,0.856463611125946,0.856463611125946
Time pressure,0.8469882011413574,0.8469882011413574,0.8469882011413574,0.8469882011413574
Training climate,0.8687615990638733,0.8687615990638733,0.8687615990638733,0.8687615990638733
Trust in supervisor,0.9054176807403564,0.9054176807403564,0.9054176807403564,0.9054176807403564
Unnecessary illegitimate tasks,0.9282682538032532,0.9282682538032532,0.9282682538032532,0.9282682538032532
Unreasonable illegitimate tasks,0.9095107316970825,0.9095107316970825,0.9095107316970825,0.9095107316970825
Welfare climate,0.8565530776977539,0.8565530776977539,0.8565530776977539,0.8565530776977539
Work authenticity,0.8896525502204895,0.8896525502204895,0.8896525502204895,0.8896525502204895
Work frustration,0.8674997091293335,0.8674997091293335,0.8674997091293335,0.8674997091293335
Work hypercompetitive,0.8945189118385315,0.8945189118385315,0.8945189118385315,0.8945189118385315
Work pressure,0.860304594039917,0.860304594039917,0.860304594039917,0.860304594039917
