,mean_focal,min_focal,max_focal,median_focal
Abusive supervision - active-aggressive,0.9888456463813782,0.9888456463813782,0.9888456463813782,0.9888456463813782
Affective commitment,0.988345742225647,0.988345742225647,0.988345742225647,0.988345742225647
Authoritarian leadership,0.9899424314498901,0.9899424314498901,0.9899424314498901,0.9899424314498901
Autonomy climate,0.9923682808876038,0.9923682808876038,0.9923682808876038,0.9923682808876038
Bureaucracy,0.989934504032135,0.989934504032135,0.989934504032135,0.989934504032135
Career satisfaction,0.981355607509613,0.981355607509613,0.981355607509613,0.981355607509613
Climate for civility,0.9868109822273254,0.9868109822273254,0.9868109822273254,0.9868109822273254
Cognitive demands,0.9879748821258545,0.9879748821258545,0.9879748821258545,0.9879748821258545
Competitive goals,0.9909131526947021,0.9909131526947021,0.9909131526947021,0.9909131526947021
Competitive orientation,0.982069194316864,0.982069194316864,0.982069194316864,0.982069194316864
Continuance commitment - high sacrifices,0.9839746356010437,0.9839746356010437,0.9839746356010437,0.9839746356010437
Continuance commitment -low alternatives,0.9862534403800964,0.9862534403800964,0.9862534403800964,0.9862534403800964
Cooperative goals,0.9883309006690979,0.9883309006690979,0.9883309006690979,0.9883309006690979
Cooperative orientation,0.9895533323287964,0.9895533323287964,0.9895533323287964,0.9895533323287964
Coworker trust,0.9814419150352478,0.9814419150352478,0.9814419150352478,0.9814419150352478
Daily work hassles,0.9896509647369385,0.9896509647369385,0.9896509647369385,0.9896509647369385
Deep acting,0.9693887829780579,0.9693887829780579,0.9693887829780579,0.9693887829780579
Demands-abilities job fit,0.9869150519371033,0.9869150519371033,0.9869150519371033,0.9869150519371033
Distributive justice,0.9898333549499512,0.9898333549499512,0.9898333549499512,0.9898333549499512
Efficiency climate,0.9921144247055054,0.9921144247055054,0.9921144247055054,0.9921144247055054
Emotional demands,0.9800788760185242,0.9800788760185242,0.9800788760185242,0.9800788760185242
Emotional fatigue,0.9902792572975159,0.9902792572975159,0.9902792572975159,0.9902792572975159
Extrinsic motivation,0.9840960502624512,0.9840960502624512,0.9840960502624512,0.9840960502624512
Face-time orientation,0.9802950024604797,0.9802950024604797,0.9802950024604797,0.9802950024604797
Family authenticity,0.9912286996841431,0.9912286996841431,0.9912286996841431,0.9912286996841431
Family motivation,0.9891123175621033,0.9891123175621033,0.9891123175621033,0.9891123175621033
Formalization climate,0.9922702312469482,0.9922702312469482,0.9922702312469482,0.9922702312469482
Goal focused leadership,0.9756258726119995,0.9756258726119995,0.9756258726119995,0.9756258726119995
Informational justice,0.9887503981590271,0.9887503981590271,0.9887503981590271,0.9887503981590271
Innovation climate,0.992380678653717,0.992380678653717,0.992380678653717,0.992380678653717
Interpersonal justice,0.9886437058448792,0.9886437058448792,0.9886437058448792,0.9886437058448792
