,mean_focal,min_focal,max_focal,median_focal
Abusive supervision - active-aggressive,0.017870035022497177,0.017870035022497177,0.017870035022497177,0.017870035022497177
Affective commitment,0.008195672184228897,0.008195672184228897,0.008195672184228897,0.008195672184228897
Authoritarian leadership,0.006822019349783659,0.006822019349783659,0.006822019349783659,0.006822019349783659
Autonomy climate,0.010439826175570488,0.010439826175570488,0.010439826175570488,0.010439826175570488
Bureaucracy,0.006908033043146133,0.006908033043146133,0.006908033043146133,0.006908033043146133
Career satisfaction,0.01211949996650219,0.01211949996650219,0.01211949996650219,0.01211949996650219
Climate for civility,0.006617625709623098,0.006617625709623098,0.006617625709623098,0.006617625709623098
Cognitive demands,0.013023662380874157,0.013023662380874157,0.013023662380874157,0.013023662380874157
Competitive goals,0.019083663821220398,0.019083663821220398,0.019083663821220398,0.019083663821220398
Competitive orientation,0.009770612232387066,0.009770612232387066,0.009770612232387066,0.009770612232387066
Continuance commitment - high sacrifices,0.006335780024528503,0.006335780024528503,0.006335780024528503,0.006335780024528503
Continuance commitment -low alternatives,0.006768426392227411,0.006768426392227411,0.006768426392227411,0.006768426392227411
Cooperative goals,0.025482280179858208,0.025482280179858208,0.025482280179858208,0.025482280179858208
Cooperative orientation,0.0053672646172344685,0.0053672646172344685,0.0053672646172344685,0.0053672646172344685
Coworker trust,0.028248298913240433,0.028248298913240433,0.028248298913240433,0.028248298913240433
Daily work hassles,0.021313253790140152,0.021313253790140152,0.021313253790140152,0.021313253790140152
Deep acting,0.044214725494384766,0.044214725494384766,0.044214725494384766,0.044214725494384766
Demands-abilities job fit,0.005552677437663078,0.005552677437663078,0.005552677437663078,0.005552677437663078
Distributive justice,0.01593780890107155,0.01593780890107155,0.01593780890107155,0.01593780890107155
Efficiency climate,0.007797506637871265,0.007797506637871265,0.007797506637871265,0.007797506637871265
Emotional demands,0.018648989498615265,0.018648989498615265,0.018648989498615265,0.018648989498615265
Emotional fatigue,0.012539703398942947,0.012539703398942947,0.012539703398942947,0.012539703398942947
Extrinsic motivation,0.007412076462060213,0.007412076462060213,0.007412076462060213,0.007412076462060213
Face-time orientation,0.011087477207183838,0.011087477207183838,0.011087477207183838,0.011087477207183838
Family authenticity,0.026518771424889565,0.026518771424889565,0.026518771424889565,0.026518771424889565
Family motivation,0.008741949684917927,0.008741949684917927,0.008741949684917927,0.008741949684917927
Formalization climate,0.0063677760772407055,0.0063677760772407055,0.0063677760772407055,0.0063677760772407055
Goal focused leadership,0.00841413252055645,0.00841413252055645,0.00841413252055645,0.00841413252055645
Informational justice,0.014452829025685787,0.014452829025685787,0.014452829025685787,0.014452829025685787
Innovation climate,0.007813893258571625,0.007813893258571625,0.007813893258571625,0.007813893258571625
Interpersonal justice,0.01129893772304058,0.01129893772304058,0.01129893772304058,0.01129893772304058
Intrinsic motivation,0.008520870469510555,0.008520870469510555,0.008520870469510555,0.008520870469510555
Intuitive decision-making style,0.008151513524353504,0.008151513524353504,0.008151513524353504,0.008151513524353504
Job insecurity,0.027203893288969994,0.027203893288969994,0.027203893288969994,0.027203893288969994
Job self-efficacy,0.021959828212857246,0.021959828212857246,0.021959828212857246,0.021959828212857246
Leader avoidant conflict behaviors,0.012596672400832176,0.012596672400832176,0.012596672400832176,0.012596672400832176
Leader collaborative conflict behaviors,0.005721482913941145,0.005721482913941145,0.005721482913941145,0.005721482913941145
Leader dominating conflict behaviors,0.006399867590516806,0.006399867590516806,0.006399867590516806,0.006399867590516806
Leadership self-identity,0.09485680609941483,0.09485680609941483,0.09485680609941483,0.09485680609941483
Learning goal orientation,0.009494885802268982,0.009494885802268982,0.009494885802268982,0.009494885802268982
Loneliness,0.012060531415045261,0.012060531415045261,0.012060531415045261,0.012060531415045261
Managerial responsibility stress,0.007219130173325539,0.007219130173325539,0.007219130173325539,0.007219130173325539
Meaning,0.008395909331738949,0.008395909331738949,0.008395909331738949,0.008395909331738949
Meeting effectiveness,0.006156605202704668,0.006156605202704668,0.006156605202704668,0.006156605202704668
Mental fatigue,0.010825201869010925,0.010825201869010925,0.010825201869010925,0.010825201869010925
Needs-supplies job fit,0.011209968477487564,0.011209968477487564,0.011209968477487564,0.011209968477487564
Negative effort-reward imbalance,0.02857280522584915,0.02857280522584915,0.02857280522584915,0.02857280522584915
Normative commitment,0.022034425288438797,0.022034425288438797,0.022034425288438797,0.022034425288438797
Organizational politics,0.05105907469987869,0.05105907469987869,0.05105907469987869,0.05105907469987869
Organizational reputation,0.016626110300421715,0.016626110300421715,0.016626110300421715,0.016626110300421715
Ostracism,0.014200113713741302,0.014200113713741302,0.014200113713741302,0.014200113713741302
Perceived Leader effectiveness,0.0034510339610278606,0.0034510339610278606,0.0034510339610278606,0.0034510339610278606
Perceived contract breach,0.0049201566725969315,0.0049201566725969315,0.0049201566725969315,0.0049201566725969315
Perceived organizational support,0.007067836821079254,0.007067836821079254,0.007067836821079254,0.007067836821079254
Perceived overqualification,0.0063144490122795105,0.0063144490122795105,0.0063144490122795105,0.0063144490122795105
Performance goal orientation,0.0047836704179644585,0.0047836704179644585,0.0047836704179644585,0.0047836704179644585
Person-organization fit,0.010123539716005325,0.010123539716005325,0.010123539716005325,0.010123539716005325
Perspective-taking,0.021678995341062546,0.021678995341062546,0.021678995341062546,0.021678995341062546
Pessimism of organizational change,0.008442598395049572,0.008442598395049572,0.008442598395049572,0.008442598395049572
Physical fatigue,0.014216834679245949,0.014216834679245949,0.014216834679245949,0.014216834679245949
Preference for group work,0.010614060796797276,0.010614060796797276,0.010614060796797276,0.010614060796797276
Procedural justice,0.026978749781847,0.026978749781847,0.026978749781847,0.026978749781847
Prosocial identity,0.018580202013254166,0.018580202013254166,0.018580202013254166,0.018580202013254166
Prosocial motivation,0.006547494791448116,0.006547494791448116,0.006547494791448116,0.006547494791448116
Quality of group experience,0.031864769756793976,0.031864769756793976,0.031864769756793976,0.031864769756793976
Quantitative workload,0.0354391410946846,0.0354391410946846,0.0354391410946846,0.0354391410946846
Rational decision-making style,0.0041894069872796535,0.0041894069872796535,0.0041894069872796535,0.0041894069872796535
Relationship conflict,0.02911284752190113,0.02911284752190113,0.02911284752190113,0.02911284752190113
Resources,0.020699193701148033,0.020699193701148033,0.020699193701148033,0.020699193701148033
Role conflict,0.011471287347376347,0.011471287347376347,0.011471287347376347,0.011471287347376347
Rumination (negative),0.006662418134510517,0.006662418134510517,0.006662418134510517,0.006662418134510517
Self-initiated work breaks,0.049537818878889084,0.049537818878889084,0.049537818878889084,0.049537818878889084
Subjective monotony,0.017060957849025726,0.017060957849025726,0.017060957849025726,0.017060957849025726
Subjective stress,0.021547965705394745,0.021547965705394745,0.021547965705394745,0.021547965705394745
Supervisor competence,0.1659327745437622,0.1659327745437622,0.1659327745437622,0.1659327745437622
Supervisor warmth,0.03451923653483391,0.03451923653483391,0.03451923653483391,0.03451923653483391
Surface acting,0.007523765321820974,0.007523765321820974,0.007523765321820974,0.007523765321820974
Task conflict,0.011349472217261791,0.011349472217261791,0.011349472217261791,0.011349472217261791
Task interdependence,0.00570266880095005,0.00570266880095005,0.00570266880095005,0.00570266880095005
Team self-management,0.005480267573148012,0.005480267573148012,0.005480267573148012,0.005480267573148012
Team workload sharing,0.016483545303344727,0.016483545303344727,0.016483545303344727,0.016483545303344727
Time pressure,0.014044596813619137,0.014044596813619137,0.014044596813619137,0.014044596813619137
Training climate,0.01541632879525423,0.01541632879525423,0.01541632879525423,0.01541632879525423
Trust in supervisor,0.02247026562690735,0.02247026562690735,0.02247026562690735,0.02247026562690735
Unnecessary illegitimate tasks,0.016390599310398102,0.016390599310398102,0.016390599310398102,0.016390599310398102
Unreasonable illegitimate tasks,0.028234783560037613,0.028234783560037613,0.028234783560037613,0.028234783560037613
Welfare climate,0.015007784590125084,0.015007784590125084,0.015007784590125084,0.015007784590125084
Work authenticity,0.008658763021230698,0.008658763021230698,0.008658763021230698,0.008658763021230698
Work frustration,0.013678799383342266,0.013678799383342266,0.013678799383342266,0.013678799383342266
Work hypercompetitive,0.015538988634943962,0.015538988634943962,0.015538988634943962,0.015538988634943962
Work pressure,0.014371166005730629,0.014371166005730629,0.014371166005730629,0.014371166005730629
