,mean_focal,min_focal,max_focal,median_focal
Abusive supervision - active-aggressive,0.5671286582946777,0.5671286582946777,0.5671286582946777,0.5671286582946777
Affective commitment,0.32452091574668884,0.32452091574668884,0.32452091574668884,0.32452091574668884
Authoritarian leadership,0.27371135354042053,0.27371135354042053,0.27371135354042053,0.27371135354042053
Autonomy climate,0.33459964394569397,0.33459964394569397,0.33459964394569397,0.33459964394569397
Bureaucracy,0.5703961849212646,0.5703961849212646,0.5703961849212646,0.5703961849212646
Career satisfaction,0.10466329008340836,0.10466329008340836,0.10466329008340836,0.10466329008340836
Climate for civility,0.22256982326507568,0.22256982326507568,0.22256982326507568,0.22256982326507568
Cognitive demands,0.28294622898101807,0.28294622898101807,0.28294622898101807,0.28294622898101807
Competitive goals,0.38773277401924133,0.38773277401924133,0.38773277401924133,0.38773277401924133
Competitive orientation,0.30169370770454407,0.30169370770454407,0.30169370770454407,0.30169370770454407
Continuance commitment - high sacrifices,0.388346403837204,0.388346403837204,0.388346403837204,0.388346403837204
Continuance commitment -low alternatives,0.523060142993927,0.523060142993927,0.523060142993927,0.523060142993927
Cooperative goals,0.10353390872478485,0.10353390872478485,0.10353390872478485,0.10353390872478485
Cooperative orientation,0.6274983286857605,0.6274983286857605,0.6274983286857605,0.6274983286857605
Coworker trust,0.06831971555948257,0.06831971555948257,0.06831971555948257,0.06831971555948257
Daily work hassles,0.5213927626609802,0.5213927626609802,0.5213927626609802,0.5213927626609802
Deep acting,0.03218107670545578,0.03218107670545578,0.03218107670545578,0.03218107670545578
Demands-abilities job fit,0.5303237438201904,0.5303237438201904,0.5303237438201904,0.5303237438201904
Distributive justice,0.10393793135881424,0.10393793135881424,0.10393793135881424,0.10393793135881424
Efficiency climate,0.14756463468074799,0.14756463468074799,0.14756463468074799,0.14756463468074799
Emotional demands,0.3700065314769745,0.3700065314769745,0.3700065314769745,0.3700065314769745
Emotional fatigue,0.7519626617431641,0.7519626617431641,0.7519626617431641,0.7519626617431641
Extrinsic motivation,0.37335681915283203,0.37335681915283203,0.37335681915283203,0.37335681915283203
Face-time orientation,0.13334906101226807,0.13334906101226807,0.13334906101226807,0.13334906101226807
Family authenticity,0.06258975714445114,0.06258975714445114,0.06258975714445114,0.06258975714445114
Family motivation,0.3917999863624573,0.3917999863624573,0.3917999863624573,0.3917999863624573
Formalization climate,0.22526876628398895,0.22526876628398895,0.22526876628398895,0.22526876628398895
Goal focused leadership,0.023567385971546173,0.023567385971546173,0.023567385971546173,0.023567385971546173
Informational justice,0.19340300559997559,0.19340300559997559,0.19340300559997559,0.19340300559997559
Innovation climate,0.07130543142557144,0.07130543142557144,0.07130543142557144,0.07130543142557144
Interpersonal justice,0.059290945529937744,0.059290945529937744,0.059290945529937744,0.059290945529937744
Intrinsic motivation,0.4149777293205261,0.4149777293205261,0.4149777293205261,0.4149777293205261
Intuitive decision-making style,0.21913306415081024,0.21913306415081024,0.21913306415081024,0.21913306415081024
Job insecurity,0.04698767513036728,0.04698767513036728,0.04698767513036728,0.04698767513036728
Job self-efficacy,0.196237713098526,0.196237713098526,0.196237713098526,0.196237713098526
Leader avoidant conflict behaviors,0.14127342402935028,0.14127342402935028,0.14127342402935028,0.14127342402935028
Leader collaborative conflict behaviors,0.6119210720062256,0.6119210720062256,0.6119210720062256,0.6119210720062256
Leader dominating conflict behaviors,0.6937980055809021,0.6937980055809021,0.6937980055809021,0.6937980055809021
Leadership self-identity,0.0647738054394722,0.0647738054394722,0.0647738054394722,0.0647738054394722
Learning goal orientation,0.15589158236980438,0.15589158236980438,0.15589158236980438,0.15589158236980438
Loneliness,0.4577222168445587,0.4577222168445587,0.4577222168445587,0.4577222168445587
Managerial responsibility stress,0.6386159062385559,0.6386159062385559,0.6386159062385559,0.6386159062385559
Meaning,0.07925780862569809,0.07925780862569809,0.07925780862569809,0.07925780862569809
Meeting effectiveness,0.03417447581887245,0.03417447581887245,0.03417447581887245,0.03417447581887245
Mental fatigue,0.6723313331604004,0.6723313331604004,0.6723313331604004,0.6723313331604004
Needs-supplies job fit,0.2598535716533661,0.2598535716533661,0.2598535716533661,0.2598535716533661
Negative effort-reward imbalance,0.10295370221138,0.10295370221138,0.10295370221138,0.10295370221138
Normative commitment,0.09474919736385345,0.09474919736385345,0.09474919736385345,0.09474919736385345
Organizational politics,0.023820029571652412,0.023820029571652412,0.023820029571652412,0.023820029571652412
Organizational reputation,0.012747777625918388,0.012747777625918388,0.012747777625918388,0.012747777625918388
Ostracism,0.3755881190299988,0.3755881190299988,0.3755881190299988,0.3755881190299988
Perceived Leader effectiveness,0.4664520025253296,0.4664520025253296,0.4664520025253296,0.4664520025253296
Perceived contract breach,0.8376823663711548,0.8376823663711548,0.8376823663711548,0.8376823663711548
Perceived organizational support,0.16327933967113495,0.16327933967113495,0.16327933967113495,0.16327933967113495
Perceived overqualification,0.4258697032928467,0.4258697032928467,0.4258697032928467,0.4258697032928467
Performance goal orientation,0.26786160469055176,0.26786160469055176,0.26786160469055176,0.26786160469055176
Person-organization fit,0.11778045445680618,0.11778045445680618,0.11778045445680618,0.11778045445680618
Perspective-taking,0.3298833668231964,0.3298833668231964,0.3298833668231964,0.3298833668231964
Pessimism of organizational change,0.29657232761383057,0.29657232761383057,0.29657232761383057,0.29657232761383057
Physical fatigue,0.6091659665107727,0.6091659665107727,0.6091659665107727,0.6091659665107727
Preference for group work,0.2885441482067108,0.2885441482067108,0.2885441482067108,0.2885441482067108
Procedural justice,0.03615754842758179,0.03615754842758179,0.03615754842758179,0.03615754842758179
Prosocial identity,0.05980271100997925,0.05980271100997925,0.05980271100997925,0.05980271100997925
Prosocial motivation,0.15795111656188965,0.15795111656188965,0.15795111656188965,0.15795111656188965
Quality of group experience,0.20570914447307587,0.20570914447307587,0.20570914447307587,0.20570914447307587
Quantitative workload,0.03970189020037651,0.03970189020037651,0.03970189020037651,0.03970189020037651
Rational decision-making style,0.6054821610450745,0.6054821610450745,0.6054821610450745,0.6054821610450745
Relationship conflict,0.3822959363460541,0.3822959363460541,0.3822959363460541,0.3822959363460541
Resources,0.3205445110797882,0.3205445110797882,0.3205445110797882,0.3205445110797882
Role conflict,0.6860422492027283,0.6860422492027283,0.6860422492027283,0.6860422492027283
Rumination (negative),0.5767621994018555,0.5767621994018555,0.5767621994018555,0.5767621994018555
Self-initiated work breaks,0.265787810087204,0.265787810087204,0.265787810087204,0.265787810087204
Subjective monotony,0.4658130407333374,0.4658130407333374,0.4658130407333374,0.4658130407333374
Subjective stress,0.3457365334033966,0.3457365334033966,0.3457365334033966,0.3457365334033966
Supervisor competence,0.035166721791028976,0.035166721791028976,0.035166721791028976,0.035166721791028976
Supervisor warmth,0.16266195476055145,0.16266195476055145,0.16266195476055145,0.16266195476055145
Surface acting,0.13609638810157776,0.13609638810157776,0.13609638810157776,0.13609638810157776
Task conflict,0.07937461137771606,0.07937461137771606,0.07937461137771606,0.07937461137771606
Task interdependence,0.13776476681232452,0.13776476681232452,0.13776476681232452,0.13776476681232452
Team self-management,0.6621067523956299,0.6621067523956299,0.6621067523956299,0.6621067523956299
Team workload sharing,0.16879840195178986,0.16879840195178986,0.16879840195178986,0.16879840195178986
Time pressure,0.3757516145706177,0.3757516145706177,0.3757516145706177,0.3757516145706177
Training climate,0.1194901093840599,0.1194901093840599,0.1194901093840599,0.1194901093840599
Trust in supervisor,0.06533829867839813,0.06533829867839813,0.06533829867839813,0.06533829867839813
Unnecessary illegitimate tasks,0.47115272283554077,0.47115272283554077,0.47115272283554077,0.47115272283554077
Unreasonable illegitimate tasks,0.34414127469062805,0.34414127469062805,0.34414127469062805,0.34414127469062805
Welfare climate,0.05551540479063988,0.05551540479063988,0.05551540479063988,0.05551540479063988
Work authenticity,0.11359907686710358,0.11359907686710358,0.11359907686710358,0.11359907686710358
Work frustration,0.28242334723472595,0.28242334723472595,0.28242334723472595,0.28242334723472595
Work hypercompetitive,0.18353205919265747,0.18353205919265747,0.18353205919265747,0.18353205919265747
Work pressure,0.2987951934337616,0.2987951934337616,0.2987951934337616,0.2987951934337616
