,mean_focal,min_focal,max_focal,median_focal
Abusive supervision - active-aggressive,0.4150013327598572,0.4150013327598572,0.4150013327598572,0.4150013327598572
Affective commitment,0.6672834157943726,0.6672834157943726,0.6672834157943726,0.6672834157943726
Authoritarian leadership,0.7194666862487793,0.7194666862487793,0.7194666862487793,0.7194666862487793
Autonomy climate,0.6549605131149292,0.6549605131149292,0.6549605131149292,0.6549605131149292
Bureaucracy,0.4226957857608795,0.4226957857608795,0.4226957857608795,0.4226957857608795
Career satisfaction,0.8832172155380249,0.8832172155380249,0.8832172155380249,0.8832172155380249
Climate for civility,0.7708125710487366,0.7708125710487366,0.7708125710487366,0.7708125710487366
Cognitive demands,0.7040300965309143,0.7040300965309143,0.7040300965309143,0.7040300965309143
Competitive goals,0.5931835770606995,0.5931835770606995,0.5931835770606995,0.5931835770606995
Competitive orientation,0.6885356903076172,0.6885356903076172,0.6885356903076172,0.6885356903076172
Continuance commitment - high sacrifices,0.6053178310394287,0.6053178310394287,0.6053178310394287,0.6053178310394287
Continuance commitment -low alternatives,0.47017142176628113,0.47017142176628113,0.47017142176628113,0.47017142176628113
Cooperative goals,0.8709838390350342,0.8709838390350342,0.8709838390350342,0.8709838390350342
Cooperative orientation,0.3671344518661499,0.3671344518661499,0.3671344518661499,0.3671344518661499
Coworker trust,0.9034319519996643,0.9034319519996643,0.9034319519996643,0.9034319519996643
Daily work hassles,0.45729395747184753,0.45729395747184753,0.45729395747184753,0.45729395747184753
Deep acting,0.9236041307449341,0.9236041307449341,0.9236041307449341,0.9236041307449341
Demands-abilities job fit,0.46412354707717896,0.46412354707717896,0.46412354707717896,0.46412354707717896
Distributive justice,0.8801242113113403,0.8801242113113403,0.8801242113113403,0.8801242113113403
Efficiency climate,0.8446378707885742,0.8446378707885742,0.8446378707885742,0.8446378707885742
Emotional demands,0.6113445162773132,0.6113445162773132,0.6113445162773132,0.6113445162773132
Emotional fatigue,0.2354976236820221,0.2354976236820221,0.2354976236820221,0.2354976236820221
Extrinsic motivation,0.6192310452461243,0.6192310452461243,0.6192310452461243,0.6192310452461243
Face-time orientation,0.8555634617805481,0.8555634617805481,0.8555634617805481,0.8555634617805481
Family authenticity,0.9108915328979492,0.9108915328979492,0.9108915328979492,0.9108915328979492
Family motivation,0.5994580388069153,0.5994580388069153,0.5994580388069153,0.5994580388069153
Formalization climate,0.7683634757995605,0.7683634757995605,0.7683634757995605,0.7683634757995605
