,mean_focal,min_focal,max_focal,median_focal
Abusive supervision - active-aggressive,0.9989086389541626,0.9989086389541626,0.9989086389541626,0.9989086389541626
Affective commitment,0.9924087524414062,0.9924087524414062,0.9924087524414062,0.9924087524414062
Authoritarian leadership,0.9386435747146606,0.9386435747146606,0.9386435747146606,0.9386435747146606
Autonomy climate,0.9994344115257263,0.9994344115257263,0.9994344115257263,0.9994344115257263
Bureaucracy,0.910931408405304,0.910931408405304,0.910931408405304,0.910931408405304
Career satisfaction,0.9893849492073059,0.9893849492073059,0.9893849492073059,0.9893849492073059
Climate for civility,0.6402557492256165,0.6402557492256165,0.6402557492256165,0.6402557492256165
Cognitive demands,0.9893633723258972,0.9893633723258972,0.9893633723258972,0.9893633723258972
Competitive goals,0.9905320405960083,0.9905320405960083,0.9905320405960083,0.9905320405960083
Competitive orientation,0.9841083884239197,0.9841083884239197,0.9841083884239197,0.9841083884239197
Continuance commitment - high sacrifices,0.1542721539735794,0.1542721539735794,0.1542721539735794,0.1542721539735794
Continuance commitment -low alternatives,0.06172199547290802,0.06172199547290802,0.06172199547290802,0.06172199547290802
Cooperative goals,0.9731476902961731,0.9731476902961731,0.9731476902961731,0.9731476902961731
Cooperative orientation,0.9991808533668518,0.9991808533668518,0.9991808533668518,0.9991808533668518
Coworker trust,0.9161378741264343,0.9161378741264343,0.9161378741264343,0.9161378741264343
Daily work hassles,0.993378758430481,0.993378758430481,0.993378758430481,0.993378758430481
Deep acting,0.004567030817270279,0.004567030817270279,0.004567030817270279,0.004567030817270279
Demands-abilities job fit,0.9973863959312439,0.9973863959312439,0.9973863959312439,0.9973863959312439
Distributive justice,0.9367660880088806,0.9367660880088806,0.9367660880088806,0.9367660880088806
Efficiency climate,0.9919580221176147,0.9919580221176147,0.9919580221176147,0.9919580221176147
Emotional demands,0.9989314675331116,0.9989314675331116,0.9989314675331116,0.9989314675331116
Emotional fatigue,0.9996799230575562,0.9996799230575562,0.9996799230575562,0.9996799230575562
Extrinsic motivation,0.9909167885780334,0.9909167885780334,0.9909167885780334,0.9909167885780334
Face-time orientation,0.0302187018096447,0.0302187018096447,0.0302187018096447,0.0302187018096447
Family authenticity,0.9989235997200012,0.9989235997200012,0.9989235997200012,0.9989235997200012
Family motivation,0.8469304442405701,0.8469304442405701,0.8469304442405701,0.8469304442405701
Formalization climate,0.9099852442741394,0.9099852442741394,0.9099852442741394,0.9099852442741394
Goal focused leadership,0.639609158039093,0.639609158039093,0.639609158039093,0.639609158039093
Informational justice,0.23830130696296692,0.23830130696296692,0.23830130696296692,0.23830130696296692
Innovation climate,0.9933053851127625,0.9933053851127625,0.9933053851127625,0.9933053851127625
Interpersonal justice,0.9956848621368408,0.9956848621368408,0.9956848621368408,0.9956848621368408
Intrinsic motivation,0.9682844877243042,0.9682844877243042,0.9682844877243042,0.9682844877243042
Intuitive decision-making style,0.9995139837265015,0.9995139837265015,0.9995139837265015,0.9995139837265015
Job insecurity,0.0007581146201118827,0.0007581146201118827,0.0007581146201118827,0.0007581146201118827
Job self-efficacy,0.9988861680030823,0.9988861680030823,0.9988861680030823,0.9988861680030823
Leader avoidant conflict behaviors,0.06639044731855392,0.06639044731855392,0.06639044731855392,0.06639044731855392
Leader collaborative conflict behaviors,0.92304927110672,0.92304927110672,0.92304927110672,0.92304927110672
Leader dominating conflict behaviors,0.34645876288414,0.34645876288414,0.34645876288414,0.34645876288414
Leadership self-identity,0.5873839259147644,0.5873839259147644,0.5873839259147644,0.5873839259147644
Learning goal orientation,0.9876235723495483,0.9876235723495483,0.9876235723495483,0.9876235723495483
Loneliness,0.999398946762085,0.999398946762085,0.999398946762085,0.999398946762085
Managerial responsibility stress,0.9990983009338379,0.9990983009338379,0.9990983009338379,0.9990983009338379
Meaning,0.001208890462294221,0.001208890462294221,0.001208890462294221,0.001208890462294221
Meeting effectiveness,0.9866689443588257,0.9866689443588257,0.9866689443588257,0.9866689443588257
Mental fatigue,0.9961651563644409,0.9961651563644409,0.9961651563644409,0.9961651563644409
Needs-supplies job fit,0.9695472121238708,0.9695472121238708,0.9695472121238708,0.9695472121238708
Negative effort-reward imbalance,0.00012937224528286606,0.00012937224528286606,0.00012937224528286606,0.00012937224528286606
Normative commitment,0.9958509206771851,0.9958509206771851,0.9958509206771851,0.9958509206771851
Organizational politics,0.8892973065376282,0.8892973065376282,0.8892973065376282,0.8892973065376282
Organizational reputation,0.9701105356216431,0.9701105356216431,0.9701105356216431,0.9701105356216431
Ostracism,0.9993892908096313,0.9993892908096313,0.9993892908096313,0.9993892908096313
Perceived Leader effectiveness,0.5045758485794067,0.5045758485794067,0.5045758485794067,0.5045758485794067
Perceived contract breach,0.009706271812319756,0.009706271812319756,0.009706271812319756,0.009706271812319756
Perceived organizational support,0.5644991993904114,0.5644991993904114,0.5644991993904114,0.5644991993904114
Perceived overqualification,0.9567733407020569,0.9567733407020569,0.9567733407020569,0.9567733407020569
Performance goal orientation,0.14894060790538788,0.14894060790538788,0.14894060790538788,0.14894060790538788
Person-organization fit,0.9114965200424194,0.9114965200424194,0.9114965200424194,0.9114965200424194
Perspective-taking,0.948599636554718,0.948599636554718,0.948599636554718,0.948599636554718
Pessimism of organizational change,0.9062632322311401,0.9062632322311401,0.9062632322311401,0.9062632322311401
Physical fatigue,0.9962924122810364,0.9962924122810364,0.9962924122810364,0.9962924122810364
Preference for group work,0.7895362377166748,0.7895362377166748,0.7895362377166748,0.7895362377166748
Procedural justice,0.9697681665420532,0.9697681665420532,0.9697681665420532,0.9697681665420532
Prosocial identity,0.0066101583652198315,0.0066101583652198315,0.0066101583652198315,0.0066101583652198315
Prosocial motivation,0.9980545043945312,0.9980545043945312,0.9980545043945312,0.9980545043945312
Quality of group experience,4.527201599557884e-05,4.527201599557884e-05,4.527201599557884e-05,4.527201599557884e-05
Quantitative workload,0.0006121883634477854,0.0006121883634477854,0.0006121883634477854,0.0006121883634477854
Rational decision-making style,0.9979496598243713,0.9979496598243713,0.9979496598243713,0.9979496598243713
Relationship conflict,0.9948615431785583,0.9948615431785583,0.9948615431785583,0.9948615431785583
Resources,0.604529619216919,0.604529619216919,0.604529619216919,0.604529619216919
Role conflict,0.9408004879951477,0.9408004879951477,0.9408004879951477,0.9408004879951477
Rumination (negative),0.15585637092590332,0.15585637092590332,0.15585637092590332,0.15585637092590332
Self-initiated work breaks,0.9758027195930481,0.9758027195930481,0.9758027195930481,0.9758027195930481
Subjective monotony,0.014711725525557995,0.014711725525557995,0.014711725525557995,0.014711725525557995
Subjective stress,0.5672297477722168,0.5672297477722168,0.5672297477722168,0.5672297477722168
Supervisor competence,0.9990004897117615,0.9990004897117615,0.9990004897117615,0.9990004897117615
Supervisor warmth,0.9990850687026978,0.9990850687026978,0.9990850687026978,0.9990850687026978
Surface acting,0.6575839519500732,0.6575839519500732,0.6575839519500732,0.6575839519500732
Task conflict,0.00019129045540466905,0.00019129045540466905,0.00019129045540466905,0.00019129045540466905
Task interdependence,0.0010227042948827147,0.0010227042948827147,0.0010227042948827147,0.0010227042948827147
Team self-management,0.09751351922750473,0.09751351922750473,0.09751351922750473,0.09751351922750473
Team workload sharing,0.9794057011604309,0.9794057011604309,0.9794057011604309,0.9794057011604309
Time pressure,0.9762555956840515,0.9762555956840515,0.9762555956840515,0.9762555956840515
Training climate,0.8551015853881836,0.8551015853881836,0.8551015853881836,0.8551015853881836
Trust in supervisor,0.9864588379859924,0.9864588379859924,0.9864588379859924,0.9864588379859924
Unnecessary illegitimate tasks,0.9991328120231628,0.9991328120231628,0.9991328120231628,0.9991328120231628
Unreasonable illegitimate tasks,0.9627715349197388,0.9627715349197388,0.9627715349197388,0.9627715349197388
Welfare climate,0.9978244304656982,0.9978244304656982,0.9978244304656982,0.9978244304656982
Work authenticity,0.9989724159240723,0.9989724159240723,0.9989724159240723,0.9989724159240723
Work frustration,0.9995110034942627,0.9995110034942627,0.9995110034942627,0.9995110034942627
Work hypercompetitive,0.9986139535903931,0.9986139535903931,0.9986139535903931,0.9986139535903931
Work pressure,0.9858454465866089,0.9858454465866089,0.9858454465866089,0.9858454465866089
