,mean_focal,min_focal,max_focal,median_focal
Abusive supervision - active-aggressive,0.9509435892105103,0.9509435892105103,0.9509435892105103,0.9509435892105103
Affective commitment,0.7678412199020386,0.7678412199020386,0.7678412199020386,0.7678412199020386
Authoritarian leadership,0.9430182576179504,0.9430182576179504,0.9430182576179504,0.9430182576179504
Autonomy climate,0.9682989120483398,0.9682989120483398,0.9682989120483398,0.9682989120483398
Bureaucracy,0.9401476383209229,0.9401476383209229,0.9401476383209229,0.9401476383209229
Career satisfaction,0.6636600494384766,0.6636600494384766,0.6636600494384766,0.6636600494384766
Climate for civility,0.8828568458557129,0.8828568458557129,0.8828568458557129,0.8828568458557129
Cognitive demands,0.7491821050643921,0.7491821050643921,0.7491821050643921,0.7491821050643921
Competitive goals,0.9134809374809265,0.9134809374809265,0.9134809374809265,0.9134809374809265
Competitive orientation,0.9346858263015747,0.9346858263015747,0.9346858263015747,0.9346858263015747
Continuance commitment - high sacrifices,0.6478481292724609,0.6478481292724609,0.6478481292724609,0.6478481292724609
Continuance commitment -low alternatives,0.8036195635795593,0.8036195635795593,0.8036195635795593,0.8036195635795593
Cooperative goals,0.824932873249054,0.824932873249054,0.824932873249054,0.824932873249054
Cooperative orientation,0.9196778535842896,0.9196778535842896,0.9196778535842896,0.9196778535842896
Coworker trust,0.5141106247901917,0.5141106247901917,0.5141106247901917,0.5141106247901917
Daily work hassles,0.9301161170005798,0.9301161170005798,0.9301161170005798,0.9301161170005798
Deep acting,0.7368984818458557,0.7368984818458557,0.7368984818458557,0.7368984818458557
Demands-abilities job fit,0.9230654835700989,0.9230654835700989,0.9230654835700989,0.9230654835700989
Distributive justice,0.9041441082954407,0.9041441082954407,0.9041441082954407,0.9041441082954407
Efficiency climate,0.9017504453659058,0.9017504453659058,0.9017504453659058,0.9017504453659058
Emotional demands,0.8665825128555298,0.8665825128555298,0.8665825128555298,0.8665825128555298
Emotional fatigue,0.9717394709587097,0.9717394709587097,0.9717394709587097,0.9717394709587097
Extrinsic motivation,0.8050993084907532,0.8050993084907532,0.8050993084907532,0.8050993084907532
Face-time orientation,0.86845862865448,0.86845862865448,0.86845862865448,0.86845862865448
Family authenticity,0.9394622445106506,0.9394622445106506,0.9394622445106506,0.9394622445106506
Family motivation,0.8222393989562988,0.8222393989562988,0.8222393989562988,0.8222393989562988
Formalization climate,0.8792681694030762,0.8792681694030762,0.8792681694030762,0.8792681694030762
Goal focused leadership,0.9423805475234985,0.9423805475234985,0.9423805475234985,0.9423805475234985
Informational justice,0.8949640989303589,0.8949640989303589,0.8949640989303589,0.8949640989303589
Innovation climate,0.9141044020652771,0.9141044020652771,0.9141044020652771,0.9141044020652771
Interpersonal justice,0.9345947504043579,0.9345947504043579,0.9345947504043579,0.9345947504043579
Intrinsic motivation,0.7353247404098511,0.7353247404098511,0.7353247404098511,0.7353247404098511
Intuitive decision-making style,0.9088481068611145,0.9088481068611145,0.9088481068611145,0.9088481068611145
Job insecurity,0.7401336431503296,0.7401336431503296,0.7401336431503296,0.7401336431503296
Job self-efficacy,0.8438308238983154,0.8438308238983154,0.8438308238983154,0.8438308238983154
Leader avoidant conflict behaviors,0.8649463653564453,0.8649463653564453,0.8649463653564453,0.8649463653564453
Leader collaborative conflict behaviors,0.8570098876953125,0.8570098876953125,0.8570098876953125,0.8570098876953125
Leader dominating conflict behaviors,0.909218430519104,0.909218430519104,0.909218430519104,0.909218430519104
Leadership self-identity,0.5808161497116089,0.5808161497116089,0.5808161497116089,0.5808161497116089
Learning goal orientation,0.927243173122406,0.927243173122406,0.927243173122406,0.927243173122406
Loneliness,0.8157013654708862,0.8157013654708862,0.8157013654708862,0.8157013654708862
Managerial responsibility stress,0.9147366285324097,0.9147366285324097,0.9147366285324097,0.9147366285324097
Meaning,0.7872762680053711,0.7872762680053711,0.7872762680053711,0.7872762680053711
Meeting effectiveness,0.898323655128479,0.898323655128479,0.898323655128479,0.898323655128479
Mental fatigue,0.9579879641532898,0.9579879641532898,0.9579879641532898,0.9579879641532898
Needs-supplies job fit,0.8286130428314209,0.8286130428314209,0.8286130428314209,0.8286130428314209
Negative effort-reward imbalance,0.7097868919372559,0.7097868919372559,0.7097868919372559,0.7097868919372559
Normative commitment,0.5987123250961304,0.5987123250961304,0.5987123250961304,0.5987123250961304
Organizational politics,0.7399728894233704,0.7399728894233704,0.7399728894233704,0.7399728894233704
Organizational reputation,0.7955038547515869,0.7955038547515869,0.7955038547515869,0.7955038547515869
Ostracism,0.9142283797264099,0.9142283797264099,0.9142283797264099,0.9142283797264099
Perceived Leader effectiveness,0.8863496780395508,0.8863496780395508,0.8863496780395508,0.8863496780395508
Perceived contract breach,0.8085976839065552,0.8085976839065552,0.8085976839065552,0.8085976839065552
Perceived organizational support,0.801733136177063,0.801733136177063,0.801733136177063,0.801733136177063
Perceived overqualification,0.5964900255203247,0.5964900255203247,0.5964900255203247,0.5964900255203247
Performance goal orientation,0.8603740930557251,0.8603740930557251,0.8603740930557251,0.8603740930557251
Person-organization fit,0.6306577920913696,0.6306577920913696,0.6306577920913696,0.6306577920913696
Perspective-taking,0.9270390272140503,0.9270390272140503,0.9270390272140503,0.9270390272140503
Pessimism of organizational change,0.8469329476356506,0.8469329476356506,0.8469329476356506,0.8469329476356506
Physical fatigue,0.9599937200546265,0.9599937200546265,0.9599937200546265,0.9599937200546265
Preference for group work,0.8812413215637207,0.8812413215637207,0.8812413215637207,0.8812413215637207
Procedural justice,0.9375673532485962,0.9375673532485962,0.9375673532485962,0.9375673532485962
Prosocial identity,0.7617115378379822,0.7617115378379822,0.7617115378379822,0.7617115378379822
Prosocial motivation,0.9133075475692749,0.9133075475692749,0.9133075475692749,0.9133075475692749
Quality of group experience,0.8785942792892456,0.8785942792892456,0.8785942792892456,0.8785942792892456
Quantitative workload,0.764919638633728,0.764919638633728,0.764919638633728,0.764919638633728
Rational decision-making style,0.8658890128135681,0.8658890128135681,0.8658890128135681,0.8658890128135681
Relationship conflict,0.9290838241577148,0.9290838241577148,0.9290838241577148,0.9290838241577148
Resources,0.6369543671607971,0.6369543671607971,0.6369543671607971,0.6369543671607971
Role conflict,0.8893024921417236,0.8893024921417236,0.8893024921417236,0.8893024921417236
Rumination (negative),0.8508460521697998,0.8508460521697998,0.8508460521697998,0.8508460521697998
Self-initiated work breaks,0.8262096643447876,0.8262096643447876,0.8262096643447876,0.8262096643447876
Subjective monotony,0.735571026802063,0.735571026802063,0.735571026802063,0.735571026802063
Subjective stress,0.663957953453064,0.663957953453064,0.663957953453064,0.663957953453064
Supervisor competence,0.902367353439331,0.902367353439331,0.902367353439331,0.902367353439331
Supervisor warmth,0.8801529407501221,0.8801529407501221,0.8801529407501221,0.8801529407501221
Surface acting,0.7023057341575623,0.7023057341575623,0.7023057341575623,0.7023057341575623
Task conflict,0.867821216583252,0.867821216583252,0.867821216583252,0.867821216583252
Task interdependence,0.8782539367675781,0.8782539367675781,0.8782539367675781,0.8782539367675781
Team self-management,0.9051194787025452,0.9051194787025452,0.9051194787025452,0.9051194787025452
Team workload sharing,0.8929955363273621,0.8929955363273621,0.8929955363273621,0.8929955363273621
Time pressure,0.9203866720199585,0.9203866720199585,0.9203866720199585,0.9203866720199585
Training climate,0.871250331401825,0.871250331401825,0.871250331401825,0.871250331401825
Trust in supervisor,0.43291881680488586,0.43291881680488586,0.43291881680488586,0.43291881680488586
Unnecessary illegitimate tasks,0.9533824324607849,0.9533824324607849,0.9533824324607849,0.9533824324607849
Unreasonable illegitimate tasks,0.9015763998031616,0.9015763998031616,0.9015763998031616,0.9015763998031616
Welfare climate,0.9375412464141846,0.9375412464141846,0.9375412464141846,0.9375412464141846
Work authenticity,0.9419580101966858,0.9419580101966858,0.9419580101966858,0.9419580101966858
