,mean_focal,min_focal,max_focal,median_focal
Abusive supervision - active-aggressive,0.6386547411477127,0.6386547411477127,0.6386547411477127,0.6386547411477127
Affective commitment,0.8316538127596531,0.8316538127596531,0.8316538127596531,0.8316538127596531
Authoritarian leadership,0.6466705766060442,0.6466705766060442,0.6466705766060442,0.6466705766060442
Autonomy climate,0.46014321425718235,0.46014321425718235,0.46014321425718235,0.46014321425718235
Bureaucracy,0.7611346796883304,0.7611346796883304,0.7611346796883304,0.7611346796883304
Career satisfaction,0.8690388567646657,0.8690388567646657,0.8690388567646657,0.8690388567646657
Climate for civility,0.8459318170338588,0.8459318170338588,0.8459318170338588,0.8459318170338588
Cognitive demands,1.0179259189328111,1.0179259189328111,1.0179259189328111,1.0179259189328111
Competitive goals,0.7080524846599399,0.7080524846599399,0.7080524846599399,0.7080524846599399
Competitive orientation,0.6444961478832961,0.6444961478832961,0.6444961478832961,0.6444961478832961
Continuance commitment - high sacrifices,0.9323707618103048,0.9323707618103048,0.9323707618103048,0.9323707618103048
Continuance commitment -low alternatives,0.8647034558828758,0.8647034558828758,0.8647034558828758,0.8647034558828758
Cooperative goals,0.7911019793888799,0.7911019793888799,0.7911019793888799,0.7911019793888799
Cooperative orientation,0.5190431231332799,0.5190431231332799,0.5190431231332799,0.5190431231332799
Coworker trust,0.901559602863626,0.901559602863626,0.901559602863626,0.901559602863626
Daily work hassles,0.682936718266136,0.682936718266136,0.682936718266136,0.682936718266136
Deep acting,0.9166511916179302,0.9166511916179302,0.9166511916179302,0.9166511916179302
Demands-abilities job fit,0.6106711226865229,0.6106711226865229,0.6106711226865229,0.6106711226865229
Distributive justice,0.8073537903629008,0.8073537903629008,0.8073537903629008,0.8073537903629008
Efficiency climate,0.6315271438383638,0.6315271438383638,0.6315271438383638,0.6315271438383638
Emotional demands,0.8842899538645609,0.8842899538645609,0.8842899538645609,0.8842899538645609
Emotional fatigue,0.38184443578629346,0.38184443578629346,0.38184443578629346,0.38184443578629346
