,mean_focal,min_focal,max_focal,median_focal
Abusive supervision - active-aggressive,0.9165030717849731,0.9165030717849731,0.9165030717849731,0.9165030717849731
Affective commitment,0.7697231769561768,0.7697231769561768,0.7697231769561768,0.7697231769561768
Authoritarian leadership,0.9141139984130859,0.9141139984130859,0.9141139984130859,0.9141139984130859
Autonomy climate,0.9625928401947021,0.9625928401947021,0.9625928401947021,0.9625928401947021
Bureaucracy,0.9194694757461548,0.9194694757461548,0.9194694757461548,0.9194694757461548
Career satisfaction,0.7515227794647217,0.7515227794647217,0.7515227794647217,0.7515227794647217
Climate for civility,0.847620964050293,0.847620964050293,0.847620964050293,0.847620964050293
Cognitive demands,0.7166551351547241,0.7166551351547241,0.7166551351547241,0.7166551351547241
Competitive goals,0.9318050742149353,0.9318050742149353,0.9318050742149353,0.9318050742149353
Competitive orientation,0.9241527915000916,0.9241527915000916,0.9241527915000916,0.9241527915000916
Continuance commitment - high sacrifices,0.8139904141426086,0.8139904141426086,0.8139904141426086,0.8139904141426086
Continuance commitment -low alternatives,0.8355638980865479,0.8355638980865479,0.8355638980865479,0.8355638980865479
Cooperative goals,0.8354068994522095,0.8354068994522095,0.8354068994522095,0.8354068994522095
Cooperative orientation,0.9559669494628906,0.9559669494628906,0.9559669494628906,0.9559669494628906
Coworker trust,0.6985875368118286,0.6985875368118286,0.6985875368118286,0.6985875368118286
Daily work hassles,0.9108896255493164,0.9108896255493164,0.9108896255493164,0.9108896255493164
Deep acting,0.839604377746582,0.839604377746582,0.839604377746582,0.839604377746582
Demands-abilities job fit,0.9242194890975952,0.9242194890975952,0.9242194890975952,0.9242194890975952
Distributive justice,0.8396865129470825,0.8396865129470825,0.8396865129470825,0.8396865129470825
Efficiency climate,0.9228944778442383,0.9228944778442383,0.9228944778442383,0.9228944778442383
Emotional demands,0.7922781705856323,0.7922781705856323,0.7922781705856323,0.7922781705856323
Emotional fatigue,0.9696367979049683,0.9696367979049683,0.9696367979049683,0.9696367979049683
Extrinsic motivation,0.8890483379364014,0.8890483379364014,0.8890483379364014,0.8890483379364014
Face-time orientation,0.8651927709579468,0.8651927709579468,0.8651927709579468,0.8651927709579468
Family authenticity,0.9496392607688904,0.9496392607688904,0.9496392607688904,0.9496392607688904
Family motivation,0.895797610282898,0.895797610282898,0.895797610282898,0.895797610282898
Formalization climate,0.9106701612472534,0.9106701612472534,0.9106701612472534,0.9106701612472534
Goal focused leadership,0.8769848942756653,0.8769848942756653,0.8769848942756653,0.8769848942756653
Informational justice,0.865236759185791,0.865236759185791,0.865236759185791,0.865236759185791
Innovation climate,0.9242770075798035,0.9242770075798035,0.9242770075798035,0.9242770075798035
Interpersonal justice,0.8897446393966675,0.8897446393966675,0.8897446393966675,0.8897446393966675
Intrinsic motivation,0.8802506923675537,0.8802506923675537,0.8802506923675537,0.8802506923675537
Intuitive decision-making style,0.9237314462661743,0.9237314462661743,0.9237314462661743,0.9237314462661743
Job insecurity,0.8179162740707397,0.8179162740707397,0.8179162740707397,0.8179162740707397
Job self-efficacy,0.9181666374206543,0.9181666374206543,0.9181666374206543,0.9181666374206543
Leader avoidant conflict behaviors,0.827595055103302,0.827595055103302,0.827595055103302,0.827595055103302
Leader collaborative conflict behaviors,0.8891081213951111,0.8891081213951111,0.8891081213951111,0.8891081213951111
Leader dominating conflict behaviors,0.892949104309082,0.892949104309082,0.892949104309082,0.892949104309082
Leadership self-identity,0.7919965982437134,0.7919965982437134,0.7919965982437134,0.7919965982437134
Learning goal orientation,0.9146974086761475,0.9146974086761475,0.9146974086761475,0.9146974086761475
Loneliness,0.773790717124939,0.773790717124939,0.773790717124939,0.773790717124939
Managerial responsibility stress,0.9015371203422546,0.9015371203422546,0.9015371203422546,0.9015371203422546
Meaning,0.8121265172958374,0.8121265172958374,0.8121265172958374,0.8121265172958374
Meeting effectiveness,0.8747870922088623,0.8747870922088623,0.8747870922088623,0.8747870922088623
Mental fatigue,0.9401865005493164,0.9401865005493164,0.9401865005493164,0.9401865005493164
Needs-supplies job fit,0.8438330888748169,0.8438330888748169,0.8438330888748169,0.8438330888748169
Negative effort-reward imbalance,0.7966586947441101,0.7966586947441101,0.7966586947441101,0.7966586947441101
Normative commitment,0.8543316125869751,0.8543316125869751,0.8543316125869751,0.8543316125869751
Organizational politics,0.8736992478370667,0.8736992478370667,0.8736992478370667,0.8736992478370667
Organizational reputation,0.8485013246536255,0.8485013246536255,0.8485013246536255,0.8485013246536255
Ostracism,0.8797802925109863,0.8797802925109863,0.8797802925109863,0.8797802925109863
Perceived Leader effectiveness,0.8187575340270996,0.8187575340270996,0.8187575340270996,0.8187575340270996
Perceived contract breach,0.7946466207504272,0.7946466207504272,0.7946466207504272,0.7946466207504272
Perceived organizational support,0.8117029666900635,0.8117029666900635,0.8117029666900635,0.8117029666900635
Perceived overqualification,0.7435289621353149,0.7435289621353149,0.7435289621353149,0.7435289621353149
Performance goal orientation,0.829958975315094,0.829958975315094,0.829958975315094,0.829958975315094
Person-organization fit,0.7510615587234497,0.7510615587234497,0.7510615587234497,0.7510615587234497
Perspective-taking,0.9087926149368286,0.9087926149368286,0.9087926149368286,0.9087926149368286
Pessimism of organizational change,0.9178507924079895,0.9178507924079895,0.9178507924079895,0.9178507924079895
Physical fatigue,0.9418439865112305,0.9418439865112305,0.9418439865112305,0.9418439865112305
Preference for group work,0.8938831090927124,0.8938831090927124,0.8938831090927124,0.8938831090927124
Procedural justice,0.9151952266693115,0.9151952266693115,0.9151952266693115,0.9151952266693115
Prosocial identity,0.7319559454917908,0.7319559454917908,0.7319559454917908,0.7319559454917908
Prosocial motivation,0.9092027544975281,0.9092027544975281,0.9092027544975281,0.9092027544975281
Quality of group experience,0.8730254769325256,0.8730254769325256,0.8730254769325256,0.8730254769325256
Quantitative workload,0.7328727841377258,0.7328727841377258,0.7328727841377258,0.7328727841377258
Rational decision-making style,0.9144546985626221,0.9144546985626221,0.9144546985626221,0.9144546985626221
Relationship conflict,0.9088916182518005,0.9088916182518005,0.9088916182518005,0.9088916182518005
Resources,0.8859806060791016,0.8859806060791016,0.8859806060791016,0.8859806060791016
Role conflict,0.872922956943512,0.872922956943512,0.872922956943512,0.872922956943512
Rumination (negative),0.7896575927734375,0.7896575927734375,0.7896575927734375,0.7896575927734375
Self-initiated work breaks,0.8096444606781006,0.8096444606781006,0.8096444606781006,0.8096444606781006
Subjective monotony,0.7692053914070129,0.7692053914070129,0.7692053914070129,0.7692053914070129
Subjective stress,0.7274445295333862,0.7274445295333862,0.7274445295333862,0.7274445295333862
Supervisor competence,0.8754245638847351,0.8754245638847351,0.8754245638847351,0.8754245638847351
Supervisor warmth,0.801801323890686,0.801801323890686,0.801801323890686,0.801801323890686
Surface acting,0.8540127873420715,0.8540127873420715,0.8540127873420715,0.8540127873420715
Task conflict,0.8562247157096863,0.8562247157096863,0.8562247157096863,0.8562247157096863
Task interdependence,0.8606845140457153,0.8606845140457153,0.8606845140457153,0.8606845140457153
Team self-management,0.879830002784729,0.879830002784729,0.879830002784729,0.879830002784729
Team workload sharing,0.9176963567733765,0.9176963567733765,0.9176963567733765,0.9176963567733765
Time pressure,0.908945620059967,0.908945620059967,0.908945620059967,0.908945620059967
Training climate,0.9080386161804199,0.9080386161804199,0.9080386161804199,0.9080386161804199
Trust in supervisor,0.7260583639144897,0.7260583639144897,0.7260583639144897,0.7260583639144897
Unnecessary illegitimate tasks,0.9551341533660889,0.9551341533660889,0.9551341533660889,0.9551341533660889
Unreasonable illegitimate tasks,0.8779982328414917,0.8779982328414917,0.8779982328414917,0.8779982328414917
