,mean_focal,min_focal,max_focal,median_focal
Abusive supervision - active-aggressive,0.7173742523058415,0.7173742523058415,0.7173742523058415,0.7173742523058415
Affective commitment,0.9558906086095659,0.9558906086095659,0.9558906086095659,0.9558906086095659
Authoritarian leadership,0.7165951561167906,0.7165951561167906,0.7165951561167906,0.7165951561167906
Autonomy climate,0.49385879021209556,0.49385879021209556,0.49385879021209556,0.49385879021209556
Bureaucracy,0.8243208561773939,0.8243208561773939,0.8243208561773939,0.8243208561773939
Career satisfaction,0.9333280089580522,0.9333280089580522,0.9333280089580522,0.9333280089580522
Climate for civility,0.9151143613001569,0.9151143613001569,0.9151143613001569,0.9151143613001569
Cognitive demands,1.0889387709929337,1.0889387709929337,1.0889387709929337,1.0889387709929337
Competitive goals,0.7207309712619212,0.7207309712619212,0.7207309712619212,0.7207309712619212
Competitive orientation,0.6944579997924362,0.6944579997924362,0.6944579997924362,0.6944579997924362
Continuance commitment - high sacrifices,0.935165975932346,0.935165975932346,0.935165975932346,0.935165975932346
Continuance commitment -low alternatives,0.9067842570068754,0.9067842570068754,0.9067842570068754,0.9067842570068754
Cooperative goals,0.8218197153445863,0.8218197153445863,0.8218197153445863,0.8218197153445863
Cooperative orientation,0.5510680936225107,0.5510680936225107,0.5510680936225107,0.5510680936225107
Coworker trust,0.8960541570367297,0.8960541570367297,0.8960541570367297,0.8960541570367297
Daily work hassles,0.7219755756600849,0.7219755756600849,0.7219755756600849,0.7219755756600849
Deep acting,0.9661593847718328,0.9661593847718328,0.9661593847718328,0.9661593847718328
Demands-abilities job fit,0.6594020509589709,0.6594020509589709,0.6594020509589709,0.6594020509589709
Distributive justice,0.8946810780498825,0.8946810780498825,0.8946810780498825,0.8946810780498825
Efficiency climate,0.653820652738447,0.653820652738447,0.653820652738447,0.653820652738447
Emotional demands,0.9634895951160114,0.9634895951160114,0.9634895951160114,0.9634895951160114
Emotional fatigue,0.3983283149169348,0.3983283149169348,0.3983283149169348,0.3983283149169348
Extrinsic motivation,0.7400931996125575,0.7400931996125575,0.7400931996125575,0.7400931996125575
Face-time orientation,0.8987214885101122,0.8987214885101122,0.8987214885101122,0.8987214885101122
Family authenticity,0.5164662958206636,0.5164662958206636,0.5164662958206636,0.5164662958206636
Family motivation,0.7495801001388421,0.7495801001388421,0.7495801001388421,0.7495801001388421
Formalization climate,0.7810247069075231,0.7810247069075231,0.7810247069075231,0.7810247069075231
Goal focused leadership,0.9316890420754756,0.9316890420754756,0.9316890420754756,0.9316890420754756
Informational justice,0.8993592522627136,0.8993592522627136,0.8993592522627136,0.8993592522627136
Innovation climate,0.6737258708375846,0.6737258708375846,0.6737258708375846,0.6737258708375846
Interpersonal justice,0.7944039821664614,0.7944039821664614,0.7944039821664614,0.7944039821664614
Intrinsic motivation,0.7154441862096166,0.7154441862096166,0.7154441862096166,0.7154441862096166
Intuitive decision-making style,0.6263046304765706,0.6263046304765706,0.6263046304765706,0.6263046304765706
Job insecurity,0.9388044451942186,0.9388044451942186,0.9388044451942186,0.9388044451942186
Job self-efficacy,0.6264844232164,0.6264844232164,0.6264844232164,0.6264844232164
Leader avoidant conflict behaviors,1.0889070943973382,1.0889070943973382,1.0889070943973382,1.0889070943973382
Leader collaborative conflict behaviors,0.825180758901292,0.825180758901292,0.825180758901292,0.825180758901292
Leader dominating conflict behaviors,0.8896616305006928,0.8896616305006928,0.8896616305006928,0.8896616305006928
Leadership self-identity,0.9302699412943075,0.9302699412943075,0.9302699412943075,0.9302699412943075
Learning goal orientation,0.7323720042803162,0.7323720042803162,0.7323720042803162,0.7323720042803162
Loneliness,0.959490729575152,0.959490729575152,0.959490729575152,0.959490729575152
Managerial responsibility stress,0.6826669535930171,0.6826669535930171,0.6826669535930171,0.6826669535930171
Meaning,0.956860949397164,0.956860949397164,0.956860949397164,0.956860949397164
Meeting effectiveness,0.8364770418946099,0.8364770418946099,0.8364770418946099,0.8364770418946099
Mental fatigue,0.5875236908791299,0.5875236908791299,0.5875236908791299,0.5875236908791299
Needs-supplies job fit,0.8866847213909754,0.8866847213909754,0.8866847213909754,0.8866847213909754
Negative effort-reward imbalance,1.0480280998315072,1.0480280998315072,1.0480280998315072,1.0480280998315072
Normative commitment,0.8006239390520178,0.8006239390520178,0.8006239390520178,0.8006239390520178
Organizational politics,0.8833588570220359,0.8833588570220359,0.8833588570220359,0.8833588570220359
Organizational reputation,0.8889108425493502,0.8889108425493502,0.8889108425493502,0.8889108425493502
Ostracism,0.7243521480115057,0.7243521480115057,0.7243521480115057,0.7243521480115057
Perceived Leader effectiveness,0.8315342681857236,0.8315342681857236,0.8315342681857236,0.8315342681857236
Perceived contract breach,0.9926372178430363,0.9926372178430363,0.9926372178430363,0.9926372178430363
Perceived organizational support,0.9608810632947427,0.9608810632947427,0.9608810632947427,0.9608810632947427
Perceived overqualification,1.0305350080529632,1.0305350080529632,1.0305350080529632,1.0305350080529632
Performance goal orientation,0.9362877831902736,0.9362877831902736,0.9362877831902736,0.9362877831902736
Person-organization fit,0.9144917870465752,0.9144917870465752,0.9144917870465752,0.9144917870465752
Perspective-taking,0.7051163769266242,0.7051163769266242,0.7051163769266242,0.7051163769266242
Pessimism of organizational change,0.6865156915186219,0.6865156915186219,0.6865156915186219,0.6865156915186219
Physical fatigue,0.5782582506160664,0.5782582506160664,0.5782582506160664,0.5782582506160664
Preference for group work,0.7917623124890615,0.7917623124890615,0.7917623124890615,0.7917623124890615
Procedural justice,0.846222841117005,0.846222841117005,0.846222841117005,0.846222841117005
Prosocial identity,0.9353348725858825,0.9353348725858825,0.9353348725858825,0.9353348725858825
Prosocial motivation,0.713857200436015,0.713857200436015,0.713857200436015,0.713857200436015
Quality of group experience,0.9356523254483965,0.9356523254483965,0.9356523254483965,0.9356523254483965
Quantitative workload,0.9947756285419717,0.9947756285419717,0.9947756285419717,0.9947756285419717
Rational decision-making style,0.8202602436604998,0.8202602436604998,0.8202602436604998,0.8202602436604998
Relationship conflict,0.7567386143523667,0.7567386143523667,0.7567386143523667,0.7567386143523667
Resources,0.8568535101863519,0.8568535101863519,0.8568535101863519,0.8568535101863519
Role conflict,0.8509789054157448,0.8509789054157448,0.8509789054157448,0.8509789054157448
Rumination (negative),0.8952109150892902,0.8952109150892902,0.8952109150892902,0.8952109150892902
Self-initiated work breaks,0.9587222523311781,0.9587222523311781,0.9587222523311781,0.9587222523311781
Subjective monotony,1.0275406160618783,1.0275406160618783,1.0275406160618783,1.0275406160618783
Subjective stress,1.040117311805552,1.040117311805552,1.040117311805552,1.040117311805552
Supervisor competence,0.7630776691979967,0.7630776691979967,0.7630776691979967,0.7630776691979967
Supervisor warmth,0.7498714652304193,0.7498714652304193,0.7498714652304193,0.7498714652304193
