,mean_focal,min_focal,max_focal,median_focal
Abusive supervision - active-aggressive,0.8518846035003662,0.8518846035003662,0.8518846035003662,0.8518846035003662
Affective commitment,0.5989478826522827,0.5989478826522827,0.5989478826522827,0.5989478826522827
Authoritarian leadership,0.7968990802764893,0.7968990802764893,0.7968990802764893,0.7968990802764893
Autonomy climate,0.8886041641235352,0.8886041641235352,0.8886041641235352,0.8886041641235352
Bureaucracy,0.7242096662521362,0.7242096662521362,0.7242096662521362,0.7242096662521362
Career satisfaction,0.6132930517196655,0.6132930517196655,0.6132930517196655,0.6132930517196655
Climate for civility,0.6948971152305603,0.6948971152305603,0.6948971152305603,0.6948971152305603
Cognitive demands,0.6127941012382507,0.6127941012382507,0.6127941012382507,0.6127941012382507
Competitive goals,0.7910118699073792,0.7910118699073792,0.7910118699073792,0.7910118699073792
Competitive orientation,0.7361983060836792,0.7361983060836792,0.7361983060836792,0.7361983060836792
Continuance commitment - high sacrifices,0.5957745313644409,0.5957745313644409,0.5957745313644409,0.5957745313644409
Continuance commitment -low alternatives,0.6242151260375977,0.6242151260375977,0.6242151260375977,0.6242151260375977
Cooperative goals,0.660502016544342,0.660502016544342,0.660502016544342,0.660502016544342
Cooperative orientation,0.8787223696708679,0.8787223696708679,0.8787223696708679,0.8787223696708679
Coworker trust,0.5942567586898804,0.5942567586898804,0.5942567586898804,0.5942567586898804
Daily work hassles,0.7849541902542114,0.7849541902542114,0.7849541902542114,0.7849541902542114
Deep acting,0.6356433629989624,0.6356433629989624,0.6356433629989624,0.6356433629989624
Demands-abilities job fit,0.8272559642791748,0.8272559642791748,0.8272559642791748,0.8272559642791748
Distributive justice,0.7225052714347839,0.7225052714347839,0.7225052714347839,0.7225052714347839
Efficiency climate,0.8030921816825867,0.8030921816825867,0.8030921816825867,0.8030921816825867
Emotional demands,0.7094905376434326,0.7094905376434326,0.7094905376434326,0.7094905376434326
Emotional fatigue,0.9154086112976074,0.9154086112976074,0.9154086112976074,0.9154086112976074
Extrinsic motivation,0.7221460342407227,0.7221460342407227,0.7221460342407227,0.7221460342407227
Face-time orientation,0.6045877933502197,0.6045877933502197,0.6045877933502197,0.6045877933502197
Family authenticity,0.8491207361221313,0.8491207361221313,0.8491207361221313,0.8491207361221313
Family motivation,0.6819619536399841,0.6819619536399841,0.6819619536399841,0.6819619536399841
