,mean_focal,min_focal,max_focal,median_focal
Abusive supervision - active-aggressive,0.7918280234867932,0.7918280234867932,0.7918280234867932,0.7918280234867932
Affective commitment,1.0692790476540233,1.0692790476540233,1.0692790476540233,1.0692790476540233
Authoritarian leadership,0.7827012489718472,0.7827012489718472,0.7827012489718472,0.7827012489718472
Autonomy climate,0.6184837889764382,0.6184837889764382,0.6184837889764382,0.6184837889764382
Bureaucracy,1.0637657236435538,1.0637657236435538,1.0637657236435538,1.0637657236435538
Career satisfaction,1.0173252898511613,1.0173252898511613,1.0173252898511613,1.0173252898511613
Climate for civility,1.0201235614427588,1.0201235614427588,1.0201235614427588,1.0201235614427588
Cognitive demands,1.1589289911722302,1.1589289911722302,1.1589289911722302,1.1589289911722302
Competitive goals,0.8876595474923009,0.8876595474923009,0.8876595474923009,0.8876595474923009
Competitive orientation,0.8545631979130967,0.8545631979130967,0.8545631979130967,0.8545631979130967
Continuance commitment - high sacrifices,1.0554245425240985,1.0554245425240985,1.0554245425240985,1.0554245425240985
Continuance commitment -low alternatives,1.044896451389955,1.044896451389955,1.044896451389955,1.044896451389955
Cooperative goals,1.043303213946288,1.043303213946288,1.043303213946288,1.043303213946288
Cooperative orientation,0.6406692379426084,0.6406692379426084,0.6406692379426084,0.6406692379426084
Coworker trust,1.0166201119473308,1.0166201119473308,1.0166201119473308,1.0166201119473308
Daily work hassles,0.8577778601284334,0.8577778601284334,0.8577778601284334,0.8577778601284334
Deep acting,1.112424320001404,1.112424320001404,1.112424320001404,1.112424320001404
Demands-abilities job fit,0.7883182976000118,0.7883182976000118,0.7883182976000118,0.7883182976000118
Distributive justice,1.0015645497910892,1.0015645497910892,1.0015645497910892,1.0015645497910892
Efficiency climate,0.7591735502612882,0.7591735502612882,0.7591735502612882,0.7591735502612882
Emotional demands,1.0500435303716262,1.0500435303716262,1.0500435303716262,1.0500435303716262
Emotional fatigue,0.4959305327848702,0.4959305327848702,0.4959305327848702,0.4959305327848702
Extrinsic motivation,0.8911589448190037,0.8911589448190037,0.8911589448190037,0.8911589448190037
Face-time orientation,1.1489459008608782,1.1489459008608782,1.1489459008608782,1.1489459008608782
Family authenticity,0.6387279497314624,0.6387279497314624,0.6387279497314624,0.6387279497314624
Family motivation,0.984245052299344,0.984245052299344,0.984245052299344,0.984245052299344
Formalization climate,0.9724676311247865,0.9724676311247865,0.9724676311247865,0.9724676311247865
Goal focused leadership,1.0421301575810464,1.0421301575810464,1.0421301575810464,1.0421301575810464
Informational justice,1.0560239100922713,1.0560239100922713,1.0560239100922713,1.0560239100922713
Innovation climate,0.8549014050035333,0.8549014050035333,0.8549014050035333,0.8549014050035333
Interpersonal justice,0.8666377688206562,0.8666377688206562,0.8666377688206562,0.8666377688206562
Intrinsic motivation,0.8391398669168428,0.8391398669168428,0.8391398669168428,0.8391398669168428
Intuitive decision-making style,0.7434909813248105,0.7434909813248105,0.7434909813248105,0.7434909813248105
Job insecurity,1.0700862846173829,1.0700862846173829,1.0700862846173829,1.0700862846173829
Job self-efficacy,0.7981351909568637,0.7981351909568637,0.7981351909568637,0.7981351909568637
Leader avoidant conflict behaviors,1.1910941258049854,1.1910941258049854,1.1910941258049854,1.1910941258049854
Leader collaborative conflict behaviors,0.9621030345786381,0.9621030345786381,0.9621030345786381,0.9621030345786381
Leader dominating conflict behaviors,1.030700017954498,1.030700017954498,1.030700017954498,1.030700017954498
Leadership self-identity,1.0945626836072961,1.0945626836072961,1.0945626836072961,1.0945626836072961
Learning goal orientation,0.7969785086900729,0.7969785086900729,0.7969785086900729,0.7969785086900729
Loneliness,1.0272597915173245,1.0272597915173245,1.0272597915173245,1.0272597915173245
Managerial responsibility stress,0.761071071053134,0.761071071053134,0.761071071053134,0.761071071053134
Meaning,1.14347716538803,1.14347716538803,1.14347716538803,1.14347716538803
Meeting effectiveness,0.9256887985314974,0.9256887985314974,0.9256887985314974,0.9256887985314974
Mental fatigue,0.6726449344938294,0.6726449344938294,0.6726449344938294,0.6726449344938294
Needs-supplies job fit,0.9920965465390754,0.9920965465390754,0.9920965465390754,0.9920965465390754
Negative effort-reward imbalance,1.1998896746221313,1.1998896746221313,1.1998896746221313,1.1998896746221313
Normative commitment,0.9797525876160087,0.9797525876160087,0.9797525876160087,0.9797525876160087
Organizational politics,1.096589629106002,1.096589629106002,1.096589629106002,1.096589629106002
Organizational reputation,1.0064186418659005,1.0064186418659005,1.0064186418659005,1.0064186418659005
Ostracism,0.808558040602215,0.808558040602215,0.808558040602215,0.808558040602215
Perceived Leader effectiveness,0.8875595046560998,0.8875595046560998,0.8875595046560998,0.8875595046560998
Perceived contract breach,1.0988761741888973,1.0988761741888973,1.0988761741888973,1.0988761741888973
Perceived organizational support,1.1056644922450354,1.1056644922450354,1.1056644922450354,1.1056644922450354
Perceived overqualification,1.12532354684771,1.12532354684771,1.12532354684771,1.12532354684771
Performance goal orientation,1.1355812609126088,1.1355812609126088,1.1355812609126088,1.1355812609126088
Person-organization fit,1.0162668890050979,1.0162668890050979,1.0162668890050979,1.0162668890050979
Perspective-taking,0.8501214141951832,0.8501214141951832,0.8501214141951832,0.8501214141951832
